"Table 1.1.5. Gross Domestic Product"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","            Structures",5.5,4.4,2.6,1.4,1.1,1.2,1.4,1.9,2.7,2.1,2.2,2.6,3.3,2.2,1.8,2.4,3.3,7.4,8.1,9.5,9.2,10.0,12.0,12.2,13.6,13.9,15.2,18.2,19.0,17.6,18.1,19.6,19.7,20.8,21.2,23.7,28.3,31.3,31.5,33.6,37.7,40.3,42.7,47.2,55.0,61.2,61.4,65.9,74.6,93.6,117.7,136.2,167.3,177.6,154.3,177.4,194.5,176.5,174.2,182.8,193.7,202.9,183.6,172.6,177.2,186.8,207.3,224.6,250.3,276.0,285.7,321.0,333.5,287.0,286.6,307.7,353.0,425.2,510.3,571.1,455.8,379.8,404.5,479.4,492.5,577.6,572.6,545.8,586.8,633.2
"11","            Equipment",5.5,4.2,2.6,1.5,1.4,2.1,2.8,3.9,4.8,3.4,3.9,5.2,6.4,4.1,3.7,5.0,7.3,9.9,15.3,17.3,15.7,17.8,19.9,19.7,21.5,20.8,23.9,26.3,28.6,24.9,28.3,29.7,28.9,32.1,34.4,38.7,45.8,53.0,53.7,58.5,65.2,66.4,69.1,78.9,95.1,104.3,107.6,121.2,148.7,180.6,208.1,216.4,240.9,234.9,246.5,291.9,307.9,317.7,320.9,346.8,372.2,371.9,360.8,381.7,425.1,476.4,528.1,565.3,610.9,660.0,713.6,766.1,711.5,659.6,670.6,721.9,794.9,862.3,893.4,845.4,670.3,777.0,881.3,983.4,1027.0,1091.9,1121.5,1093.6,1143.7,1222.6
"12","            Intellectual property products",0.6,0.6,0.5,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.8,0.8,1.1,1.2,1.1,1.2,1.4,1.8,2.0,2.1,2.0,2.3,2.4,3.0,3.7,3.9,4.3,5.2,5.6,6.0,6.6,7.1,8.0,8.4,9.2,9.8,11.1,12.8,14.0,15.6,17.2,17.9,18.7,20.6,22.7,25.5,27.8,32.2,35.8,40.4,48.1,54.4,64.8,72.7,81.3,95.0,105.3,113.5,120.1,132.7,150.1,164.4,179.1,187.7,196.9,205.7,226.8,253.3,288.0,318.1,365.1,411.3,415.0,406.2,418.7,437.8,473.1,506.3,544.8,574.4,564.4,578.2,621.7,655.7,691.9,730.5,763.3,813.8,854.2,931.1
"13","        Residential",4.1,2.5,1.9,0.9,0.7,1.0,1.4,1.8,2.2,2.2,3.2,3.6,4.2,2.4,1.6,1.5,1.8,8.0,12.2,15.8,14.8,20.7,18.7,18.9,19.7,21.4,25.4,24.0,22.6,22.8,28.6,26.9,27.0,29.6,32.9,35.1,35.2,33.4,33.6,40.2,44.4,43.4,58.2,72.4,78.3,69.5,66.7,86.8,115.2,138.0,147.8,129.5,128.5,110.8,161.1,190.4,200.1,234.8,249.8,256.2,256.0,239.7,221.2,254.7,286.8,323.8,324.1,358.1,375.6,418.8,461.8,485.4,513.1,557.6,637.1,749.8,856.2,838.2,690.5,516.0,390.0,376.6,378.8,432.0,510.0,560.2,633.8,698.5,755.7,786.7
"14","    Change in private inventories",1.5,-0.2,-1.1,-2.4,-1.4,-0.6,1.1,1.2,2.6,-0.6,0.2,2.4,4.3,1.9,-0.7,-0.9,-1.5,6.0,-0.6,5.7,-2.7,5.8,9.9,3.5,1.9,-1.9,5.0,4.0,0.8,-0.4,3.9,3.2,3.0,6.1,5.6,4.8,9.2,13.6,9.9,9.1,9.2,2.0,8.3,9.1,15.9,14.0,-6.3,17.1,22.3,25.8,18.0,-6.3,29.8,-14.9,-5.8,65.4,21.8,6.6,27.1,18.5,27.7,14.5,-0.4,16.3,20.8,63.8,31.2,30.8,70.9,63.7,60.8,54.5,-38.3,20.0,14.1,64.1,57.5,69.0,34.0,-29.2,-150.8,53.9,46.3,71.2,104.5,84.0,131.9,27.1,30.2,54.7
"15","Net exports of goods and services",0.4,0.3,0.0,0.0,0.1,0.3,-0.2,-0.1,0.1,1.0,0.8,1.5,1.0,-0.3,-2.2,-2.0,-0.8,7.2,10.8,5.5,5.2,0.7,2.5,1.2,-0.7,0.4,0.5,2.4,4.1,0.5,0.4,4.2,4.9,4.1,4.9,6.9,5.6,3.9,3.6,1.4,1.4,3.9,0.6,-3.4,4.1,-0.8,16.0,-1.6,-23.1,-25.4,-22.5,-13.1,-12.5,-20.0,-51.6,-102.7,-114.0,-131.9,-144.8,-109.4,-86.7,-77.9,-28.6,-34.7,-65.2,-92.5,-89.8,-96.4,-102.0,-162.7,-255.8,-375.1,-367.9,-425.4,-503.1,-619.1,-721.2,-770.9,-718.4,-723.1,-396.5,-513.9,-579.5,-568.6,-490.8,-507.7,-519.8,-518.8,-575.3,-638.2
"16","    Exports",5.9,4.4,2.9,2.0,2.0,2.6,2.8,3.0,4.0,3.8,4.0,4.9,5.5,4.4,4.0,4.9,6.8,14.2,18.7,15.5,14.5,12.4,17.1,16.5,15.3,15.8,17.7,21.3,24.0,20.6,22.7,27.0,27.6,29.1,31.1,35.0,37.1,40.9,43.5,47.9,51.9,59.7,63.0,70.8,95.3,126.7,138.7,149.5,159.3,186.9,230.1,280.8,305.2,283.2,277.0,302.4,303.2,321.0,363.9,444.6,504.3,551.9,594.9,633.1,654.8,720.9,812.8,867.6,953.8,953.0,992.8,1096.3,1024.6,998.7,1036.2,1177.6,1305.2,1472.6,1660.9,1837.1,1582.0,1846.3,2103.0,2191.3,2273.4,2371.7,2266.8,2220.6,2356.7,2510.3
"17","        Goods",5.3,3.9,2.5,1.7,1.7,2.2,2.4,2.6,3.5,3.2,3.3,4.1,4.5,3.4,2.9,3.6,5.4,11.8,16.1,13.3,12.2,10.2,14.2,13.4,12.4,12.9,14.4,17.6,19.6,16.4,16.5,20.5,20.9,21.7,23.3,26.8,28.0,31.1,32.5,35.7,38.7,45.0,46.2,52.6,75.8,103.5,112.5,121.5,128.4,149.9,187.3,230.4,245.2,222.6,214.0,231.3,227.5,231.4,265.6,332.1,374.8,403.3,430.1,455.3,467.7,518.4,592.4,628.8,699.9,692.6,711.7,795.9,741.2,709.0,737.1,830.0,921.9,1044.9,1161.3,1292.5,1058.4,1272.4,1462.3,1521.6,1559.2,1615.0,1494.6,1444.0,1538.4,1661.3
"18","        Services",0.6,0.5,0.4,0.3,0.3,0.3,0.4,0.4,0.6,0.6,0.6,0.8,0.9,1.0,1.1,1.3,1.4,2.4,2.6,2.3,2.3,2.1,2.9,3.0,2.9,2.9,3.3,3.7,4.5,4.1,6.3,6.6,6.7,7.4,7.7,8.3,9.2,9.8,10.9,12.2,13.2,14.7,16.8,18.3,19.5,23.2,26.2,28.0,30.9,37.0,42.9,50.3,60.0,60.7,62.9,71.1,75.7,89.6,98.4,112.5,129.5,148.6,164.8,177.7,187.1,202.6,220.4,238.8,253.9,260.4,281.1,300.3,283.4,289.7,299.1,347.7,383.3,427.7,499.6,544.5,523.6,573.8,640.7,669.7,714.2,756.7,772.2,776.6,818.4,848.9
"19","    Imports",5.6,4.1,2.9,1.9,1.9,2.2,3.0,3.2,4.0,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7.0,7.9,10.1,9.2,11.6,14.6,15.3,16.0,15.4,17.2,18.9,19.9,20.0,22.3,22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1248.6,1471.3,1392.6,1424.1,1539.3,1796.7,2026.4,2243.5,2379.3,2560.1,1978.4,2360.2,2682.5,2759.9,2764.2,2879.4,2786.6,2739.4,2932.1,3148.5
"20","        Goods",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6.0,7.6,6.9,9.1,11.2,10.8,11.0,10.4,11.5,12.8,13.3,13.0,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1250.1,1173.8,1194.4,1291.3,1507.3,1715.5,1895.7,1999.7,2144.3,1585.4,1944.8,2240.5,2301.4,2296.4,2391.6,2288.1,2221.1,2379.8,2570.6
"21","        Services",1.1,1.0,0.8,0.6,0.4,0.5,0.5,0.6,0.8,0.7,0.7,0.7,1.0,1.9,2.8,3.1,3.7,1.9,2.0,2.5,2.4,2.5,3.4,4.5,5.0,5.1,5.7,6.1,6.7,7.1,7.0,7.6,7.6,8.1,8.4,8.7,9.3,10.7,12.2,12.6,13.7,14.9,15.8,17.3,19.3,22.9,23.7,26.5,29.8,34.8,39.9,45.3,49.9,52.6,56.0,68.8,73.9,82.9,93.9,101.9,106.2,121.7,122.8,122.9,127.2,136.6,145.1,156.5,170.1,184.9,197.4,221.2,218.8,229.8,248.0,289.4,311.0,347.8,379.6,415.9,393.1,415.4,441.9,458.5,467.8,487.8,498.6,518.3,552.3,577.9
"22","Government consumption expenditures and gross investment",9.6,10.3,10.2,8.9,8.9,10.7,11.2,13.4,13.1,14.2,15.2,15.6,27.8,65.4,98.0,108.6,96.4,43.0,39.8,43.8,49.8,50.5,73.3,89.6,96.8,92.5,93.0,98.2,107.2,114.1,118.5,120.5,129.2,140.3,147.2,154.8,164.1,185.4,207.0,225.5,239.0,252.6,267.5,286.2,304.8,341.4,381.1,404.2,434.3,476.3,524.8,589.6,654.4,711.5,766.6,827.9,910.5,976.1,1031.5,1078.9,1151.9,1238.6,1299.0,1344.5,1364.9,1402.3,1449.4,1492.8,1547.1,1611.6,1720.4,1826.8,1949.3,2088.7,2211.2,2338.9,2476.0,2624.2,2790.8,2982.0,3073.5,3154.6,3148.4,3137.0,3132.4,3168.0,3237.3,3306.7,3412.0,3591.5
"23","    Federal",1.9,2.0,2.1,2.0,2.5,3.5,3.6,5.8,5.3,5.9,6.2,6.8,19.1,56.7,89.5,100.1,87.2,32.0,25.7,27.0,30.4,29.4,49.9,64.8,70.3,63.3,61.0,63.1,68.5,71.5,73.6,72.9,77.4,85.5,87.9,90.3,93.2,106.6,120.0,128.0,131.2,132.8,134.5,141.6,146.2,158.8,173.7,184.8,200.3,218.9,240.6,274.9,314.0,348.3,382.4,411.8,452.9,481.7,502.8,511.4,534.1,562.4,582.9,588.5,580.2,574.7,576.7,579.2,583.3,585.5,611.3,633.7,670.1,743.0,826.3,891.7,947.5,1000.7,1050.5,1150.6,1218.2,1297.9,1298.9,1286.5,1226.6,1215.0,1221.5,1234.1,1269.3,1347.3
"24","        National defense",1.1,1.1,1.1,1.1,1.0,0.9,1.2,1.4,1.4,1.5,1.7,2.8,15.4,53.5,86.8,97.3,84.8,28.0,21.1,20.9,22.3,22.6,43.7,57.4,61.1,54.4,52.4,55.0,59.9,62.2,60.9,60.9,64.5,69.7,70.0,69.7,70.6,82.5,95.0,101.4,102.1,100.7,98.0,100.7,102.6,109.9,118.0,125.0,134.4,145.2,160.6,183.4,213.4,245.4,272.1,298.8,329.5,352.4,372.4,382.1,391.2,405.0,414.0,406.5,391.6,382.1,377.2,377.3,372.0,368.8,383.3,392.6,413.2,458.9,521.2,569.9,609.4,640.8,679.3,750.3,787.6,828.0,834.0,814.2,764.2,743.4,730.1,728.4,746.2,793.6
"25","        Nondefense",0.9,0.9,1.0,1.0,1.5,2.5,2.4,4.4,3.8,4.4,4.6,4.0,3.7,3.2,2.7,2.8,2.4,4.0,4.7,6.2,8.1,6.8,6.3,7.4,9.1,8.8,8.7,8.2,8.5,9.3,12.6,12.0,12.8,15.8,17.9,20.5,22.6,24.1,25.0,26.6,29.1,32.1,36.5,40.9,43.6,48.9,55.8,59.8,65.9,73.7,80.0,91.5,100.6,102.9,110.3,113.0,123.4,129.3,130.4,129.3,142.9,157.4,168.9,182.0,188.5,192.6,199.5,201.9,211.3,216.8,228.1,241.1,256.9,284.1,305.0,321.9,338.0,359.9,371.2,400.2,430.6,469.9,465.0,472.4,462.4,471.6,491.4,505.7,523.1,553.7
"26","    State and local",7.7,8.3,8.1,6.9,6.4,7.3,7.6,7.6,7.8,8.3,8.9,8.7,8.7,8.7,8.5,8.6,9.2,11.0,14.1,16.7,19.4,21.1,23.4,24.8,26.5,29.2,31.9,35.1,38.7,42.6,44.9,47.6,51.9,54.8,59.3,64.5,70.9,78.9,87.0,97.6,107.8,119.8,133.0,144.5,158.6,182.5,207.4,219.4,234.0,257.4,284.2,314.7,340.4,363.1,384.2,416.1,457.6,494.4,528.7,567.4,617.8,676.2,716.0,756.0,784.8,827.6,872.7,913.7,963.8,1026.1,1109.0,1193.1,1279.2,1345.7,1384.9,1447.1,1528.5,1623.5,1740.3,1831.4,1855.3,1856.7,1849.4,1850.5,1905.8,1953.0,2015.7,2072.6,2142.7,2244.2
