"Table 7.1. Current-Cost Net Stock of Government Fixed Assets"
"[Billions of dollars; yearend estimates]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","            Public safety",0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.7,0.8,0.9,1.3,1.4,1.3,1.6,1.8,1.8,1.8,1.9,2.1,2.3,2.5,2.6,2.8,3.0,3.2,3.4,3.7,4.0,4.3,4.8,5.2,5.9,6.8,7.7,8.8,10.0,11.4,13.9,15.3,17.2,19.9,23.4,27.9,32.7,37.0,40.6,43.7,48.0,51.7,56.8,62.3,67.5,73.5,79.7,84.4,90.5,97.9,106.2,112.6,119.4,127.6,136.7,146.6,156.5,165.3,172.0,179.4,195.0,212.9,228.0,235.7,238.0,223.8,222.9,227.3,234.4,248.7,259.2,267.4,282.0,293.1,307.8
"11","            Amusement and recreation",0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.7,0.8,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.4,1.9,2.1,2.2,2.3,2.6,2.6,2.8,2.9,3.2,3.5,3.7,3.9,4.2,4.4,4.6,4.9,5.2,5.7,6.1,6.7,7.2,8.0,9.0,10.2,11.5,12.8,14.5,17.7,19.3,21.1,23.6,26.9,31.3,35.7,39.4,42.2,44.4,47.1,49.6,52.7,56.1,59.7,63.5,67.3,69.7,73.3,77.9,83.3,87.7,93.3,100.1,107.6,116.0,125.7,135.4,143.5,152.5,168.6,187.5,203.9,214.0,219.6,209.6,211.8,217.9,226.2,242.0,254.5,265.5,283.3,297.6,315.9
"12","            Transportation",0.5,0.6,0.6,0.7,0.8,0.8,0.8,0.8,0.9,1.4,1.2,1.4,1.6,1.7,1.7,1.8,2.0,2.1,1.9,1.8,1.9,2.2,2.6,3.0,2.9,3.1,3.6,3.9,3.9,3.9,4.2,4.9,5.1,5.5,5.6,5.8,6.4,6.8,7.9,8.3,9.4,10.8,12.7,14.0,17.9,20.9,22.6,23.8,28.8,40.8,39.0,39.3,39.4,42.1,49.8,63.0,74.7,79.4,77.9,78.6,82.4,89.2,98.4,104.9,116.3,130.5,138.7,144.2,147.2,157.1,173.5,190.9,208.9,223.4,239.3,260.2,274.4,298.3,319.2,372.5,410.7,470.7,525.9,562.2,573.1,602.1,650.0,684.8,710.4,727.5,740.7,774.2,814.8,861.3
"13","            Power",1.0,1.0,1.1,1.2,1.4,1.4,1.5,1.4,1.6,2.3,1.9,2.3,2.7,2.8,2.9,2.9,3.2,3.4,3.0,2.8,3.0,3.5,4.2,4.7,4.4,4.7,5.3,5.5,5.4,5.2,5.6,6.3,6.6,6.9,7.3,7.7,8.1,8.5,9.1,10.0,11.0,11.8,12.9,14.1,16.0,17.8,19.8,21.6,24.8,32.1,35.9,39.5,42.4,49.1,57.6,66.2,74.8,81.5,86.7,91.0,95.8,100.0,106.2,114.5,119.9,122.6,124.7,128.7,134.5,139.6,144.8,146.2,151.1,152.8,157.5,164.8,171.9,179.1,188.3,206.2,219.3,240.4,262.8,285.4,282.4,305.4,321.2,332.5,343.0,357.3,366.7,378.4,387.3,403.8
"14","            Highways and streets",16.4,16.3,17.1,16.9,17.3,17.3,16.4,13.4,17.2,20.5,20.3,23.2,22.4,22.7,23.1,23.5,27.6,35.8,39.9,36.2,34.4,37.0,45.1,48.6,44.4,50.0,56.2,59.1,54.4,56.9,63.1,72.5,74.5,80.6,80.9,84.4,90.0,98.1,105.8,111.7,122.5,136.2,149.1,161.5,181.8,212.0,226.3,245.9,289.9,384.8,382.0,377.1,382.2,403.7,466.3,562.0,642.8,669.5,647.1,644.1,674.7,728.3,773.7,788.6,820.5,862.5,882.9,903.7,935.2,998.3,1068.4,1121.9,1183.5,1227.1,1308.0,1406.1,1468.1,1530.1,1564.2,1804.7,2022.1,2312.9,2596.6,2761.2,2790.3,2893.0,3086.3,3219.7,3295.4,3319.8,3328.7,3434.6,3576.2,3734.2
"15","            Military facilities 3",4.4,4.4,4.3,4.1,4.7,4.3,3.8,3.6,3.9,4.1,4.2,4.4,4.6,4.6,4.7,5.5,9.0,18.5,22.5,23.1,25.9,27.1,27.2,27.5,25.6,28.0,31.9,33.6,32.7,33.0,35.4,39.0,39.9,43.1,43.4,44.3,45.6,47.3,48.1,49.2,49.4,51.5,55.4,59.2,63.3,69.9,74.9,90.9,107.1,129.1,129.7,145.3,142.9,155.2,175.9,192.6,188.2,190.1,189.4,202.2,212.2,227.3,227.1,236.5,245.4,249.1,261.2,276.3,284.9,296.3,306.2,312.1,321.5,328.9,340.3,353.1,360.8,367.5,372.2,406.2,440.5,480.5,510.6,532.6,522.6,536.0,558.5,568.9,582.1,585.6,581.4,591.5,603.2,611.2
"16","            Conservation and development",1.2,1.2,1.3,1.4,1.4,1.5,1.5,1.5,1.8,2.3,2.9,3.6,4.3,4.7,5.0,5.3,5.6,6.0,6.7,6.8,8.4,10.8,12.3,13.5,13.6,12.9,13.8,14.7,14.9,15.0,16.1,17.9,18.9,19.5,19.7,20.6,21.7,22.9,24.3,25.8,27.8,29.9,32.2,35.0,38.4,41.9,46.0,49.6,53.6,63.5,73.0,77.8,83.1,89.5,99.4,111.2,122.6,129.9,132.0,135.1,138.3,140.9,143.7,149.5,157.8,163.5,168.8,171.6,176.8,183.7,194.7,207.2,215.0,217.1,223.6,231.4,235.7,241.9,250.7,271.4,288.2,305.4,322.3,348.7,340.4,356.8,377.9,389.6,394.8,403.4,402.4,411.0,429.3,449.2
"17","            Other structures 4",3.7,3.9,4.1,4.4,4.6,4.9,4.7,4.1,4.2,5.2,5.2,6.1,6.7,7.3,7.3,7.7,8.2,8.6,8.5,9.9,9.6,10.2,13.1,15.0,15.5,17.4,18.4,19.9,21.3,22.4,24.5,27.2,29.6,30.1,29.3,30.8,32.3,34.2,36.0,38.1,41.3,44.5,47.5,52.9,57.9,64.6,74.7,82.1,90.8,115.3,128.8,139.1,154.0,175.5,202.1,228.6,240.2,256.4,266.5,284.8,292.5,306.5,321.4,342.8,359.4,372.6,383.3,412.7,439.2,458.5,482.2,499.0,519.4,542.7,574.0,610.6,637.9,661.4,695.8,778.4,849.5,934.8,1000.6,1044.1,1056.8,1124.5,1190.1,1230.8,1269.3,1326.9,1359.4,1409.4,1459.4,1535.6
"18","          Intellectual property products",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.9,1.3,2.2,3.5,4.3,5.0,5.5,6.2,6.8,7.7,8.8,9.6,10.5,11.6,13.3,15.9,19.0,22.1,25.0,28.1,31.6,35.3,40.6,46.3,52.2,59.1,66.6,75.1,84.8,94.7,102.6,110.8,123.8,138.9,149.6,160.8,174.1,190.6,213.3,240.9,270.1,293.8,317.3,341.0,364.7,385.6,416.3,448.4,474.0,498.2,517.6,534.0,546.4,564.8,579.2,586.4,598.5,612.6,634.2,656.3,668.5,689.1,726.2,762.6,803.4,839.3,890.1,927.8,956.4,1012.2,1040.2,1064.1,1100.0,1115.3,1119.6,1147.3,1188.3,1219.6
"19","            Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.7,1.0,1.3,1.6,2.0,2.4,3.1,3.7,4.3,4.8,5.6,6.8,8.3,10.2,11.8,13.5,15.8,18.2,20.6,23.4,26.6,30.3,34.7,37.5,40.5,42.8,44.1,45.5,45.4,46.8,50.2,54.7,59.2,61.5,60.6,59.9,61.1,63.4,66.3,69.8,73.7,74.8,77.0,80.6,83.3,89.1,93.6,96.8,100.6,105.7,112.9
"20","            Research and development",0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.9,1.3,2.2,3.5,4.3,5.0,5.5,6.2,6.8,7.7,8.8,9.6,10.5,11.6,13.3,15.9,19.0,22.1,25.0,28.0,31.5,35.2,40.4,46.1,51.9,58.7,66.0,74.3,83.9,93.3,101.0,108.9,121.3,135.8,145.9,156.5,169.2,185.0,206.5,232.6,260.0,282.0,303.8,325.2,346.5,365.0,392.9,421.8,443.7,463.5,480.1,493.5,503.6,520.7,533.7,541.0,551.7,562.5,579.5,597.1,607.0,628.5,666.3,701.4,740.0,773.0,820.3,854.2,881.6,935.1,959.7,980.8,1010.9,1021.7,1022.8,1046.7,1082.6,1106.7
"21","Federal",8.9,8.8,8.6,8.3,8.9,8.4,7.8,7.5,8.5,9.4,10.5,12.1,13.4,14.2,14.8,16.8,27.1,57.5,92.5,117.0,135.7,132.7,124.2,116.2,106.7,106.6,120.3,130.5,138.7,149.6,158.3,173.1,182.4,191.4,198.0,205.2,215.7,230.3,240.7,251.0,263.0,278.9,299.8,319.6,343.0,370.2,391.2,424.7,470.8,539.7,572.1,619.5,656.0,722.1,800.2,888.6,960.0,1024.5,1084.6,1182.2,1210.4,1260.1,1318.2,1405.8,1477.7,1541.0,1592.5,1652.1,1704.8,1770.4,1811.0,1833.8,1864.3,1902.5,1967.3,2003.8,2026.4,2077.6,2149.8,2289.1,2432.9,2579.5,2709.8,2828.7,2838.4,2955.8,3061.3,3126.7,3204.8,3248.7,3252.7,3315.4,3405.6,3503.8
"22","  National defense",6.6,6.4,6.2,5.8,6.3,5.8,5.2,5.0,5.3,5.6,5.7,6.2,6.5,6.6,6.9,8.0,17.1,46.3,80.0,104.0,121.2,115.4,104.8,95.2,85.2,84.4,95.6,104.2,112.1,122.9,129.3,141.7,148.6,155.8,160.8,165.7,173.1,182.9,187.1,190.8,194.0,200.1,212.1,221.0,231.8,246.2,254.6,276.1,304.9,344.5,358.6,390.3,407.1,446.6,489.7,535.1,566.9,605.7,649.6,729.0,741.5,774.4,810.7,872.3,916.0,951.1,978.4,1012.0,1034.8,1066.5,1073.4,1064.4,1066.0,1076.7,1102.1,1103.1,1102.8,1126.1,1160.5,1234.7,1314.1,1397.0,1469.9,1532.6,1543.5,1600.1,1654.4,1679.8,1712.2,1722.4,1710.7,1731.1,1758.1,1796.0
"23","    Equipment",2.1,2.0,1.8,1.7,1.6,1.5,1.4,1.3,1.4,1.4,1.4,1.4,1.5,1.5,1.5,1.7,4.7,18.4,43.9,64.6,75.7,67.8,56.8,46.6,38.8,34.2,38.0,44.1,51.0,57.3,62.3,66.2,68.2,69.4,73.3,75.7,79.3,86.0,87.4,88.6,89.5,92.0,96.6,99.3,101.4,105.2,103.8,106.3,111.7,118.4,129.9,141.7,155.0,173.5,181.3,196.6,215.7,239.2,264.6,317.1,305.2,308.9,320.1,344.6,363.6,385.5,399.3,415.5,429.0,445.4,441.5,426.4,416.0,416.8,425.5,409.4,399.6,407.9,419.7,434.3,450.3,471.3,495.1,528.2,549.9,582.0,604.5,613.9,621.7,628.5,625.2,630.0,636.3,657.2
