"Table 4.1. Foreign Transactions in the National Income and Product Accounts"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: January 30, 2020 - Next Release Date February 27, 2020"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","        Interest","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.6,0.7,0.9,1.1,1.3,1.5,1.7,1.9,2.2,2.5,2.9,3.5,3.9,4.0,4.2,5.7,9.1,9.8,11.0,13.0,16.8,25.3,34.8,53.4,63.8,60.2,75.1,65.2,61.7,63.4,79.5,101.2,106.8,91.6,71.9,64.8,78.1,100.3,104.9,122.3,137.6,139.3,174.6,136.8,105.4,101.0,118.2,186.9,285.4,360.0,269.6,145.1,129.3,142.0,144.5,150.6,153.7,156.0,166.7,199.7,247.5,"---"
"11","        Dividends","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.1,1.1,1.3,1.5,1.4,1.5,1.7,1.9,2.2,2.3,2.1,2.3,2.4,2.9,3.2,3.2,3.8,4.0,3.6,3.9,4.2,4.8,5.0,6.1,6.5,8.6,11.6,8.6,11.7,14.1,14.7,19.9,21.5,20.7,23.9,19.5,19.7,21.0,27.9,27.9,45.1,47.9,43.7,41.4,44.7,39.5,59.7,58.6,69.1,80.0,83.2,92.7,86.3,87.4,92.8,101.0,135.6,363.3,186.0,249.0,316.4,237.2,248.0,298.6,331.6,318.0,355.5,352.1,357.2,391.4,1049.7,"---"
"12","        Reinvested earnings on U.S. direct investment abroad","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.4,0.5,0.8,0.9,0.8,0.7,1.0,1.2,1.4,0.9,1.1,1.4,1.2,1.3,1.6,1.6,1.7,2.0,2.0,2.8,3.2,3.6,3.7,5.2,9.0,8.8,9.3,9.3,9.6,14.3,22.7,22.4,17.3,12.8,21.6,26.5,25.8,20.8,31.0,26.5,27.6,37.3,34.0,33.6,49.5,44.9,68.8,70.3,75.5,63.5,84.0,115.2,95.3,112.1,147.1,188.4,11.0,235.5,252.4,257.5,259.8,331.9,342.5,317.2,348.2,337.9,323.0,331.4,360.7,-197.7,"---"
"13","Current taxes, contributions for government social insurance, and transfer receipts from the rest of the world2","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",37.9,41.2,45.4,56.8,66.2,64.7,70.3,75.3,75.5,89.9,91.7,95.7,104.1,113.3,131.1,145.8,135.8,142.3,164.0,155.4,146.2
"14","    To persons","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",28.4,29.6,35.4,43.7,51.4,44.6,50.7,49.8,51.8,65.5,69.0,76.5,89.4,83.7,98.0,100.6,98.4,105.4,118.1,111.7,107.2
"15","    To business","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",-1.1,-0.4,-2.5,0.7,0.8,4.7,1.4,5.7,3.2,-0.8,1.5,-3.7,-7.4,1.2,1.6,1.8,2.1,2.8,5.3,-0.5,-3.4
"16","    To government","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",10.6,12.0,12.5,12.4,13.9,15.4,18.2,19.8,20.6,25.3,21.3,22.9,22.0,28.4,31.6,43.4,35.3,34.1,40.6,44.2,42.3
"17","        Current payments to the rest of the world",6.3,4.8,3.5,2.3,2.3,2.6,3.3,3.7,4.6,3.3,3.6,4.0,4.9,5.1,6.8,7.6,8.9,10.3,11.0,15.2,15.5,16.4,19.0,18.7,19.5,18.7,20.8,22.5,23.6,23.6,28.3,28.8,28.7,31.2,32.7,34.8,38.9,45.2,48.7,56.5,62.1,68.8,76.7,91.2,109.9,150.5,146.9,174.8,207.5,245.8,299.6,351.4,393.9,387.5,413.9,514.3,530.2,575.0,641.3,712.4,774.3,815.6,755.4,830.7,889.8,1021.1,1148.5,1229.0,1364.0,1445.1,1629.3,1914.4,1777.0,1813.6,1969.4,2314.5,2678.8,3061.7,3313.7,3458.9,2693.6,3093.9,3461.8,3552.4,3596.5,3746.7,3664.4,3665.9,3945.2,4281.3,"---"
"18","Imports of goods and services",5.6,4.1,2.9,1.9,1.9,2.2,3.0,3.2,4.0,2.8,3.1,3.4,4.4,4.6,6.3,6.9,7.5,7.0,7.9,10.1,9.2,11.6,14.6,15.3,16.0,15.4,17.2,18.9,19.9,20.0,22.3,22.8,22.7,25.0,26.1,28.1,31.5,37.1,39.9,46.6,50.5,55.8,62.3,74.2,91.2,127.5,122.7,151.1,182.4,212.3,252.7,293.8,317.8,303.2,328.6,405.1,417.2,452.9,508.7,554.0,591.0,629.7,623.5,667.8,720.0,813.4,902.6,964.0,1055.8,1115.7,1248.6,1471.3,1392.6,1424.1,1539.3,1796.7,2026.4,2243.5,2379.3,2560.1,1978.4,2360.2,2682.5,2759.9,2764.2,2879.4,2786.6,2739.4,2932.1,3148.5,3135.7
"19","    Goods1",4.5,3.1,2.1,1.3,1.5,1.8,2.5,2.5,3.2,2.2,2.4,2.7,3.4,2.7,3.4,3.8,3.9,5.1,6.0,7.6,6.9,9.1,11.2,10.8,11.0,10.4,11.5,12.8,13.3,13.0,15.3,15.2,15.1,16.9,17.7,19.4,22.2,26.3,27.8,33.9,36.8,40.9,46.6,56.9,71.8,104.5,99.0,124.6,152.6,177.4,212.8,248.6,267.8,250.5,272.7,336.3,343.3,370.0,414.8,452.1,484.8,508.1,500.7,544.9,592.8,676.8,757.4,807.4,885.7,930.8,1051.2,1250.1,1173.8,1194.4,1291.3,1507.3,1715.5,1895.7,1999.7,2144.3,1585.4,1944.8,2240.5,2301.4,2296.4,2391.6,2288.1,2221.1,2379.8,2570.6,2529.9
