"Table 4.1. Foreign Transactions in the National Income and Product Accounts"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: January 30, 2020 - Next Release Date February 27, 2020"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","    From persons",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.1,0.2,0.4,0.5,0.7,0.7,0.7,0.5,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.5,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.8,1.0,1.0,1.1,1.3,1.4,1.4,1.6,1.4,1.3,1.4,1.4,1.6,1.7,2.0,5.6,6.7,7.0,7.9,8.3,9.1,10.0,10.8,11.6,12.2,14.1,14.5,17.1,18.9,20.3,22.6,25.7,29.7,58.4,61.9,71.7,82.1,89.4,85.4,90.6,95.0,105.5,129.5,133.2,141.9,157.8,151.8,167.7,177.6,181.2,187.5,205.2,200.6,199.4
"31","    From government",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,-0.1,-0.1,0.3,2.3,2.0,3.8,5.1,3.6,3.1,2.1,2.0,1.9,2.1,2.0,1.9,1.9,3.9,3.6,3.6,3.7,3.7,3.5,3.8,4.1,4.2,4.6,4.5,4.9,6.1,7.4,5.6,6.4,7.1,5.7,5.3,5.9,6.8,8.3,8.3,9.7,10.1,12.2,14.4,15.4,13.4,13.7,14.2,14.7,-24.0,22.0,22.9,21.1,15.6,20.0,16.7,17.4,27.3,31.0,27.7,33.0,38.7,41.4,52.1,47.4,55.6,60.5,68.7,70.0,74.6,73.2,72.7,72.3,73.1,75.6,74.4,81.4,80.2
"32","    From business",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.7,1.0,0.7,1.1,1.4,1.4,2.0,2.4,3.2,3.4,3.4,3.5,2.9,3.2,3.4,4.5,4.6,4.8,5.0,5.4,5.4,6.0,8.2,6.9,9.1,13.0,0.3,4.7,9.7,4.8,6.5,22.2,21.7,14.2,15.7,14.6,7.4,2.4,-5.9,0.2,-0.8,4.9,10.4,19.9,18.9,12.5,32.3
"33","        Balance on current account, NIPAs",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1.0,1.5,1.3,-0.1,-2.1,-2.0,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4.0,8.9,6.0,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-79.4,-115.6,-105.9,-115.0,-130.1,-205.3,-278.4,-396.4,-383.0,-443.2,-513.2,-625.2,-737.3,-801.9,-710.8,-683.2,-372.1,-436.7,-465.6,-448.1,-368.5,-375.6,-424.1,-441.4,-466.6,-509.5,"---"
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"34","    Net lending or net borrowing (-), NIPAs",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1.0,1.5,1.3,-0.1,-2.1,-2.0,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4.1,8.8,5.9,19.8,7.0,-11.0,-12.7,-1.3,8.4,3.3,-3.4,-35.2,-90.2,-114.5,-142.8,-154.2,-115.9,-92.7,-82.3,2.6,-44.3,-80.2,-116.9,-106.3,-115.2,-130.6,-205.6,-282.8,-396.8,-370.0,-443.7,-515.3,-622.4,-724.5,-803.9,-710.7,-677.8,-372.7,-437.4,-467.2,-441.6,-369.4,-376.0,-424.5,-441.9,-476.0,-506.7,"---"
"35","        Balance on current account, NIPAs",0.8,0.7,0.2,0.2,0.2,0.4,-0.1,-0.1,0.2,1.2,1.0,1.5,1.3,-0.1,-2.1,-2.0,-1.3,4.9,9.3,2.4,0.9,-1.8,0.9,0.6,-1.3,0.2,0.4,2.7,4.7,0.8,-1.3,3.2,4.2,3.8,4.9,7.5,6.2,3.8,3.5,1.5,1.6,3.7,0.3,-4.0,8.9,6.0,19.8,7.1,-10.9,-12.6,-1.2,8.5,3.4,-3.3,-35.1,-90.1,-114.3,-142.7,-154.1,-115.7,-92.4,-74.9,7.9,-45.6,-79.4,-115.6,-105.9,-115.0,-130.1,-205.3,-278.4,-396.4,-383.0,-443.2,-513.2,-625.2,-737.3,-801.9,-710.8,-683.2,-372.1,-436.7,-465.6,-448.1,-368.5,-375.6,-424.1,-441.4,-466.6,-509.5,"---"
"36","        Less: Capital account transactions (net)3","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,7.4,5.3,-1.3,0.9,1.3,0.4,0.2,0.5,0.2,4.5,0.3,-12.9,0.5,2.1,-2.8,-12.9,2.1,-0.1,-5.4,0.6,0.7,1.6,-6.5,0.8,0.4,0.4,0.5,9.5,-2.8,"---"
"Legend / Footnotes:"
"1. Beginning with 1959, exports and imports of certain goods, primarily military equipment purchased and sold by the federal government, are reclassified from services to goods. Beginning with 1986, repairs and alterations of equipment are reclassified from goods to services."
"2. Prior to 1999, current taxes, contributions for government social insurance, and transfer receipts from the rest of the world (line 13) are not separately displayed, and line 29 includes current taxes and transfer payments to the rest of the world net of current taxes, contributions for government social insurance, and transfer receipts from the rest of the world."
"3. Consists of capital transfers and the acquisition and disposal of nonproduced nonfinancial assets. Prior to 1982, reflects only capital grants paid to the U.S. territories and the Commonwealths of Puerto Rico and Northern Mariana Islands."
