"Table 2.2. Chain-Type Quantity Indexes for Net Stock of Private Fixed Assets, Equipment, Structures, and Intellectual Property Products by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","        Office and accounting equipment",8.061,8.529,8.905,9.431,9.512,8.796,7.768,6.637,5.862,5.528,5.718,6.192,6.940,7.090,7.267,7.723,8.586,8.443,7.732,8.035,9.061,12.492,16.400,19.815,21.235,22.901,24.720,26.309,28.233,29.350,31.297,34.206,38.927,41.907,43.681,44.877,43.772,41.749,40.791,40.038,39.680,42.402,43.715,43.909,46.099,45.840,44.431,45.459,51.664,61.644,65.040,71.246,75.828,88.001,105.795,121.989,135.920,132.796,153.548,176.088,190.402,206.765,189.038,171.013,161.675,147.315,135.025,129.746,129.029,128.252,128.080,128.910,129.141,125.010,112.244,104.532,101.119,106.823,131.307,149.749,163.860,176.460,153.248,141.244,126.134,114.233,105.600,100.000,96.277,95.162,95.017,93.183,93.602,95.165
"11","      Industrial equipment",7.719,8.077,8.322,8.611,9.022,9.137,9.014,8.634,8.284,8.061,8.032,8.260,8.625,8.618,8.742,9.134,9.636,9.815,9.958,10.408,11.297,12.266,13.851,15.089,15.643,16.443,17.448,18.473,19.683,20.874,21.946,23.232,24.456,25.049,25.641,26.397,26.934,27.571,28.390,29.551,31.253,33.441,35.455,37.198,39.106,40.919,42.154,43.631,45.940,48.509,49.850,51.099,52.559,54.548,56.789,58.489,59.904,60.610,60.772,61.756,62.960,64.043,64.887,66.007,67.519,68.472,68.900,69.325,70.285,71.797,73.933,76.181,78.372,80.741,82.936,85.771,87.585,88.605,89.593,90.271,91.561,93.763,96.144,97.887,97.314,96.846,98.082,100.000,101.688,103.814,105.774,107.444,109.528,112.057
"12","        Fabricated metal products",7.907,8.223,8.469,8.620,9.029,9.236,9.231,8.925,8.565,8.338,8.195,8.195,8.298,8.173,8.175,8.349,8.702,8.935,9.400,10.060,10.988,12.669,15.001,16.762,17.762,18.864,20.404,22.266,24.163,26.135,27.517,28.907,30.715,32.039,32.814,33.320,33.622,33.626,33.937,34.783,36.277,38.366,40.108,42.635,46.176,50.544,54.614,58.555,63.900,69.690,74.585,79.936,83.783,87.238,91.414,93.770,95.589,95.843,95.254,94.129,92.953,91.330,89.131,87.734,87.247,86.877,86.600,86.410,85.997,86.201,86.646,87.795,87.348,87.370,88.095,89.256,90.153,89.726,90.152,90.409,91.214,93.574,96.627,100.014,99.615,98.355,98.524,100.000,101.247,103.115,104.650,105.169,106.041,107.602
"13","        Engines and turbines",15.090,14.829,14.362,14.089,13.981,13.752,13.243,12.475,11.744,11.191,10.835,10.835,11.092,10.930,10.983,11.078,11.046,10.557,10.382,10.778,12.674,11.954,12.494,13.591,14.453,15.919,16.505,17.820,18.985,21.205,22.887,24.169,26.070,27.826,28.978,29.915,30.460,30.831,31.186,31.507,31.897,32.754,34.569,36.970,39.794,42.760,45.932,49.679,53.010,56.262,58.017,58.984,59.358,59.498,59.448,58.742,58.408,57.513,56.320,55.474,55.056,54.120,54.138,54.351,54.944,54.913,55.544,55.875,56.016,56.416,56.013,56.251,56.124,56.637,58.048,60.898,67.222,73.851,78.720,77.938,77.910,79.329,83.975,88.395,90.731,90.589,93.652,100.000,104.188,107.725,111.732,114.785,118.860,122.641
"14","        Metalworking machinery",7.508,7.858,8.137,8.700,9.202,9.238,8.937,8.329,7.801,7.506,7.612,8.096,8.808,8.776,9.072,10.569,12.683,14.323,15.627,16.298,17.417,18.972,21.207,22.191,21.912,22.538,23.979,25.518,27.952,30.578,31.745,33.875,35.463,34.959,34.768,35.067,34.923,35.155,36.167,37.310,39.616,43.003,47.839,51.084,53.818,55.848,55.861,56.793,59.563,63.054,64.507,65.754,67.043,69.628,72.920,75.862,78.171,78.274,76.303,75.846,76.045,76.130,75.431,75.329,76.618,76.982,76.811,77.078,78.026,80.331,83.902,87.261,91.162,94.664,97.350,100.014,100.419,99.759,99.080,98.488,98.735,99.664,100.786,101.748,99.487,97.415,97.889,100.000,101.932,104.301,106.802,108.365,110.504,113.061
"15","        Special industry machinery, n.e.c.",24.418,24.966,25.233,25.420,25.482,24.949,24.068,22.839,21.838,21.002,20.492,20.530,20.707,20.329,20.084,19.963,19.842,19.415,18.728,18.702,19.453,20.972,23.982,26.498,27.706,29.306,30.952,31.926,33.005,33.467,34.507,35.820,36.703,36.983,37.465,38.430,39.097,40.098,40.939,42.325,45.044,48.050,50.085,51.894,53.760,55.419,56.360,57.723,59.666,61.179,61.045,60.833,60.677,61.885,63.174,64.328,65.202,66.026,66.862,68.617,70.806,72.897,75.056,77.534,80.749,82.587,83.266,83.663,84.898,86.612,89.570,92.545,95.116,97.796,100.251,104.114,105.928,105.986,105.404,104.428,103.915,104.334,104.839,104.351,101.644,99.217,99.943,100.000,100.080,101.037,101.231,101.541,102.540,103.669
"16","        General industrial, including materials handling, equipment",5.473,6.062,6.478,6.919,7.789,8.198,8.273,8.016,7.778,7.696,7.868,8.381,8.968,9.103,9.399,9.798,10.231,10.187,10.226,10.931,12.289,13.442,14.918,16.088,16.396,16.715,17.206,17.565,18.144,18.650,19.457,20.380,21.178,21.543,21.972,22.565,22.933,23.454,24.298,25.638,27.278,29.273,30.602,31.721,33.194,34.471,35.358,36.197,37.990,40.313,41.507,42.664,44.646,47.354,50.236,52.358,54.010,54.999,55.363,56.817,58.530,60.402,61.520,62.858,64.105,64.972,65.120,65.261,66.436,68.086,70.373,72.749,75.207,78.015,80.132,82.597,83.857,84.867,86.369,87.937,90.329,93.447,96.056,97.692,96.992,96.897,98.095,100.000,101.462,103.731,106.077,108.126,110.550,113.441
"17","        Electrical transmission, distribution, and industrial apparatus",2.001,2.161,2.300,2.468,2.660,2.805,2.869,2.821,2.757,2.731,2.753,2.827,3.014,3.090,3.185,3.399,3.636,3.703,3.750,4.036,4.357,4.793,5.522,6.148,6.653,7.297,8.100,9.068,10.068,11.078,12.019,13.096,14.222,14.998,15.777,16.658,17.493,18.338,19.155,20.166,21.361,22.933,24.351,25.576,26.860,28.181,29.212,30.408,32.055,33.868,34.953,35.953,37.342,38.677,40.184,41.500,42.826,43.975,45.136,46.933,48.588,49.954,51.511,53.083,54.690,56.093,57.134,58.181,59.307,60.728,62.443,64.242,66.251,68.406,70.867,73.980,76.352,77.983,79.592,81.663,84.030,87.290,90.652,93.290,94.462,95.957,97.885,100.000,102.450,104.792,106.800,109.027,111.312,114.364
"18","      Transportation equipment",20.421,20.684,20.501,20.398,20.457,20.182,19.300,18.160,17.232,16.699,16.375,16.484,16.800,16.423,16.288,16.585,16.988,16.096,15.288,14.529,14.487,15.311,16.948,18.349,19.496,20.791,21.733,21.977,22.574,22.544,23.287,23.564,24.145,23.519,23.553,23.967,24.115,25.078,25.701,26.776,28.849,31.248,33.088,35.982,38.696,39.510,40.730,42.736,45.846,47.645,48.185,49.338,51.725,54.726,57.796,58.706,59.475,58.903,59.238,60.886,62.170,62.581,62.430,63.069,62.582,62.085,61.914,62.228,64.015,67.234,70.107,72.964,76.235,80.249,86.281,90.390,92.044,92.356,91.726,93.435,96.452,100.167,102.577,101.086,93.523,92.545,95.076,100.000,105.661,112.464,120.501,126.045,129.683,134.520
"19","        Trucks, buses, and truck trailers",5.076,5.360,5.389,5.508,5.848,5.831,5.541,4.980,4.644,4.705,5.037,5.665,6.130,5.936,6.140,6.488,7.039,6.059,5.323,5.205,6.325,7.554,9.339,11.138,11.940,13.134,14.255,14.271,14.265,14.118,14.800,15.277,15.306,14.880,15.090,15.279,15.541,16.644,17.804,18.929,20.852,23.269,24.473,26.479,29.258,30.184,31.524,34.420,38.303,40.863,40.034,40.819,43.227,46.484,49.245,48.180,46.780,45.052,44.619,46.683,49.559,50.189,50.787,51.221,50.958,48.968,46.573,45.638,47.694,52.751,58.381,64.335,71.277,78.582,86.876,91.547,90.991,89.519,89.314,94.273,101.897,110.883,114.079,108.550,93.665,89.919,93.980,100.000,108.509,119.501,134.358,147.944,158.415,173.269
