"Table 4.2. Chain-Type Quantity Indexes for Net Stock of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"9","  Manufacturing",8.488,8.696,8.896,9.201,9.673,9.879,9.808,9.535,9.409,9.369,9.397,9.584,9.946,9.974,10.094,10.429,11.046,11.233,11.161,11.302,11.746,12.692,13.759,14.511,14.771,15.070,15.775,16.559,17.337,18.024,18.698,19.856,20.943,21.372,21.726,22.412,23.007,23.737,24.556,25.714,27.443,29.754,31.766,33.657,35.595,37.228,38.424,39.775,41.409,43.584,45.061,46.474,48.059,50.030,52.020,54.028,56.156,57.352,57.987,59.530,61.368,62.427,63.190,63.896,65.291,66.728,67.935,69.089,69.984,71.444,73.725,76.642,79.493,82.321,84.629,87.102,89.111,89.643,89.731,90.002,90.888,92.220,94.598,96.815,97.016,97.325,98.459,100.000,101.901,103.630,105.230,106.712,107.917,109.360
"10","    Equipment",7.565,7.628,7.673,7.783,8.067,8.191,8.049,7.711,7.528,7.498,7.637,7.992,8.522,8.636,8.878,9.345,9.941,10.262,10.406,10.961,11.864,13.067,14.782,16.107,16.567,17.003,17.908,18.791,19.594,20.269,20.899,21.963,23.010,23.107,23.144,23.527,23.787,24.303,24.920,26.119,28.034,30.590,32.614,34.470,36.360,37.874,38.946,40.541,42.462,45.347,47.195,48.977,51.121,53.595,56.036,58.366,60.873,61.758,61.824,63.325,65.161,65.890,66.258,66.574,67.972,69.454,70.643,71.701,72.684,74.504,77.212,80.229,82.958,86.158,88.463,90.790,92.070,92.439,92.298,92.085,92.643,93.752,95.940,98.261,97.229,96.820,98.200,100.000,101.919,103.548,105.342,106.432,107.558,109.272
"11","    Structures",24.155,25.028,25.914,27.144,28.781,29.403,29.192,28.501,28.205,27.899,27.461,27.334,27.700,27.367,27.142,27.383,28.492,28.276,27.658,27.146,27.355,28.988,30.168,30.723,30.882,31.102,32.252,33.437,34.457,35.380,36.396,38.306,40.123,40.900,41.413,42.643,43.792,44.921,46.182,47.667,50.050,53.450,56.481,59.226,62.089,64.718,66.702,68.168,70.162,72.819,74.739,76.351,77.898,80.308,82.661,85.087,87.496,89.251,89.978,91.029,92.309,92.956,93.289,93.745,94.703,95.570,96.112,96.714,97.042,97.645,99.043,101.070,102.704,103.592,104.369,105.410,106.529,106.087,104.884,103.781,102.776,101.928,102.265,102.058,101.414,100.499,99.804,100.000,100.449,100.821,101.059,100.842,100.600,100.293
"12","    Intellectual property products",0.342,0.364,0.387,0.424,0.470,0.522,0.596,0.655,0.707,0.777,0.850,0.912,0.964,1.036,1.117,1.228,1.475,1.640,1.609,1.578,1.562,1.717,1.914,2.082,2.144,2.280,2.424,2.754,3.227,3.664,4.081,4.750,5.321,5.880,6.451,7.093,7.696,8.339,9.023,9.754,10.630,11.705,12.861,14.073,15.313,16.338,17.106,17.977,18.922,19.787,20.414,21.120,21.880,22.779,23.827,25.044,26.394,27.600,28.919,30.798,32.968,34.739,36.337,37.707,39.326,41.027,42.648,44.237,45.356,46.876,49.125,52.417,56.163,59.818,63.156,66.759,70.223,71.698,73.066,75.000,77.868,81.393,85.859,90.269,92.726,94.997,97.522,100.000,103.220,106.320,108.984,112.495,115.138,117.962
"13","  Nonfarm nonmanufacturing",10.200,10.574,10.887,11.184,11.525,11.749,11.737,11.552,11.320,11.163,11.075,11.108,11.210,11.197,11.218,11.319,11.444,11.327,11.180,11.111,11.242,11.564,11.957,12.419,12.798,13.265,13.681,14.052,14.535,14.963,15.525,16.092,16.652,17.072,17.586,18.131,18.666,19.290,19.930,20.696,21.682,22.771,23.751,24.812,25.972,26.987,27.966,29.093,30.464,31.566,32.269,33.090,34.169,35.612,37.330,38.888,40.583,42.094,43.498,45.448,47.529,49.356,51.050,52.804,54.475,56.041,57.153,58.214,59.673,61.201,62.992,65.024,67.471,70.345,73.684,77.271,79.882,81.666,83.470,85.377,87.414,89.966,92.622,94.895,95.601,96.618,98.081,100.000,101.997,104.468,106.837,108.978,111.207,113.932
"14","    Equipment",3.690,3.864,3.943,4.031,4.151,4.139,3.995,3.755,3.525,3.375,3.291,3.319,3.398,3.337,3.327,3.429,3.569,3.433,3.310,3.240,3.405,3.688,4.160,4.616,4.911,5.301,5.619,5.878,6.224,6.445,6.841,7.199,7.553,7.700,7.985,8.313,8.574,8.958,9.385,9.917,10.643,11.542,12.305,13.193,14.201,15.003,15.757,16.695,18.084,19.180,19.708,20.392,21.515,23.115,24.895,26.151,27.320,28.132,29.156,30.748,32.240,33.654,34.840,36.216,37.405,38.164,38.546,39.221,40.688,42.624,44.901,47.467,50.520,54.206,58.866,63.812,67.105,69.275,71.744,74.985,78.945,83.924,88.445,91.152,90.438,92.459,95.686,100.000,104.400,109.505,114.728,119.208,123.943,129.539
"15","    Structures",18.047,18.655,19.241,19.773,20.351,20.847,21.003,20.911,20.687,20.515,20.397,20.382,20.450,20.452,20.470,20.517,20.551,20.431,20.215,20.108,20.106,20.390,20.634,21.073,21.513,22.032,22.547,23.029,23.639,24.282,24.993,25.773,26.541,27.263,28.004,28.775,29.568,30.422,31.235,32.220,33.431,34.640,35.786,36.963,38.245,39.499,40.749,42.109,43.538,44.722,45.629,46.544,47.539,48.817,50.445,52.283,54.426,56.496,58.122,60.269,62.783,64.788,66.762,68.616,70.374,72.292,73.612,74.566,75.613,76.524,77.717,79.097,80.752,82.654,84.509,86.641,88.498,89.682,90.764,91.710,92.579,93.902,95.637,97.592,98.574,98.912,99.326,100.000,100.790,102.031,103.095,103.962,104.895,106.134
"16","    Intellectual property products",0.967,1.014,1.077,1.156,1.274,1.371,1.418,1.451,1.497,1.577,1.682,1.827,1.982,2.141,2.277,2.391,2.556,2.690,2.842,2.980,3.180,3.382,3.502,3.581,3.693,3.795,3.836,3.918,4.053,4.192,4.381,4.528,4.684,4.815,4.994,5.120,5.383,5.584,5.855,6.050,6.340,6.698,7.027,7.358,7.637,7.792,7.913,8.083,8.237,8.372,8.519,8.956,9.489,10.074,10.939,11.659,12.660,13.801,15.055,16.563,18.046,19.777,21.392,23.275,25.574,27.963,30.415,32.832,35.292,37.263,39.111,41.281,44.284,48.001,53.065,58.402,62.071,65.465,68.866,71.999,75.380,78.862,82.434,85.752,88.685,91.650,95.685,100.000,104.331,109.010,113.810,119.747,125.696,133.004
"","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","  Corporate",10.333,10.603,10.819,11.048,11.359,11.551,11.506,11.303,11.096,10.965,10.887,10.931,11.067,11.046,11.063,11.191,11.407,11.391,11.280,11.286,11.484,11.905,12.403,12.887,13.205,13.567,14.013,14.484,15.020,15.474,15.996,16.662,17.316,17.695,18.133,18.676,19.179,19.766,20.389,21.178,22.263,23.583,24.784,26.044,27.367,28.493,29.486,30.637,32.070,33.468,34.394,35.400,36.662,38.291,40.133,41.839,43.586,44.972,46.206,48.069,50.033,51.622,52.968,54.336,55.845,57.452,58.634,59.802,61.272,62.949,65.058,67.523,70.283,73.318,76.610,80.128,82.635,83.974,85.278,86.742,88.491,90.764,93.280,95.398,95.760,96.569,98.022,100.000,102.099,104.656,106.979,108.965,111.022,113.587
"18","    Equipment",4.623,4.742,4.771,4.826,4.938,4.946,4.797,4.547,4.336,4.214,4.155,4.224,4.371,4.336,4.353,4.499,4.709,4.700,4.635,4.693,4.974,5.394,6.026,6.595,6.903,7.244,7.645,8.043,8.478,8.792,9.197,9.697,10.220,10.384,10.664,11.057,11.372,11.833,12.351,13.049,14.071,15.368,16.468,17.645,18.911,19.908,20.778,21.908,23.511,25.068,25.948,26.937,28.390,30.285,32.328,33.920,35.412,36.286,37.198,38.867,40.474,41.799,42.804,43.970,45.241,46.305,46.940,47.813,49.388,51.534,54.205,57.191,60.509,64.325,68.637,73.106,75.845,77.276,78.849,81.017,83.920,87.720,91.352,93.584,92.398,93.597,96.276,100.000,103.777,108.138,112.481,115.907,119.569,124.040
