"Table 1.7.6. Relation of Real Gross Domestic Product, Real Gross National Product, and Real Net National Product, Chained Dollars"
"[Billions of chained (2012) dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","Equals: Net national product",1025.6,926.4,858.4,734.4,725.8,817.8,900.8,1028.4,1084.8,1042.8,1135.2,1242.4,1480.0,1769.2,2069.9,2217.9,2172.7,1892.8,1875.1,1964.8,1949.0,2136.6,2322.3,2413.9,2521.7,2490.0,2676.9,2727.1,2776.5,2731.3,2934.7,3009.2,3082.3,3280.5,3422.3,3624.6,3864.7,4118.3,4214.2,4419.2,4542.7,4524.7,4675.4,4932.5,5227.4,5171.3,5119.6,5422.3,5684.4,6004.6,6198.7,6134.6,6263.5,6092.7,6380.0,6866.0,7110.9,7319.0,7552.0,7872.6,8155.3,8295.0,8234.2,8534.4,8764.1,9112.4,9341.7,9687.1,10095.2,10515.2,10998.0,11424.5,11478.1,11635.2,11974.7,12453.0,12873.3,13174.7,13434.3,13379.8,12922.1,13339.6,13570.3,13853.3,14072.7,14422.3,14826.4,15031.8,15401.6,15872.1
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"11","    Gross domestic income (GDI)1",1101.7,1020.0,941.0,823.7,809.9,900.5,989.3,1097.8,1170.9,1122.7,1205.5,1316.4,1561.9,1871.7,2198.0,2325.1,2289.5,2047.2,2011.5,2120.5,2093.1,2279.9,2449.2,2556.6,2669.4,2660.1,2856.8,2945.7,2996.4,2968.0,3177.0,3267.8,3349.0,3548.6,3711.5,3916.6,4166.6,4418.1,4549.9,4776.4,4934.4,4926.6,5072.5,5353.1,5662.7,5629.2,5600.1,5883.4,6165.9,6503.5,6660.3,6654.1,6848.4,6787.8,7006.2,7554.2,7851.6,8082.6,8434.2,8861.4,9081.4,9215.4,9214.1,9512.7,9725.2,10153.6,10500.9,10952.0,11506.4,12111.7,12653.9,13254.6,13403.9,13582.7,13895.7,14432.4,14975.5,15569.1,15606.9,15410.8,15006.6,15535.2,15894.9,16438.4,16652.9,17191.1,17647.3,17794.7,18170.8,18628.4
"12","    Average of GDP and GDI2",1105.6,1017.5,945.5,825.6,813.6,903.1,987.8,1105.5,1170.6,1127.2,1213.9,1323.3,1563.9,1866.6,2188.2,2338.4,2309.1,2052.8,2023.1,2119.5,2099.8,2284.7,2461.5,2565.8,2682.5,2670.0,2864.0,2939.0,2995.3,2970.0,3177.6,3263.9,3346.3,3548.5,3707.2,3916.4,4168.7,4432.0,4558.9,4784.3,4938.2,4939.0,5093.4,5368.2,5674.9,5642.8,5622.5,5916.2,6195.0,6536.0,6718.5,6706.6,6889.6,6796.8,7062.0,7593.5,7901.4,8154.5,8472.6,8864.0,9136.7,9290.5,9284.7,9598.8,9838.4,10253.0,10565.6,10991.7,11514.2,12075.0,12632.2,13192.8,13333.0,13537.9,13887.4,14419.4,14944.0,15453.7,15616.5,15507.7,15107.7,15567.0,15867.8,16317.7,16574.1,17051.5,17525.6,17741.8,18139.4,18633.3
"13","    Gross national income3",1112.3,1030.0,949.3,830.5,815.7,906.0,995.6,1103.4,1178.1,1130.1,1213.3,1323.3,1570.9,1881.1,2207.4,2335.0,2298.4,2057.8,2024.9,2136.2,2107.7,2296.0,2468.5,2576.6,2688.8,2680.5,2879.6,2970.4,3022.3,2990.7,3200.5,3293.3,3376.8,3579.6,3744.6,3952.2,4203.9,4453.8,4586.7,4815.8,4973.0,4964.9,5114.5,5398.2,5721.8,5695.7,5652.9,5945.5,6235.3,6572.6,6751.7,6744.6,6928.8,6871.3,7087.7,7632.3,7908.0,8122.4,8472.2,8907.2,9128.3,9274.9,9265.4,9562.4,9774.5,10190.8,10543.4,10997.5,11541.2,12138.0,12691.1,13303.6,13469.3,13642.9,13970.5,14529.1,15069.1,15629.5,15729.2,15577.6,15157.1,15740.4,16135.9,16670.7,16879.9,17425.6,17868.2,18008.1,18407.3,18888.0
"14","    Net domestic product",1014.8,916.2,850.0,727.5,719.8,812.3,894.5,1022.7,1077.4,1035.2,1127.2,1235.3,1470.8,1759.5,2060.3,2207.7,2163.6,1882.1,1861.5,1948.8,1934.1,2120.2,2302.5,2393.4,2501.9,2469.1,2653.7,2701.9,2750.0,2708.2,2910.8,2983.3,3054.0,3248.8,3388.5,3588.2,3826.6,4081.9,4176.7,4379.0,4503.5,4485.9,4632.6,4886.6,5166.9,5103.2,5065.9,5358.9,5613.5,5933.9,6104.8,6041.6,6181.3,6007.2,6296.6,6786.3,7054.0,7279.3,7514.3,7827.1,8108.5,8235.3,8183.1,8484.9,8715.2,9075.9,9299.8,9642.2,10061.3,10490.0,10961.9,11376.5,11413.4,11575.9,11900.6,12356.9,12780.4,13115.4,13312.5,13213.0,12771.8,13134.5,13329.3,13621.0,13845.8,14187.8,14605.5,14818.4,15165.1,15612.6
"15","    Net domestic income4",1006.9,921.2,840.8,723.6,712.3,807.1,897.6,1006.8,1078.1,1026.1,1109.8,1221.1,1466.8,1770.1,2080.6,2180.1,2123.1,1870.6,1837.3,1950.8,1920.1,2110.1,2276.8,2374.4,2474.4,2448.3,2638.7,2715.8,2752.4,2704.1,2909.6,2991.5,3059.6,3249.0,3397.4,3588.5,3822.3,4053.0,4158.2,4362.4,4495.5,4460.3,4589.2,4855.3,5141.4,5074.8,5019.1,5290.2,5552.5,5865.5,5982.7,5931.1,6094.7,5988.3,6179.8,6704.2,6950.5,7129.7,7434.5,7821.8,7993.7,8080.3,8037.5,8308.0,8483.0,8872.1,9167.1,9561.0,10045.5,10564.8,11006.0,11502.1,11557.2,11666.6,11917.3,12383.2,12844.1,13348.6,13293.2,13017.4,12568.6,13070.9,13383.6,13862.4,14003.1,14466.7,14848.7,14924.0,15227.6,15602.8
"16","    Net domestic purchases",1040.5,942.4,876.5,751.9,745.0,838.0,931.2,1061.6,1113.0,1058.3,1152.5,1257.4,1510.3,1829.9,2165.5,2318.5,2255.8,1871.6,1827.2,1963.7,1946.9,2166.8,2333.9,2442.1,2572.0,2527.1,2717.4,2755.7,2797.6,2782.7,2991.0,3041.6,3112.4,3320.5,3455.5,3646.9,3904.4,4179.8,4287.6,4510.3,4640.4,4604.9,4765.7,5037.3,5279.3,5170.1,5080.8,5440.9,5742.9,6063.5,6190.8,6011.3,6159.9,6029.6,6412.6,7018.7,7318.8,7569.6,7791.0,8032.5,8267.3,8355.8,8243.4,8549.8,8836.0,9239.3,9450.8,9811.0,10267.5,10834.7,11419.1,11944.6,12011.0,12262.1,12652.0,13207.4,13675.4,14026.6,14142.7,13879.7,13261.5,13700.5,13897.4,14189.6,14378.9,14763.4,15316.0,15585.2,15987.8,16497.3
"Legend / Footnotes:"
"1. Gross domestic income deflated by the implicit price deflator for gross domestic product."
"2. The arithmetic average of gross domestic product and of gross domestic income, deflated by the implicit price deflator for GDP."
"3. Gross national income deflated by the implicit price deflator for gross national product."
"4. Net domestic income deflated by the implicit price deflator for net domestic product."
"Note. Except as noted in footnotes 1, 2 and 3, chained (2012) dollar series are calculated as the product of the chain-type quantity index and the 2012 current-dollar value of the corresponding series, divided by 100. Because the formula for the chain-type quantity indexes uses weights of more than one period, the corresponding chained-dollar estimates are usually not additive."
