Table 4.4. Current-Cost Depreciation of Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
[Billions of dollars] ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bureau of Economic Analysis ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Last Revised on: August 8, 2019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Line,,1925,1926,1927,1928,1929,1930,1931,1932,1933,1934,1935,1936,1937,1938,1939,1940,1941,1942,1943,1944,1945,1946,1947,1948,1949,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
9,  Manufacturing,1.2,1.3,1.3,1.3,1.4,1.3,1.2,1.1,1,1.2,1.2,1.3,1.4,1.5,1.5,1.6,1.9,2.2,2.3,2.4,2.5,3,3.6,4.3,4.7,4.9,5.7,6.1,6.6,7,7.5,8.5,9.6,10.3,10.8,11.2,11.6,12.1,12.8,13.6,14.7,16.2,18,20,22.2,24.5,26.6,28.6,31.4,36.5,43.1,47.3,52.6,58.8,66.9,77.3,87.8,96.3,100.9,106,113.1,120.8,128.2,136.4,143.7,152.4,160.9,167.2,173.2,181,194.9,207,221.5,235.1,249.4,264.9,274.7,278,279.1,284.3,295.5,308.7,326.2,347.5,353.5,356.7,369.3,383.4,395.2,410,423.5,428.4,447,469.1
10,    Equipment,0.8,0.9,0.9,0.9,0.9,0.9,0.8,0.8,0.7,0.8,0.8,0.8,1,1,1,1.1,1.3,1.4,1.4,1.5,1.6,1.9,2.3,2.8,3.1,3.3,3.8,4.1,4.3,4.6,4.8,5.4,6.1,6.5,6.6,6.7,6.7,6.9,7.1,7.4,8,8.8,9.9,10.8,11.8,12.9,13.8,14.6,15.7,18.2,22.4,25,28.4,32.1,36.6,42.4,48.1,52.2,53.5,54.6,57.6,61.3,64.8,68.1,71.3,75.5,79.3,82,84.3,87.7,93.4,98,101.8,105.3,108.7,112.1,114.4,114.8,114.6,116.2,119.4,122.9,128.1,135.1,137,136.3,140.1,144.8,148.2,151.6,153.6,154.9,157.4,162
11,    Structures,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.6,0.7,0.8,0.8,0.8,0.9,1,1,1,1,1.2,1.3,1.3,1.3,1.3,1.4,1.4,1.5,1.6,1.7,1.8,2,2.2,2.5,2.8,3.1,3.5,3.9,4.4,5,5.3,5.8,6.5,7.4,8.5,9.6,10.4,10.9,11.4,11.9,12.5,13,13.5,14.1,14.7,15,15.2,15.8,16.5,17.3,18,18.9,19.9,20.9,21.8,22.8,23.5,23.8,24.8,26.4,28,29.4,30.9,31.4,30.4,30.9,31.6,32.4,33.6,34.4,34.6,35.4,37
12,    Intellectual property products,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.7,0.8,0.9,1,1.2,1.4,1.6,1.9,2.3,2.6,2.9,3.2,3.5,3.9,4.2,4.6,5,5.5,6.2,6.9,7.9,8.9,9.7,10.6,11.8,13.9,15.6,16.9,18.4,20.2,22.8,26.3,30.2,33.7,36.5,40,43.6,47,50.4,54.7,58.4,62.2,66.6,70,73.1,76.8,84.2,90.9,100.8,109.9,119.8,130.9,137.4,139.7,140.7,143.4,149.6,157.8,168.6,181.4,185.1,190,198.3,207,214.5,224.8,235.5,238.9,254.2,270.1
13,  Nonfarm nonmanufacturing,4.7,5,5.2,5.3,5.4,5.3,5,4.4,4.1,4.1,4.1,4.1,4.6,4.7,4.6,4.8,5.3,5.9,6,6.1,6.3,7.2,9,10.5,11.4,12.3,14.1,14.9,15.8,16.6,17.7,19.7,21.7,23.1,24.1,24.6,25.4,26.4,27.6,29.2,31.3,34.1,37.2,40.9,45.4,50.3,55.2,60.2,67.5,78.9,92.5,101.4,113.7,129.5,149.8,173.1,201.3,225.9,236.8,251.9,272.4,291.9,310.4,336.2,362.5,386.5,406.8,417.7,438.1,464.7,498.9,526.3,560.4,598.5,648.8,714.6,765.4,796.7,821.7,867.8,941.3,1022.2,1091,1153.4,1161.3,1168.8,1220.4,1286.3,1343.4,1419.2,1482.3,1524.5,1592.1,1679.7
14,    Equipment,2.6,2.9,3,3,3.1,3,2.8,2.5,2.2,2.2,2.2,2.2,2.4,2.4,2.4,2.5,2.8,3.2,3,3.1,3,3.6,4.6,5.6,6.4,7,8.1,8.6,9.2,9.8,10.4,11.6,12.8,14,14.5,14.7,15.1,15.6,16.4,17.4,18.7,20.5,22.5,24.8,27.6,30.5,33.5,36.4,40.4,47.2,56,62,69.6,79.5,92.1,107.5,122.5,135.5,143.6,152.6,164.6,177.1,189.6,203.4,217.4,228.3,235.5,240.5,248.9,263.9,283.8,299.5,316.2,332.4,355.5,386.4,405.1,413,416.7,432.5,458.3,486.7,517.9,538.8,539.3,538.2,559.3,585.9,613.1,640,666.5,687,711,745.9
15,    Structures,1.8,1.9,2,2,2.1,2,1.9,1.7,1.7,1.7,1.7,1.7,1.9,1.9,1.9,2,2.1,2.3,2.5,2.5,2.6,2.9,3.5,4,4.1,4.3,4.9,5.2,5.4,5.6,5.9,6.6,7.2,7.3,7.6,7.9,8,8.3,8.5,8.9,9.4,10.1,10.7,11.6,12.7,14,15.4,16.9,19.7,23.5,27.4,29.4,33.1,37.5,43.4,49,59.5,67.9,67.3,69.4,73.6,76.3,77,83.1,88.3,93.3,97.4,97.8,101.6,106.1,112.3,117,124.5,133.7,139.2,147.6,161,172.7,182.1,199.3,230.8,265.5,286.2,309.1,305,304.1,317.3,336.4,345,370.7,383.4,381.8,393.9,409.8
16,    Intellectual property products,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.6,0.7,0.8,0.9,0.9,1,1,1.1,1.2,1.3,1.4,1.5,1.7,1.8,1.9,2.1,2.3,2.5,2.6,2.9,3.2,3.6,4,4.5,5.1,5.8,6.4,6.8,7.4,8.1,9.1,10,11,12.5,14.3,16.6,19.4,22.4,25.9,29.8,34.2,38.6,43.7,49.7,56.7,64.8,73.9,79.4,87.6,94.7,102.8,109.8,119.6,132.4,154,180.7,199.2,210.9,222.8,236,252.2,270,286.9,305.4,317,326.4,343.8,364,385.3,408.4,432.3,455.7,487.2,524.1
,By legal form of organization:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,  Corporate,4.6,4.9,5,5.1,5.2,5.1,4.7,4.2,4,4.1,4.2,4.2,4.7,4.8,4.8,5,5.6,6.4,6.5,6.7,6.9,8,9.8,11.4,12.4,13.2,15.1,16.1,17.2,18.3,19.5,22,24.5,26.3,27.6,28.4,29.4,30.7,32.3,34.3,37,40.7,44.9,49.8,55.5,61.6,67.4,73.2,81.7,95.8,113.2,124.8,140.2,159,183.1,211.8,244.6,272.2,285.6,302.8,326.5,349.4,370.6,398.4,425.6,453.1,478,492.7,515.4,545.7,588.5,624.3,667.9,712.6,767.1,835.8,885.6,911.3,929,969.1,1037.7,1114.4,1183.8,1251.5,1258.8,1266.2,1319.8,1387.5,1445,1522,1586.8,1624.5,1697.5,1789.3
