"Table 1.1.9. Implicit Price Deflators for Gross Domestic Product"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","            Structures",3.559,3.369,3.082,2.675,2.703,2.711,2.838,2.833,3.219,3.158,3.124,3.173,3.396,3.789,4.118,4.209,4.396,4.924,5.968,6.639,6.616,6.699,7.471,7.669,7.819,7.724,7.879,8.553,8.920,8.777,8.825,8.814,8.761,8.830,8.905,9.032,9.294,9.629,9.929,10.427,11.114,11.845,12.757,13.674,14.734,16.770,18.773,19.692,21.401,23.468,26.194,28.629,32.566,35.136,34.241,34.540,35.361,36.039,36.618,38.171,39.666,40.948,41.689,41.699,42.922,44.437,46.362,47.540,49.355,51.612,53.198,55.283,58.178,60.603,62.769,67.416,75.733,84.749,89.748,94.335,92.613,92.006,95.362,100.000,101.455,107.198,109.598,109.958,112.952,117.062
"11","            Equipment",25.023,24.021,22.768,21.474,20.631,21.795,21.602,21.569,22.803,23.352,23.106,23.725,25.233,27.752,27.897,28.433,28.913,31.651,35.857,38.443,39.972,40.979,44.460,45.357,45.458,46.542,46.998,50.493,53.336,54.375,55.371,55.838,55.535,55.272,54.985,54.955,55.026,55.204,56.467,58.017,59.657,61.891,63.848,64.686,65.780,70.713,81.484,86.486,91.800,96.900,103.167,112.250,120.463,125.415,125.776,124.748,124.748,127.254,128.083,129.854,132.337,135.042,137.330,137.121,135.518,135.277,133.796,130.762,127.156,121.451,116.763,114.224,110.858,108.531,105.725,104.841,104.598,103.560,103.191,102.542,103.168,99.471,99.447,100.000,99.787,99.169,98.672,97.436,97.287,97.396
"12","            Intellectual property products",16.025,15.341,14.374,13.060,12.151,12.367,12.568,12.869,13.370,13.307,13.379,13.589,14.365,15.961,17.629,19.149,19.676,20.723,22.755,23.935,23.984,24.545,26.054,26.384,26.844,27.036,27.679,28.731,29.644,30.362,30.922,31.393,31.596,31.751,31.791,32.282,32.509,33.002,33.505,34.676,36.204,37.929,39.318,40.490,42.494,46.461,50.190,52.408,54.709,57.557,61.382,66.123,71.058,75.093,77.898,80.081,81.413,82.047,83.518,86.129,87.240,88.147,90.271,89.373,89.998,90.468,93.134,93.544,94.052,93.595,95.105,97.814,97.684,96.376,95.647,95.335,95.952,97.088,98.284,99.834,98.589,98.306,99.517,100.000,100.081,100.791,101.677,100.464,101.742,103.282
"13","        Residential",5.071,4.962,4.493,3.663,3.607,4.006,3.950,4.142,4.547,4.692,4.722,4.864,5.314,5.708,6.176,6.775,7.232,7.849,9.402,10.192,10.327,10.582,11.340,11.652,11.736,11.783,12.028,12.335,12.368,12.338,12.374,12.458,12.477,12.497,12.399,12.496,12.846,13.312,13.770,14.498,15.518,16.016,16.943,17.975,19.571,21.593,23.590,25.117,27.683,31.082,34.593,38.324,41.425,43.646,44.680,46.003,47.267,49.351,51.486,53.279,55.020,56.288,57.021,57.723,60.074,62.247,64.473,65.856,67.444,69.223,71.816,75.004,78.564,80.510,84.325,90.243,96.706,102.355,103.708,102.249,98.671,98.317,99.049,100.000,105.054,111.118,114.129,118.148,123.510,130.488
"14","    Change in private inventories","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"15","Net exports of goods and services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---"
"16","    Exports",13.652,12.360,9.726,8.435,8.434,9.780,10.028,10.366,11.055,10.547,10.405,11.285,12.322,14.894,16.293,18.350,18.196,17.585,20.416,21.505,20.222,19.691,22.248,22.384,22.321,22.017,22.206,22.948,23.819,23.578,23.630,23.962,24.325,24.384,24.336,24.531,25.312,26.079,27.084,27.664,28.589,29.711,30.796,32.145,36.382,44.807,49.388,51.009,53.088,56.317,63.101,69.503,74.650,75.006,75.311,76.016,73.753,72.523,74.124,77.920,79.210,79.657,80.545,80.153,80.277,81.210,83.025,81.923,80.479,78.574,77.971,79.467,78.835,78.201,79.400,82.284,85.131,87.842,91.139,95.410,89.694,93.348,99.242,100.000,100.168,100.272,95.385,93.455,95.850,99.104
"17","        Goods",16.346,14.623,11.224,9.676,10.123,11.843,12.133,12.425,13.168,12.185,11.918,12.780,13.698,16.681,18.391,21.060,20.974,19.907,23.684,25.210,23.356,22.579,25.886,25.772,25.511,25.148,25.385,26.348,27.206,26.909,27.170,27.352,27.872,27.655,27.566,27.752,28.718,29.699,30.944,31.420,32.394,33.860,34.766,35.690,41.316,51.983,57.701,59.265,61.468,64.999,73.431,80.464,86.180,85.472,84.975,85.741,81.464,78.668,80.426,85.384,86.476,85.713,85.674,84.338,83.914,84.873,86.887,84.684,82.336,79.740,78.661,80.024,79.557,78.729,79.506,82.315,84.934,87.586,91.002,95.713,88.921,92.967,99.793,100.000,99.312,98.308,91.301,87.725,89.963,93.186
"18","        Services",6.809,6.810,6.342,5.692,4.316,4.707,4.857,5.331,5.902,6.705,6.941,7.999,9.591,11.273,12.056,12.985,12.683,13.190,13.404,13.259,13.551,13.685,14.404,15.227,15.681,15.512,15.583,15.787,16.778,16.664,16.287,16.857,16.910,17.489,17.521,17.727,18.128,18.463,18.987,19.734,20.536,20.975,22.348,24.432,25.645,28.883,30.878,32.665,34.498,37.076,40.127,45.237,49.182,51.966,54.035,54.600,56.565,58.497,59.750,61.082,62.774,65.748,68.555,70.165,71.456,72.323,73.683,75.137,75.898,75.740,76.325,78.159,77.107,76.952,79.172,82.236,85.634,88.490,91.504,94.746,91.386,94.197,97.999,100.000,102.099,104.708,104.582,106.331,109.078,112.389
"19","    Imports",9.575,8.164,6.598,5.288,5.068,5.758,5.853,6.263,6.990,6.459,6.780,7.232,7.638,8.748,9.417,9.892,10.169,11.338,13.584,14.763,14.070,14.945,18.063,17.409,16.662,16.889,16.798,17.094,17.289,16.571,16.720,16.881,16.881,16.682,17.006,17.364,17.606,18.016,18.086,18.361,18.839,19.954,21.179,22.662,26.601,38.058,41.226,42.467,46.209,49.471,57.930,72.169,76.060,73.507,70.751,70.139,67.836,67.844,71.935,75.377,77.024,79.233,78.573,78.636,78.033,78.766,80.924,79.514,76.750,72.618,73.019,76.221,74.223,73.242,75.454,79.060,83.703,86.909,89.921,98.960,87.987,92.783,99.826,100.000,98.636,97.854,89.947,86.696,88.622,91.181
"20","        Goods",9.673,7.982,6.242,4.892,4.895,5.589,5.680,6.097,6.813,6.107,6.218,6.637,7.118,8.246,8.941,9.549,9.782,11.020,13.532,14.943,14.146,15.302,19.210,18.263,17.480,17.856,17.808,18.157,18.319,17.362,17.488,17.675,17.506,17.088,17.245,17.710,17.798,18.199,18.225,18.470,18.990,20.281,21.320,22.954,27.055,40.486,43.878,45.051,49.178,52.456,61.854,78.065,82.426,79.111,75.802,75.280,72.318,70.710,75.730,79.338,81.558,83.056,81.486,81.040,80.134,80.718,82.870,80.770,77.434,72.757,72.800,76.641,74.464,73.097,74.687,78.232,83.183,86.528,89.429,99.234,86.628,92.052,99.913,100.000,98.054,96.738,87.581,83.797,85.693,88.153
"21","        Services",8.856,8.479,7.529,6.381,5.400,6.025,6.132,6.467,7.180,7.411,8.594,9.144,9.142,10.220,10.896,11.216,11.578,12.646,14.128,14.627,14.222,14.250,15.092,15.124,14.472,14.432,14.278,14.471,14.710,14.405,14.583,14.691,14.974,15.170,15.793,15.927,16.483,16.896,17.060,17.393,17.747,18.380,20.045,21.043,24.341,28.947,31.294,32.708,35.033,38.215,43.157,50.086,52.264,52.303,51.444,50.560,50.498,55.969,56.763,59.533,59.218,63.655,65.983,67.836,68.411,69.753,71.931,73.726,73.724,72.282,74.537,74.259,73.214,74.271,79.866,83.818,86.721,89.134,92.770,97.798,94.511,96.416,99.392,100.000,101.575,103.558,102.286,101.861,103.943,107.026
"22","Government consumption expenditures and gross investment",5.334,5.170,4.916,4.468,4.579,4.923,4.966,5.156,5.254,5.274,5.187,5.138,5.460,5.527,5.523,5.453,5.510,6.985,7.620,7.930,8.151,8.234,8.738,8.917,9.017,9.208,9.567,10.081,10.519,10.841,10.972,11.093,11.285,11.498,11.778,12.088,12.416,12.910,13.353,14.068,14.892,16.078,17.351,18.661,19.937,21.851,23.870,25.181,26.739,28.507,30.852,34.045,37.424,39.971,41.516,43.317,44.659,45.409,46.635,48.177,50.016,52.113,54.005,55.642,56.953,58.463,60.123,61.355,62.560,63.624,65.778,68.601,70.567,72.393,75.028,78.153,82.110,85.661,89.492,93.317,92.931,95.386,98.285,100.000,102.332,104.435,104.705,105.050,107.647,111.403
"23","    Federal",6.561,6.270,6.228,5.919,5.963,6.362,6.405,6.966,7.060,7.147,7.025,6.801,7.194,7.153,7.090,6.968,7.023,9.194,9.894,9.871,10.266,10.393,10.811,10.930,11.015,11.278,11.822,12.395,12.937,13.446,13.560,13.655,13.818,14.012,14.364,14.811,15.179,15.691,16.041,16.848,17.714,19.108,20.669,22.484,24.051,25.968,28.254,30.012,31.857,34.008,36.565,40.099,43.843,46.948,48.499,50.637,51.712,51.957,52.318,54.025,55.534,57.250,59.309,60.824,62.151,63.861,65.838,66.937,67.972,68.841,70.519,72.886,74.236,76.631,80.008,82.760,86.204,88.949,91.590,94.404,94.214,96.421,99.070,100.000,100.931,102.632,103.282,103.900,106.040,109.336
"24","        National defense",6.377,6.179,6.099,5.949,5.909,6.175,6.383,6.531,6.685,6.698,6.695,6.485,6.888,6.734,6.653,6.524,6.571,8.744,9.573,9.604,9.924,10.137,10.449,10.506,10.545,10.820,11.366,11.985,12.511,12.981,13.071,13.162,13.275,13.437,13.794,14.185,14.556,15.065,15.425,16.195,17.018,18.293,19.815,21.881,23.485,25.400,27.545,29.345,31.267,33.561,36.214,39.919,43.747,47.039,48.778,51.013,51.872,51.894,52.267,53.904,55.365,57.162,58.964,60.678,61.615,63.229,65.027,66.114,67.035,67.871,69.559,71.908,73.270,75.714,79.505,82.263,86.011,89.022,91.750,94.801,94.126,96.128,98.946,100.000,100.609,102.056,102.402,102.776,104.518,107.609
"25","        Nondefense",6.466,6.075,6.079,5.615,5.726,6.175,6.147,6.845,6.913,7.024,6.863,6.638,6.943,7.874,8.236,8.623,8.885,10.090,10.079,9.839,10.430,10.267,11.129,11.718,12.165,12.286,12.707,12.844,13.392,14.083,14.384,14.490,14.909,15.248,15.542,16.175,16.514,17.005,17.289,18.180,19.154,20.906,22.521,23.579,25.018,26.904,29.484,31.124,32.782,34.612,36.952,40.106,43.643,46.304,47.397,49.279,50.907,51.748,52.076,53.974,55.605,57.093,59.787,60.825,62.994,64.898,67.223,68.344,69.591,70.518,72.178,74.578,75.906,78.222,80.895,83.637,86.531,88.799,91.282,93.664,94.364,96.942,99.289,100.000,101.476,103.593,104.718,105.701,108.435,112.040
"26","    State and local",3.695,3.594,3.380,3.035,3.129,3.375,3.408,3.440,3.520,3.513,3.456,3.481,3.705,4.068,4.350,4.530,4.695,5.143,5.784,6.469,6.527,6.571,7.219,7.534,7.683,7.798,7.958,8.463,8.826,8.964,9.127,9.286,9.523,9.771,9.999,10.194,10.502,11.006,11.564,12.234,13.063,14.117,15.198,16.163,17.246,19.157,20.999,22.024,23.394,24.914,27.114,30.081,33.226,35.401,36.964,38.544,40.113,41.269,43.196,44.640,46.752,49.153,50.953,52.690,54.002,55.394,56.871,58.177,59.471,60.630,63.008,66.032,68.281,69.815,72.050,75.369,79.609,83.617,88.133,92.558,92.048,94.669,97.739,100.000,103.279,105.645,105.677,105.854,108.731,112.772
"","Addendum:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"27","    Gross national product",9.403,9.060,8.129,7.178,6.980,7.363,7.514,7.605,7.929,7.703,7.625,7.717,8.238,8.892,9.298,9.518,9.765,11.029,12.241,12.928,12.906,13.066,13.991,14.233,14.405,14.539,14.787,15.290,15.797,16.157,16.379,16.603,16.780,16.986,17.182,17.444,17.765,18.263,18.793,19.594,20.554,21.639,22.738,23.721,25.024,27.271,29.800,31.446,33.401,35.752,38.719,42.213,46.211,49.065,50.992,52.832,54.503,55.606,56.997,59.010,61.330,63.637,65.801,67.299,68.891,70.360,71.843,73.161,74.423,75.263,76.348,78.053,79.764,81.026,82.533,84.754,87.395,90.041,92.460,94.268,94.997,96.102,98.118,100.000,101.754,103.626,104.679,105.759,107.731,110.320
