"Table 1.5. Investment in Fixed Assets and Consumer Durable Goods"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 8, 2019"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"10","      Nonresidential","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.8,0.8,2.2,5.0,2.2,1.5,1.6,1.8,1.8,2.1,2.4,2.4,2.7,2.8,2.9,3.3,3.1,2.3,2.0,2.7,2.8,4.1,3.8,4.2,4.6,4.2,10.3,28.4,39.1,38.0,25.3,4.3,5.5,8.3,11.0,11.1,18.9,23.9,25.9,25.0,24.3,26.9,29.7,31.7,34.9,35.2,38.9,41.6,43.8,45.8,47.2,52.8,56.8,58.3,58.2,58.3,56.8,59.2,64.2,74.6,82.2,87.4,90.6,102.5,116.7,131.9,143.8,153.5,166.8,188.9,214.7,232.9,249.0,252.9,265.2,284.6,288.9,289.8,285.6,288.8,303.7,321.6,320.7,338.1,362.4,382.9,405.2,436.4,456.3,477.9,503.8,541.9,585.2,619.1,632.3,632.9,625.0,610.5,592.0,596.2,613.8,629.4,653.9,683.2
"11","        Equipment","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.1,0.1,0.9,2.8,0.3,0.1,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.3,0.2,0.2,0.3,0.5,0.4,0.5,0.5,0.6,0.6,4.2,16.4,32.0,33.3,21.2,1.6,1.3,2.3,3.2,2.6,8.0,11.1,12.3,10.2,8.8,8.9,9.5,9.7,12.0,11.6,13.1,14.1,12.8,12.4,11.2,13.1,15.0,13.7,12.9,13.0,9.2,9.8,10.9,14.4,16.6,19.2,21.0,23.1,27.3,31.1,36.0,42.3,50.2,58.4,67.8,73.9,77.4,74.3,80.7,86.6,85.7,84.8,79.4,77.5,78.9,80.1,75.7,79.0,86.1,87.4,88.2,96.4,99.8,106.2,113.6,122.5,131.8,145.0,147.3,147.9,144.2,142.9,132.9,132.0,132.8,135.6,143.2,153.4
"12","        Structures",0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.7,0.7,1.3,2.2,1.9,1.4,1.6,1.7,1.7,1.9,2.1,2.2,2.4,2.5,2.6,2.9,2.7,1.9,1.7,2.2,2.3,3.6,3.2,3.6,3.9,3.5,5.8,11.5,6.2,3.1,2.5,1.3,2.8,4.5,6.0,6.6,8.9,10.4,10.9,11.7,12.0,13.2,14.3,15.6,15.9,15.8,17.0,17.6,19.3,20.4,22.2,24.3,25.6,27.6,27.7,27.7,29.6,30.2,32.9,38.7,42.3,42.6,41.7,48.4,54.4,61.3,62.9,61.6,61.3,68.2,75.9,83.8,89.9,93.5,96.7,106.8,111.8,113.4,114.8,119.3,130.8,146.0,146.7,156.8,169.7,182.4,197.4,212.9,220.8,227.7,237.8,260.4,286.8,300.7,309.5,303.4,295.4,281.4,271.2,277.0,289.9,300.1,309.9,320.7
"13","        Intellectual property products","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.0,3.6,4.8,5.9,6.4,7.0,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17.0,17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31.0,35.0,39.6,45.0,49.7,55.2,62.2,71.0,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92.0,94.0,95.5,98.3,102.3,106.5,113.1,119.7,127.1,135.7,144.0,152.4,159.1,166.7,173.4,175.5,181.6,185.5,186.2,187.9,187.2,191.2,193.7,200.9,209.1
"14","      Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.1,0.2,0.4,0.6,0.8,0.2,0.1,0.4,0.2,0.2,0.3,0.3,0.6,0.6,0.6,0.3,0.3,0.3,0.5,0.9,1.0,0.8,0.9,1.0,0.6,0.6,0.7,0.8,0.8,0.9,1.2,1.2,1.3,1.2,1.3,1.4,1.7,1.6,1.7,1.7,2.0,2.5,3.0,3.1,3.6,3.6,4.1,4.3,4.7,4.6,4.7,5.2,4.7,5.0,4.9,4.8,5.5,5.6,6.0,5.9,5.9,5.8,6.5,6.9,7.1,7.8,8.3,7.8,7.9,8.7,8.3,8.8,7.6,5.9,5.3,5.3,6.1,6.3,5.7,5.4
"15","    Consumer durable goods",0.5,0.6,1.4,1.4,1.7,2.0,2.0,1.6,1.9,2.0,2.1,2.3,2.4,2.2,2.1,2.8,3.3,4.3,5.8,7.0,6.0,5.7,7.3,7.3,8.0,8.4,8.3,8.5,9.3,7.2,5.6,3.7,3.5,4.3,5.2,6.4,7.0,5.8,6.8,7.8,9.7,7.3,7.1,7.3,8.5,15.9,20.4,22.9,25.2,30.7,30.0,29.4,33.1,32.6,38.8,38.0,39.5,36.7,41.8,42.6,41.2,46.1,50.3,55.2,61.7,66.9,68.8,79.4,83.8,83.6,95.1,107.1,121.0,120.9,131.8,155.3,177.1,198.2,210.9,210.4,226.8,232.7,271.1,316.8,354.7,396.6,415.4,441.9,459.9,465.0,446.4,476.4,516.3,560.5,586.1,622.2,658.4,721.6,794.5,869.6,886.7,924.6,955.1,1011.9,1053.6,1082.4,1113.2,1036.3,956.7,978.7,1021.2,1077.9,1114.1,1160.5,1213.5,1258.0,1313.5,1375.9
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","  Private and government fixed assets","---","---","---","---","---","---","---","---","---","---","---","---","---",5.7,5.8,7.4,9.9,13.6,12.8,13.9,11.7,13.6,17.3,16.7,19.2,19.4,18.9,18.8,18.7,15.4,11.3,7.0,6.2,8.0,9.4,12.7,14.5,13.3,15.0,16.9,25.7,39.4,48.6,48.8,39.7,31.6,43.1,53.2,53.3,62.3,72.5,78.5,85.1,85.2,93.0,100.7,105.7,104.1,117.2,118.8,123.1,133.2,141.8,153.5,168.0,183.4,189.7,206.1,222.9,226.0,244.7,277.8,315.0,335.1,346.1,393.0,463.8,553.1,637.1,666.3,742.9,744.7,805.8,940.4,1021.3,1067.8,1111.5,1168.1,1231.7,1261.7,1228.6,1278.0,1369.9,1477.8,1590.5,1726.9,1845.1,2008.0,2182.1,2353.0,2362.2,2328.8,2449.5,2679.5,2966.6,3158.7,3207.4,3116.1,2694.9,2745.4,2912.4,3149.6,3298.7,3538.5,3671.6,3745.5,3958.1,4226.5
"17","      Nonresidential","---","---","---","---","---","---","---","---","---","---","---","---","---",4.2,4.3,5.7,8.7,12.8,10.9,12.2,9.4,10.0,12.6,11.3,13.4,13.5,13.4,13.6,14.7,12.9,9.4,6.2,5.5,6.9,8.0,10.8,12.2,11.0,11.8,13.0,21.0,36.4,46.2,47.1,37.7,23.1,30.5,37.0,37.9,41.1,53.1,58.9,64.7,63.3,67.2,76.3,82.5,80.5,87.6,91.1,95.2,102.6,108.3,117.8,132.2,149.3,155.2,165.0,177.3,181.3,185.3,204.2,235.4,264.3,277.7,304.7,346.9,413.3,487.2,534.2,611.4,630.7,641.0,746.4,817.1,828.7,857.1,907.3,971.0,1016.9,1002.7,1018.2,1078.1,1149.2,1260.9,1363.2,1463.5,1583.3,1714.4,1861.7,1842.7,1764.3,1805.4,1921.9,2102.0,2312.7,2509.1,2591.5,2296.5,2360.1,2525.9,2711.7,2783.5,2973.1,3031.7,3040.7,3196.7,3434.5
"18","        Equipment","---","---","---","---","---","---","---","---","---","---","---","---","---",1.6,1.8,2.7,4.8,8.1,6.0,6.3,4.6,4.7,6.4,4.7,6.3,5.6,5.3,5.5,6.0,4.8,3.4,2.2,2.1,2.8,3.6,4.5,5.5,4.3,4.8,5.9,10.7,21.0,36.2,38.8,29.0,11.9,16.8,19.5,19.0,20.4,27.8,30.9,33.9,30.8,32.3,34.9,37.8,35.0,40.0,40.9,41.7,45.9,47.0,51.1,57.1,66.3,68.7,72.3,78.1,79.1,77.8,88.2,106.1,119.8,124.5,141.4,170.2,204.2,237.4,248.6,278.6,277.0,295.6,348.0,370.3,381.4,389.3,414.8,445.8,450.4,440.7,460.8,501.7,551.9,605.1,643.3,681.4,732.9,791.5,840.2,784.4,739.7,752.2,813.8,895.2,973.9,1017.1,991.7,810.5,931.1,1031.3,1127.0,1154.9,1217.5,1234.5,1208.1,1265.9,1362.3
"19","        Structures",1.5,1.9,2.1,1.9,1.9,2.2,2.4,2.2,2.5,2.8,2.8,2.9,2.8,2.4,2.2,2.8,3.6,4.4,4.7,5.5,4.5,5.0,5.8,6.2,6.7,7.4,7.7,7.7,8.1,7.5,5.4,3.4,2.8,3.5,3.7,5.6,5.9,5.8,6.1,6.1,8.9,13.7,7.9,5.5,5.8,7.9,10.3,13.8,15.1,16.5,20.8,22.7,24.5,25.6,27.0,31.4,33.3,33.0,34.0,35.3,36.7,38.4,40.4,44.0,50.1,54.8,56.3,60.2,64.4,66.7,70.9,76.1,86.4,97.5,102.1,105.7,113.2,138.0,166.9,191.9,223.3,231.7,209.1,241.5,270.8,259.0,266.0,274.7,287.3,310.9,291.4,278.1,288.1,299.5,334.9,371.1,395.8,430.0,451.2,497.0,523.6,491.2,498.8,526.2,581.2,673.4,780.5,852.0,746.1,669.2,686.9,742.9,747.9,838.0,842.7,825.2,875.7,931.9
"20","        Intellectual property products","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.5,0.6,0.6,0.6,0.6,0.5,0.6,0.7,0.7,0.8,0.9,0.9,1.0,1.5,1.7,2.1,2.8,3.0,3.2,3.4,3.7,3.8,4.1,4.5,5.4,6.3,6.9,7.9,10.1,11.5,12.4,13.6,15.0,16.8,18.2,20.9,22.7,24.9,28.2,30.1,32.6,34.8,35.5,36.7,39.8,42.9,46.9,51.0,57.6,63.6,71.2,82.9,93.7,109.5,122.0,136.3,157.0,176.0,188.3,201.8,217.8,237.9,255.5,270.5,279.3,288.3,297.7,320.9,348.8,386.3,420.4,471.7,524.5,534.7,533.4,554.4,581.9,625.6,665.4,711.5,747.7,740.0,759.8,807.7,841.8,880.6,917.7,954.5,1007.5,1055.1,1140.3
"21","      Residential",0.9,0.8,0.9,1.0,1.5,1.5,1.4,1.4,1.6,1.4,1.3,1.5,1.5,1.4,1.5,1.7,1.2,0.8,1.9,1.7,2.3,3.6,4.7,5.4,5.9,5.9,5.5,5.1,4.1,2.5,1.9,0.9,0.7,1.0,1.4,1.9,2.3,2.3,3.3,3.9,4.7,3.0,2.4,1.8,2.0,8.5,12.6,16.2,15.4,21.3,19.4,19.6,20.4,21.9,25.7,24.3,23.2,23.7,29.6,27.6,27.9,30.6,33.5,35.7,35.9,34.1,34.5,41.1,45.5,44.6,59.4,73.6,79.6,70.9,68.5,88.3,116.9,139.7,149.9,132.1,131.5,114.0,164.7,193.9,204.2,239.1,254.5,260.8,260.7,244.8,225.9,259.8,291.7,328.6,329.6,363.7,381.6,424.7,467.7,491.3,519.5,564.5,644.2,757.6,864.5,846.0,698.4,524.6,398.3,385.3,386.4,437.9,515.2,565.4,639.9,704.8,761.4,792.1
"22","  Government fixed assets","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.8,0.8,2.2,5.0,2.2,1.5,1.6,1.8,1.8,2.1,2.4,2.4,2.7,2.8,2.9,3.3,3.1,2.3,2.0,2.7,2.8,4.2,3.9,4.3,4.6,4.4,10.7,28.9,39.9,38.2,25.4,4.7,5.7,8.5,11.3,11.4,19.5,24.6,26.5,25.4,24.6,27.2,30.2,32.6,35.9,36.0,39.8,42.5,44.4,46.4,47.9,53.6,57.7,59.1,59.4,59.6,58.1,60.5,65.5,75.9,83.9,88.9,92.3,104.2,118.7,134.4,146.9,156.7,170.4,192.5,218.8,237.2,253.7,257.5,269.9,289.7,293.7,294.8,290.5,293.6,309.2,327.2,326.7,344.0,368.3,388.8,411.7,443.4,463.4,485.7,512.2,549.7,593.1,627.8,640.6,641.6,632.6,616.4,597.3,601.4,619.9,635.7,659.7,688.7
"23","    Federal",0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,1.5,4.3,1.4,0.3,0.2,0.1,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.5,0.7,0.9,1.2,1.3,1.3,1.3,1.2,1.6,8.5,27.4,39.0,37.5,24.5,3.1,2.8,4.4,5.9,5.5,12.5,17.2,18.5,16.1,14.5,15.9,17.6,18.9,21.8,21.9,24.5,26.4,26.7,27.1,26.7,30.1,31.9,31.0,30.6,30.2,27.4,29.1,31.5,35.4,39.4,44.0,48.3,53.4,60.3,68.7,80.0,89.7,101.6,114.9,131.5,141.0,151.5,147.1,150.6,157.6,156.4,155.1,149.3,144.7,149.2,157.0,143.8,147.7,154.7,157.3,163.7,181.9,194.3,207.9,220.9,234.6,251.2,270.1,280.5,294.5,291.8,282.8,266.6,262.8,264.2,266.1,281.7,292.0
"24","    State and local","---","---","---","---","---","---","---","---","---","---","---","---","---",0.5,0.7,0.7,0.7,0.6,0.8,1.1,1.5,1.7,1.6,2.0,2.2,2.2,2.6,2.6,2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3.0,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7.0,7.4,8.0,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8,29.3,30.7,31.3,34.0,40.5,44.6,44.9,44.0,50.8,58.4,65.7,66.9,67.0,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160.0,170.2,182.9,196.3,213.6,231.5,248.0,261.5,269.0,277.8,291.2,315.2,341.9,357.7,360.1,347.1,340.8,333.6,330.7,338.7,355.7,369.6,377.9,396.7
