"Table 5.3.4. Price Indexes for Private Fixed Investment by Type"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: August 29, 2019 - Next Release Date September 26, 2019"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"10","        Information processing equipment",539.668,551.453,555.384,567.354,601.269,590.598,588.556,594.335,601.215,618.285,648.237,655.733,661.613,658.435,649.450,634.422,611.763,601.424,585.644,555.352,547.547,543.068,547.529,552.142,539.467,527.204,530.108,538.296,573.265,578.976,569.525,546.991,539.991,542.193,553.934,559.992,543.556,517.716,496.726,482.541,466.613,460.045,453.864,443.845,433.763,416.319,395.056,378.035,354.194,318.542,287.507,250.492,222.171,208.224,190.762,177.540,161.354,150.978,142.337,132.916,125.775,117.532,111.361,106.367,103.333,100.000,97.129,93.456,89.668,85.541,83.494,81.970
"11","            Computers and peripheral equipment","---","---","---","---","---","---","---","---","---","---","---","---",795118.684,624292.806,461206.086,327156.391,214874.414,179745.212,148524.367,104105.078,84585.276,72180.710,65354.200,58703.842,44697.652,36053.078,34181.967,27908.335,25816.550,21561.751,18763.676,12691.949,10516.601,8207.939,7213.399,6553.761,5463.858,4420.435,3757.948,3237.249,2757.378,2561.241,2391.666,2170.039,1949.478,1663.612,1413.693,1243.257,1040.467,793.440,611.660,454.432,353.845,309.654,256.373,222.377,198.628,184.252,162.670,142.963,129.057,117.824,109.671,105.871,101.765,100.000,99.104,98.999,97.969,96.404,96.000,96.183
"12","            Other3",69.480,70.997,71.503,73.044,77.411,76.037,75.774,76.518,77.404,79.602,83.458,84.424,85.236,85.344,85.393,85.109,85.598,86.179,86.264,87.270,89.916,92.269,95.356,98.832,102.361,104.903,106.970,113.770,124.439,130.218,131.268,136.646,140.617,150.965,161.463,169.089,173.799,177.575,180.216,184.764,189.255,191.816,194.263,196.603,199.066,201.118,200.659,199.576,197.865,194.814,192.370,183.921,176.143,171.663,165.708,159.760,146.458,137.621,133.864,128.610,124.355,117.403,112.139,106.573,104.041,100.000,96.274,91.185,86.393,81.417,78.848,76.779
"13","        Industrial equipment",8.372,9.072,9.507,9.898,11.162,11.233,11.552,11.765,12.195,13.469,14.477,14.819,15.156,15.459,15.330,15.330,15.378,15.515,15.747,16.164,16.867,17.575,18.170,19.072,19.924,20.331,20.902,22.869,27.561,29.870,32.579,35.434,38.913,43.976,48.176,50.470,51.506,52.082,52.946,55.357,57.746,60.341,62.534,65.531,67.867,69.371,70.320,71.753,74.202,75.741,76.258,76.688,77.133,77.564,78.069,78.115,78.695,80.640,83.626,86.230,89.332,93.283,94.479,95.539,98.259,100.000,100.433,101.061,100.684,100.245,101.127,103.105
"14","        Transportation equipment",15.964,17.105,17.897,18.215,19.370,20.528,19.905,20.733,20.228,22.206,23.204,23.540,24.032,23.994,23.942,23.685,23.574,23.367,23.305,23.281,23.658,24.314,25.052,26.253,27.555,28.146,28.452,31.100,34.573,37.053,39.930,43.530,47.264,52.226,56.118,58.657,59.537,60.157,61.974,65.852,66.891,67.625,69.925,73.008,76.749,78.368,78.727,80.916,81.076,83.256,85.469,85.806,86.181,86.172,85.892,87.177,89.246,92.961,93.452,94.124,95.509,95.941,103.241,95.913,97.802,100.000,101.648,102.940,104.615,105.796,107.497,107.738
"15","        Other equipment4",11.046,11.939,12.382,12.662,13.690,13.794,14.062,14.271,14.429,14.932,15.658,16.026,16.275,16.504,16.510,16.683,16.801,16.952,17.108,17.498,18.088,18.762,19.429,20.131,21.099,21.696,22.159,24.123,29.327,31.488,34.258,37.090,40.307,45.229,50.299,53.880,55.085,56.130,57.269,59.074,60.575,62.364,64.923,67.500,69.714,71.230,72.477,73.693,75.212,77.230,78.198,79.355,80.384,80.902,82.051,82.765,83.514,84.195,87.762,89.716,91.549,94.579,100.463,95.898,96.360,100.000,101.326,102.203,104.291,104.467,104.776,106.137
"16","    Intellectual property products",22.810,23.993,24.034,24.597,26.109,26.440,26.901,27.093,27.737,28.792,29.706,30.426,30.922,31.393,31.596,31.751,31.791,32.282,32.509,33.002,33.505,34.676,36.204,37.929,39.318,40.490,42.494,46.461,50.190,52.408,54.709,57.557,61.382,66.123,71.058,75.093,77.898,80.081,81.413,82.047,83.518,86.129,87.240,88.147,90.271,89.373,89.998,90.468,93.134,93.544,94.052,93.595,95.105,97.814,97.684,96.376,95.647,95.335,95.952,97.088,98.284,99.834,98.589,98.306,99.517,100.000,100.081,100.791,101.677,100.464,101.742,103.282
"17","        Software5","---","---","---","---","---","---","---","---","---","---","---","---",197.173,186.916,183.554,176.503,169.812,171.202,166.844,161.524,159.482,159.692,161.138,163.805,159.905,157.067,160.097,166.340,173.329,173.718,175.408,171.528,176.594,180.956,187.471,192.455,190.527,187.289,184.005,177.303,176.063,174.027,165.244,159.255,158.394,144.305,143.065,137.949,136.738,133.192,128.137,123.292,123.563,125.708,125.043,121.574,116.077,111.346,109.305,109.224,107.997,108.300,106.182,102.468,101.874,100.000,98.764,97.462,96.041,94.685,93.068,91.905
"18","        Research and development6",14.402,15.357,15.093,15.664,17.045,17.185,17.382,17.315,17.581,18.297,18.713,18.950,19.288,19.436,19.426,19.438,19.386,19.480,19.351,19.445,19.561,19.972,20.741,21.594,22.442,23.211,24.627,27.532,29.904,31.475,33.169,35.264,38.248,42.173,46.003,49.333,51.758,53.838,54.920,55.710,56.877,59.574,61.379,62.803,64.651,66.219,67.040,68.472,72.002,72.998,75.201,76.361,78.192,81.111,80.889,80.337,81.678,83.613,85.880,87.832,90.506,93.222,92.352,94.626,97.566,100.000,101.233,103.641,106.454,104.724,108.628,112.850
"19","        Entertainment, literary, and artistic originals",11.966,12.390,12.664,12.778,13.148,13.406,13.786,14.175,14.724,15.209,15.981,16.746,16.967,17.534,17.936,18.239,18.507,19.260,20.140,21.153,22.099,23.837,25.516,27.573,29.348,30.678,31.791,33.650,36.791,38.769,40.378,43.396,45.359,47.576,50.462,52.383,55.006,57.231,59.973,62.556,65.093,67.717,71.591,74.944,79.154,80.125,81.386,83.554,85.888,88.233,89.248,89.392,91.545,94.125,95.557,95.888,97.012,97.790,98.304,99.169,100.529,100.522,100.393,99.841,99.511,100.000,100.023,100.980,102.454,104.382,105.930,107.338
