"Table 6.2B. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987"
"23","                Other transportation equipment",1788,1737,1795,3123,4685,5690,5339,5444,6207,6928,6814,7204,7006,7201,7979,8574,8791,9227,11345,12447,13248,13811,12464,11246,12221,13329,14597,15574,16577,18809,21657,25628,29461,32762,33919,34449,38004,41969,46203,49103
"24","                Instruments and related products",906,872,1032,1349,1584,1816,1778,1904,2152,2345,2337,2577,2696,2740,2915,3036,3142,3428,3986,4335,4663,5127,5192,5179,5743,6570,7330,7537,8513,9909,11154,12810,14816,16972,18450,19307,20835,22316,23560,24437
"25","                Miscellaneous manufacturing industries",1215,1134,1269,1368,1412,1589,1541,1628,1741,1755,1716,1856,1920,1927,2053,2112,2254,2419,2619,2725,2943,3170,3248,3327,3652,4010,4339,4317,4880,5305,5874,6393,6689,7138,7383,7658,8213,8380,8716,9210
"26","            Nondurable goods",21842,21528,23538,25993,27291,29210,29307,31297,33401,34675,34754,37580,38969,39867,42128,43506,45980,48690,52856,55724,60528,65458,67918,70370,75812,82335,88805,92273,103800,115288,126800,139507,151415,165656,172430,182509,196109,204691,214460,226251
"27","                Food and kindred products",5354,5455,5790,6397,6742,7160,7414,7764,8266,8542,8760,9264,9708,9935,10281,10517,11031,11418,12103,12718,13477,14367,15278,15928,16667,17657,19347,20738,22927,25140,27336,29955,32567,35108,36887,37949,39375,40917,42926,45032
"28","                Tobacco manufactures",215,229,241,278,295,314,326,339,362,374,387,406,437,435,458,473,500,507,522,549,580,602,667,687,728,812,890,968,1052,1133,1286,1414,1615,1909,2059,2179,2215,2380,2379,2558
"29","                Textile mill products",3562,3177,3635,3777,3660,3697,3327,3533,3601,3493,3323,3729,3717,3672,3918,3968,4238,4643,5102,5243,5852,6234,6293,6578,7357,8122,8272,7853,9166,9896,10687,11371,11827,12497,11844,12949,13533,13285,14184,15523
"30","                Apparel and other textile products",3053,2947,3179,3319,3461,3675,3540,3750,3982,4040,3937,4320,4434,4470,4893,5064,5376,5768,6234,6570,7242,7658,7627,7888,8483,9268,9448,9384,10892,11606,12711,13312,14067,15114,14839,15885,17164,17000,17589,18166
"31","                Paper and allied products",1575,1546,1786,2056,2142,2373,2455,2681,2916,3034,3117,3433,3594,3789,4040,4221,4445,4694,5132,5416,5870,6478,6749,6981,7630,8330,9033,9217,10691,11953,13197,14658,15931,17402,18202,19396,21143,22098,23343,24383
"32","                Printing and publishing",2608,2752,2931,3171,3394,3689,3876,4142,4462,4717,4837,5166,5515,5708,5959,6195,6602,6971,7593,8109,8701,9528,10034,10337,11121,12055,12915,13597,14844,16516,18384,20528,22901,25273,27378,29836,33462,36534,39411,42566
"33","                Chemicals and allied products",2291,2296,2541,3104,3377,3779,3908,4180,4647,5030,5090,5487,5782,5989,6324,6636,7038,7473,8339,8940,9735,10739,11303,11610,12347,13502,15230,16884,18709,21081,23190,25913,28832,31883,34125,35595,38094,40614,42015,43967
"34","                Petroleum and coal products",1082,1121,1149,1379,1514,1611,1681,1735,1827,1949,1923,1960,1929,1952,1925,1954,1936,1985,2046,2128,2276,2482,2577,2707,2879,3052,3562,4185,4606,5213,5728,6415,7175,8063,8653,8912,9072,9380,9291,9052
"35","                Rubber and miscellaneous plastics products",1085,1026,1229,1439,1546,1709,1616,1912,2022,2158,2075,2379,2443,2487,2834,2968,3221,3570,4006,4233,4807,5378,5437,5717,6559,7450,8002,7407,8552,10295,11651,13205,13584,15162,15330,16709,19057,19745,20751,22375
"36","                Leather and leather products",1018,979,1057,1074,1160,1200,1164,1261,1315,1339,1306,1436,1412,1431,1496,1511,1593,1660,1778,1818,1989,1991,1953,1938,2041,2088,2104,2040,2360,2456,2630,2736,2916,3245,3113,3100,2991,2739,2572,2632
"37","        Transportation and public utilities",14492,14327,15135,17177,18252,19355,19076,20277,21984,23138,22714,24172,25138,25365,26467,27428,29212,31117,33706,35895,38892,42550,46569,50316,55541,61715,67218,71651,79997,89460,101129,114368,125835,138736,147586,153821,164533,174192,182664,193068
"38","            Transportation",10372,9942,10510,12053,12619,13199,12588,13394,14499,15181,14488,15520,16028,15884,16567,17064,18008,19095,20682,21948,23880,25777,27472,29469,31997,36088,38990,40331,45410,51105,57829,65191,70040,74939,75219,78098,85651,90864,96344,103301
"39","                Railroad transportation",5815,5380,5585,6408,6449,6455,5905,6089,6564,6625,6093,6194,6115,5792,5860,5844,5967,6153,6280,6359,6554,6804,7234,7691,7836,9039,9838,9800,11056,12141,13194,14912,15654,16036,15198,14960,16097,16207,16538,16977
"40","                Local and interurban passenger transit",1255,1237,1224,1288,1326,1349,1303,1298,1319,1370,1323,1361,1406,1427,1439,1455,1498,1560,1649,1748,1866,1936,2061,2188,2209,2228,2428,2640,2812,2975,3169,3467,3819,4104,4179,4242,4497,4779,5059,5324
"41","                Trucking and warehousing1",1676,1756,2084,2395,2668,3031,3084,3506,3848,4085,4154,4778,5014,5108,5514,5832,6289,6848,7535,7899,8790,9646,10103,11351,12970,14895,15911,15868,18152,20797,23983,26732,27722,29696,29521,31016,34941,37187,39818,43005
"42","                Water transportation",919,834,870,1077,1150,1257,1153,1263,1349,1509,1307,1389,1507,1482,1555,1606,1705,1738,1982,2067,2223,2244,2337,2213,2344,2575,2786,2970,3273,3618,4315,4758,5346,5932,5921,5889,6276,6370,6414,6702
"43","                Transportation by air1",342,358,384,460,556,619,655,737,874,1022,1052,1204,1358,1429,1539,1644,1830,2038,2385,2930,3452,4042,4518,4748,5246,5792,6225,7021,7823,8971,10087,11728,13327,14389,15149,16301,17392,19106,20770,22904
"44","                Pipelines, except natural gas",132,130,126,143,156,159,158,158,167,174,172,176,172,173,169,168,167,165,171,175,181,191,203,215,226,231,254,316,352,388,478,541,642,725,778,809,784,822,815,857
"45","                Transportation services",233,247,237,284,314,329,331,345,377,397,388,419,456,473,491,515,552,593,679,770,815,913,1016,1064,1166,1329,1549,1716,1942,2215,2602,3054,3529,4056,4473,4882,5665,6394,6930,7531
"46","            Communication",2305,2424,2510,2784,3089,3403,3580,3832,4195,4466,4464,4696,4959,5137,5400,5661,6222,6804,7478,8034,8635,9834,11377,12461,14321,15617,17318,19083,20857,23137,26390,30308,34329,39389,44484,45574,46282,48033,48818,50169
"47","                Telephone and telegraph",2097,2195,2250,2482,2751,3021,3145,3361,3676,3913,3875,4075,4294,4440,4686,4894,5398,5915,6491,6972,7467,8566,9999,11022,12724,13882,15409,16965,18355,20261,22992,26405,29917,34422,38544,39274,39489,40758,41241,42374
"48","                Radio and television",208,229,260,302,338,382,435,471,520,553,589,621,665,697,714,767,824,889,986,1062,1168,1268,1378,1439,1597,1736,1909,2117,2502,2876,3398,3903,4412,4967,5941,6300,6793,7275,7577,7796
"49","            Electric, gas, and sanitary services",1815,1961,2115,2340,2544,2753,2908,3051,3290,3491,3762,3956,4151,4344,4500,4703,4982,5218,5546,5913,6377,6940,7721,8387,9223,10010,10909,12237,13731,15217,16910,18870,21466,24408,27883,30150,32599,35295,37502,39598
"50","        Wholesale trade",9563,9426,10081,11348,11929,12657,13021,13910,15438,16318,16781,18061,19160,19770,20863,21977,23483,25252,27831,29841,32392,35783,38722,41169,45236,50937,57068,60803,67461,74996,85952,98463,109413,121602,128163,133108,148528,159211,168193,179690
"51","        Retail trade",15163,15588,16743,18165,19165,20421,20916,22379,23893,25118,25551,27610,29537,30088,32159,34164,36685,39487,42875,45958,50724,55824,60071,64769,70882,78500,85543,92555,103414,114294,129186,142785,153688,166569,174835,189405,209965,226924,244085,260060
"52","        Finance, insurance, and real estate",5156,5415,5995,6600,7160,7815,8508,9241,10102,10815,11573,12588,13400,14362,15183,16186,17399,18659,20290,22302,25120,27759,30324,33138,36822,40657,44522,49634,55110,61845,71444,81423,93247,104433,115385,129613,143476,160527,183285,204608
