"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    80","      Social assistance","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",875,923,1005,1171,1384,1582,1817,1978,2188,2451,2902,3289,3925,4497,4945,5933,6931,7925,8796,8965,10383,11603,12980,14614,15905,17432,19901,22118,23687,27089,28993,31256,33257,34255,39403
"    81","  Arts, entertainment, recreation, accommodation, and food services",8049,8476,8649,8933,9701,10221,10624,10900,11544,12058,12797,13095,14315,14832,15362,16426,17365,18881,20311,21935,23540,25876,27870,30063,32584,35370,39376,41887,46749,53209,60193,69554,78867,83964,94025,101129,112596,122005,133533,145313,153625,170300,185371,200822,206855,219369,232637,244642,257889,275456,301639
"    82","    Arts, entertainment, and recreation",1598,1682,1700,1740,1892,2004,2159,2209,2364,2528,2655,2816,3136,3403,3613,3796,4061,4392,4630,4909,5126,5564,5781,6277,6697,7145,8227,9053,9981,11306,13474,15109,16942,18264,20628,21772,23977,25549,28504,30851,33691,36387,42141,48963,50538,57735,59497,62402,67527,72897,80375
"    83","      Performing arts, spectator sports, museums, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1525,1655,1762,1887,1989,2160,2282,2486,2674,2883,3335,3661,4067,4583,5461,6382,7264,7871,8908,9515,10615,11641,12864,14552,16184,17312,19325,23238,24100,26794,28851,30485,32625,35602,37136
"    84","      Amusements, gambling, and recreation industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2537,2737,2868,3022,3137,3404,3499,3790,4023,4262,4892,5393,5914,6723,8012,8727,9678,10394,11720,12257,13362,13908,15640,16300,17507,19075,22816,25725,26438,30940,30646,31917,34902,37296,43239
"    85","    Accommodation and food services",6451,6794,6949,7193,7810,8217,8465,8691,9180,9529,10141,10280,11179,11429,11750,12629,13304,14489,15681,17026,18414,20313,22089,23787,25887,28225,31148,32834,36768,41904,46719,54445,61925,65700,73396,79357,88619,96456,105029,114462,119934,133913,143230,151859,156317,161635,173140,182240,190363,202559,221264
"    86","      Accommodation",1533,1605,1662,1688,1805,1894,1947,2040,2126,2239,2440,2432,2642,2712,2805,3024,3291,3466,3879,4314,4778,5246,5754,6310,6750,7515,8361,8968,9968,11481,13204,15910,18317,19467,21890,23032,25884,28512,31533,33811,36240,38749,41957,44329,46117,48969,52062,55372,59470,64422,70555
"    87","      Food services and drinking places",4919,5190,5287,5505,6005,6323,6518,6651,7054,7290,7701,7848,8537,8717,8945,9605,10013,11022,11802,12712,13636,15067,16335,17477,19137,20710,22788,23865,26799,30423,33515,38536,43607,46232,51507,56325,62735,67944,73496,80651,83694,95164,101273,107531,110200,112666,121078,126868,130892,138136,150708
"    88","  Other services, except government",7470,7814,8032,8591,9273,9572,10154,10403,11406,12397,13157,13663,14531,15577,16260,17309,17976,19241,20148,21882,23219,24867,26777,27889,29846,31847,34599,37290,39930,44534,48099,55960,61205,69260,76703,79046,87522,97021,106271,115814,121463,133560,145297,154232,156063,166248,178751,191573,201912,212113,230792
"    89","Government",33696,33429,35005,35943,44765,51167,53540,55423,58254,62003,66557,70977,74665,79449,84594,90368,96891,103906,111282,123202,134884,150256,164075,180362,197084,214209,229202,250154,273872,293682,314796,343095,371961,409636,453613,492367,525898,566963,614566,654167,694564,748737,807223,866211,923523,976755,1007869,1044043,1077912,1106651,1149121
"    90","  Federal",23072,21178,21608,21764,28990,33835,34863,35178,36362,37719,39898,41856,43495,45352,47428,50515,53573,56881,59804,66099,71904,78994,84410,90431,96312,102524,106335,114034,121231,130630,138245,149936,160430,176367,198916,216834,230187,248216,266278,278112,289341,310268,326610,341308,363265,374109,374277,377603,379462,378808,389448
"    91","    General government",21626,19643,19974,20264,27505,31626,32432,32458,33596,35068,36884,38643,39903,41627,43610,46473,48946,51973,54549,60601,66019,72094,76900,82399,87416,92238,95769,101792,109530,116204,123634,133544,142539,157323,176000,193001,204924,221104,236331,247323,258463,275923,290055,304343,321327,327708,329754,330610,331344,330511,332313
"    92","      National defense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    93","      Nondefense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    94","    Government enterprises",1446,1535,1634,1500,1485,2209,2431,2720,2766,2651,3014,3213,3592,3725,3818,4042,4627,4908,5255,5498,5885,6900,7510,8032,8896,10286,10566,12242,11701,14426,14611,16392,17891,19044,22916,23833,25263,27112,29947,30789,30878,34345,36555,36965,41938,46401,44523,46993,48118,48297,57135
"    95","  State and local",10624,12251,13397,14179,15775,17331,18677,20245,21892,24285,26659,29121,31170,34098,37167,39853,43318,47025,51477,57104,62980,71262,79666,89931,100772,111685,122867,136120,152640,163052,176551,193159,211530,233269,254697,275533,295710,318747,348288,376055,405223,438469,480612,524903,560258,602647,633592,666440,698450,727843,759673
"    96","    General government",9309,10772,11769,12443,13812,15095,16291,17695,19079,21319,23569,25864,27443,30024,32932,35306,38336,41713,45825,51221,56865,64526,72380,81992,92219,102384,112612,125231,140720,150752,163523,178797,196439,217282,237828,256896,273930,293296,319131,344411,371219,400756,438838,480326,513650,552969,580027,609854,638221,663385,694685
"    97","    Government enterprises",1316,1479,1628,1736,1963,2236,2386,2550,2813,2966,3090,3257,3727,4073,4234,4547,4982,5313,5652,5883,6116,6737,7285,7939,8553,9301,10255,10888,11921,12300,13028,14362,15091,15987,16869,18637,21780,25451,29157,31644,34004,37712,41774,44577,46608,49678,53565,56585,60229,64458,64988
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",98169,113073,105544,120715,142561,146901,155422,149462,164759,172391,178399,172764,187764,191132,193143,209118,219966,234202,258376,284353,290955,315440,335712,337694,358462,395667,454759,484715,511784,575271,645121,730212,823034,871021,982421,963923,998162,1123742,1166729,1175108,1244464,1343679,1429756,1468336,1442856,1494931,1545277,1659943,1730242,1834113,1934724
"    100","    Private services-producing industries [2]",118079,128305,132279,143539,159970,169661,180777,186260,203163,215736,229896,238303,260022,272702,285565,305628,321726,347677,374070,407484,435892,476783,520091,557829,612223,672573,744588,813957,903266,1008633,1126035,1283265,1437148,1581848,1774922,1888700,2114077,2349990,2565439,2760880,2931189,3160213,3420715,3645042,3807663,4067613,4325572,4604770,4855906,5159437,5524670
"    101","    Information-communications-technology-producing industries [3]","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
"Note. Detail may not add to total due to rounding."
