"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    18","      Machinery",5047,5742,5343,6057,8449,9306,9530,8810,9192,10750,10986,9626,11370,11455,11524,13079,13584,15506,17365,20264,21047,22130,23870,24755,24145,27727,31649,34281,37393,42400,49064,56171,62333,66927,74532,67420,62677,69372,69690,65095,69678,80559,88135,89288,83220,85108,86802,91417,97638,100127,102552
"    19","      Computer and electronic products",2745,2964,2827,3473,4363,4986,5476,5017,5339,6023,6734,6658,7906,8228,8555,9521,9863,10408,11952,13944,14849,15890,17138,16954,17463,19395,22066,22480,23744,27071,31624,36613,41955,50380,58087,61831,71155,85272,89833,89066,98669,108044,112007,114971,116981,121509,123988,138299,155378,165478,196320
"    20","      Electrical equipment, appliances, and components",2031,2165,2049,2601,3175,3565,4031,3701,4044,4570,4870,4686,5546,5771,5859,6435,6639,6951,7974,9225,9735,10297,10935,10629,11008,12184,13861,13915,14434,16422,19216,21497,23634,25012,27596,25065,27883,31721,33106,34104,36106,37808,41649,41960,40879,41823,43604,46791,46111,46600,47096
"    21","      Motor vehicles, bodies and trailers, and parts",4588,5264,6171,8092,8052,8582,10316,9153,12737,10457,11269,8676,11739,12566,11578,14543,16457,17190,20332,20419,19120,23422,23844,19576,25232,26585,29359,23927,25639,34845,42911,46557,44962,33994,43043,40780,52647,67477,70621,72630,71485,76503,75583,64393,64331,76624,89811,104190,104734,108312,112638
"    22","      Other transportation equipment",1716,2160,2202,2377,3887,5898,7143,6928,6873,7647,8863,8740,8774,8344,8936,10047,10898,11254,11919,14588,16007,17084,16444,15312,14439,15090,16056,17644,18738,19703,21581,24446,28474,31413,31110,44763,48689,56280,56193,61960,67408,66722,67723,70646,77628,67067,64286,53044,51654,60581,62702
"    23","      Furniture and related products",1199,1423,1391,1661,1851,1902,1923,1854,2145,2253,2254,2135,2428,2431,2405,2640,2779,3050,3443,3778,3806,4192,4597,4382,4653,5524,5969,6069,5895,6951,7867,9145,9366,10411,11045,10973,12795,14964,15838,16794,17856,18671,19660,18982,18279,20066,21745,22558,23302,25567,28024
"    24","      Miscellaneous manufacturing",1626,1774,1671,1944,2191,2293,2489,2436,2636,2782,2872,2872,3180,3216,3252,3573,3608,3842,4245,4738,4975,5505,5969,5821,6212,6985,7660,7930,8940,9850,11216,12379,13481,14403,17512,18109,18732,21170,22984,23295,24511,31598,33063,37084,38388,40729,41331,41747,43041,49463,52507
"    25","    Nondurable goods",30850,34197,32915,35855,41397,42076,44228,43547,47845,50101,50752,51496,55597,56551,57954,61376,64174,68303,73652,80761,82912,90459,94670,98233,103775,111650,119423,128283,141552,159510,176778,190039,216887,227087,252680,258046,284252,294934,308826,324292,347168,380810,409079,432742,446563,467773,481207,504378,535089,537295,562747
"    26","      Food and beverage and tobacco products",11082,12088,12278,12694,13503,14802,15508,15454,16513,16671,17148,18099,19142,19571,20154,20913,21792,22874,23712,25494,26156,27442,28392,30673,32379,32307,32042,35495,44225,46074,49263,51385,54203,61249,66657,72353,79278,79917,83876,88332,91085,95017,100860,111710,118727,123803,123128,124174,137608,131933,136109
"    27","      Textile mills and textile product mills",4425,4980,4112,4462,5104,4603,4509,3962,4400,4455,4302,4179,4738,4773,4736,5116,5250,5795,6500,7113,7123,7907,8373,8588,8792,9730,10354,10773,10390,12014,13456,14446,15254,15155,16175,15405,17738,18345,18242,19921,21155,22065,22981,23471,23893,26723,27053,27257,26419,26865,27443
"    28","      Apparel and leather and allied products",4144,4581,4273,4377,5010,5046,5175,4939,5207,5468,5451,5370,5863,5976,6020,6532,6745,7106,7739,8549,8839,9646,9996,10112,10327,11233,11875,12044,12527,14344,16039,17573,18700,19440,21149,20871,22373,22202,21960,22650,22829,23728,24844,25201,26060,27626,27648,28047,26887,26023,25236
"    29","      Paper products",2590,2687,2532,3150,3985,3704,3959,4071,4568,5096,4962,4957,5542,5621,5865,6240,6454,6913,7386,8279,8415,9133,9925,9996,10251,11528,13096,14415,14377,17193,18612,20323,22974,24006,26236,27648,29211,32856,34158,36315,39376,45576,48266,47423,46872,47762,48825,52002,62462,58270,55592
"    30","      Printing and related support activities",1377,1512,1596,1676,1805,1918,2088,2155,2346,2475,2618,2652,2867,3009,3079,3290,3412,3735,4016,4437,4600,4989,5452,5580,5933,6406,6978,7245,8008,8862,10464,11869,13757,13944,15549,16904,18844,21291,23371,24997,26418,28576,30441,31773,31702,33897,33889,35328,35957,37761,37472
"    31","      Petroleum and coal products",1743,2144,1843,2065,2623,2516,2780,2775,2912,3318,2905,2894,2044,2215,1958,1840,2111,2232,2815,3232,3484,3654,3284,3734,4119,5012,5803,5952,6237,8198,9192,9848,20713,19417,20739,18036,19604,17069,20263,20753,21460,29697,31573,35177,33933,33387,38240,35998,33000,35023,47975
"    32","      Chemical products",3724,4450,4627,5514,6726,6748,7337,7620,8847,9240,9839,9876,11454,11430,11997,12766,13606,14468,15780,17188,17535,19818,20640,21305,22762,24829,27292,30253,33665,39180,43144,46579,51402,54163,63529,63960,71243,74765,76776,79724,91896,101189,111015,119161,124310,131018,135105,150534,160721,165904,174914
"    33","      Plastics and rubber products",1766,1754,1655,1917,2642,2738,2872,2571,3051,3380,3527,3470,3946,3955,4144,4679,4804,5180,5702,6469,6760,7871,8609,8245,9212,10604,11982,12106,12123,13645,16608,18016,19886,19713,22645,22869,25963,28490,30181,31599,32949,34962,39099,38827,41065,43557,47319,51039,52035,55515,58008
"    34","  Wholesale trade",15592,17151,16664,18693,21326,21484,22074,22284,25099,27045,28534,29191,33424,34845,35868,38332,39889,43035,46496,50984,53939,59207,63896,67774,73553,81779,91934,104466,114239,122527,134716,153036,175353,187292,207181,207865,223869,251436,271455,280728,286559,315375,336838,348190,362866,380762,403666,444566,461872,493773,530163
"    35","  Retail trade",23191,24510,24920,26029,28445,29892,30814,31425,33415,34596,36549,37248,40615,41514,42608,45740,47679,52434,56169,60553,64911,71698,77719,83111,90967,98573,108577,114183,128050,144953,159679,178622,194322,199515,219259,228163,256820,288345,311313,332634,346530,367734,391697,400406,407630,426563,463910,502659,528165,558001,588376
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",14169,15546,15073,16758,18998,19760,20593,19197,20982,22004,22855,21759,22906,23231,23448,24977,25901,27457,29734,32398,33120,35866,38140,40240,44319,48832,53836,59116,60074,69534,77161,87743,97677,102821,110378,106473,118136,131446,137651,147526,153325,163100,168859,175166,184134,194957,209188,227209,234550,245846,256054
"    41","    Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1753,2005,2368,2774,3242,3561,4051,4398,4953,5592,6172,6747,7074,8408,9590,10799,11605,12939,13386,13501,16476,18854,19324,20939,24364,30609,31007,31971,32980,35871,40368,44920,46931,48040,53142
"    42","    Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",7997,8219,8640,9168,8665,8884,9324,9639,10445,10719,11707,12860,12226,14513,15399,16975,18846,20323,21715,18304,19707,21334,21053,22420,20910,21122,18661,18582,20226,20132,20352,21342,21220,20987,20036
"    43","    Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",946,1013,1027,1190,1246,1385,1314,1390,1307,1399,1542,1816,1883,2220,2434,2762,3253,3503,3925,3456,3684,3937,4063,4086,4236,4560,4725,5154,5766,5808,6024,6387,6380,6699,6613
"    44","    Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",6317,6768,7507,8172,8343,9341,10088,10669,12182,14010,15820,17147,17281,19773,21953,25176,27989,28511,30030,29478,32565,36717,39560,43412,44807,45453,49169,50733,52294,56000,60512,67829,70335,74811,77411
"    45","    Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2094,2182,2307,2460,2723,2897,2946,3071,3245,3421,3290,3487,3769,4087,4462,4712,5059,5843,5893,5999,6288,7033,7355,7731,7471,7985,8332,8998,9586,9940,10602,11228,11876,12882,15059
"    46","    Pipeline transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",763,801,819,856,896,967,1066,1202,1349,1497,1622,1663,2076,2410,2860,3710,4668,5075,6114,7107,7694,7569,7298,6035,6295,5719,5992,6022,6082,6419,6712,6842,6716,7144,6925
"    47","    Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4527,4857,5290,5833,5991,6593,6968,7427,8142,9200,10345,11835,11972,13782,15574,17840,19876,20261,22348,21622,23950,27133,29453,32406,34168,35732,38382,40524,43593,45933,48634,51229,52223,55417,55869
"    48","    Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1503,1612,1776,1945,2014,2237,2383,2443,2697,2994,3339,3561,3793,4342,4890,5768,6381,6366,6967,7008,7773,8871,9546,10497,11074,11920,12590,13181,13609,14854,15984,17433,18869,19866,20997
"    49","  Information",7722,8416,9087,9710,10526,11374,12541,12845,14006,14805,15902,16622,18281,19122,20554,21773,23438,25213,27463,30275,32367,35254,38411,41230,44609,49939,54514,58901,65387,74716,84057,96313,107634,118908,137354,150121,169806,180585,199219,211266,223240,233849,254721,270035,281775,300060,323050,343211,360513,392112,395716
"    50","    Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5263,5783,6210,6892,7200,7780,8513,8768,9321,10055,11024,11550,12748,14145,16796,19080,21930,22644,25273,27461,31158,34490,38846,41946,45507,48360,53146,54885,57253,61143,64312,69774,70695,81762,97634
"    51","    Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3027,3103,3604,3972,4195,4938,4808,4743,4898,5484,5682,5968,6481,8531,9756,11695,13324,14094,16492,17429,18998,21357,23064,25400,27710,28047,33684,33769,35282,35818,40680,42362,48065,54363,40399
"    52","    Broadcasting and telecommunications","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",14173,15257,16480,18109,19533,20975,23326,25777,28278,32013,35105,38424,42880,48329,53270,60561,66608,75464,87794,96535,109535,113647,124776,130434,135838,141994,150972,162808,170116,182059,195650,206525,215101,226971,227369
"    53","    Data processing, internet publishing, and other information services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",974,1070,1169,1302,1439,1561,1765,1941,2112,2387,2703,2959,3279,3711,4235,4978,5771,6706,7795,8697,10115,11090,12534,13486,14186,15448,16919,18573,19123,21040,22407,24549,26652,29016,30314
"    54","  Finance, insurance, real estate, rental, and leasing",25635,28303,30640,33627,37533,41176,45377,49079,53109,56657,60739,65106,69729,74644,79324,84481,89328,95707,102662,110458,118796,129458,142236,152963,169951,185527,204486,225020,249817,274717,306747,352006,395906,449497,505501,547565,614735,680617,743799,805655,851277,916803,981645,1047513,1106949,1192701,1256277,1319232,1407407,1490009,1623098
"    55","    Finance and insurance",5872,6718,7554,8186,9247,10347,11540,12340,13391,14469,15603,16832,18090,19469,20611,21108,21978,24130,26355,29036,32338,36240,40881,43971,48516,52895,56632,64262,73444,80214,94759,112417,124802,137440,154715,167821,194217,213761,234205,262811,283248,302496,323262,347212,382122,419771,440032,453339,488809,527756,578583
"    56","      Federal Reserve banks, credit intermediation, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",10584,11541,12530,13975,15696,17488,21319,24089,24804,26243,29608,35583,39690,43503,49588,58758,67988,72916,80902,84118,98840,105790,119742,141275,152540,152691,159685,171854,189680,203692,211196,215121,220343,231268,234130
"    57","      Securities, commodity contracts, and investments","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1444,1598,2006,2482,3261,4159,3510,2483,3773,4341,3601,3139,4667,4703,6947,8651,9561,9192,10083,11480,20515,20963,26121,29990,41425,43493,45789,43214,46886,53594,63925,58814,72748,94591,120282
"    58","      Insurance carriers and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",9750,10747,11598,12361,13141,14333,15768,17097,19609,21946,23081,25021,28507,31462,37576,44066,46184,53697,60194,68842,70684,82366,81790,84302,81876,99519,111107,124580,137720,153456,154953,169952,185600,191601,216715
"    59","      Funds, trusts, and other financial vehicles","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",201,244,220,217,241,261,284,302,330,364,342,520,580,546,649,942,1069,1634,3535,3381,4178,4642,6552,7244,7406,6792,6680,7564,7836,9028,9958,9452,10118,10297,7455
"    60","    Real estate and rental and leasing",19764,21585,23086,25441,28286,30829,33837,36739,39718,42188,45137,48273,51639,55175,58713,63373,67349,71577,76307,81422,86458,93218,101355,108992,121435,132632,147855,160757,176373,194503,211987,239589,271103,312057,350786,379743,420518,466857,509594,542844,568029,614307,658383,700301,724827,772930,816245,865893,918598,962252,1044516
"    61","      Real estate",18362,20060,21480,23667,26299,28668,31454,34163,36903,39107,41823,44738,47813,51057,54327,58601,62242,66061,70406,75021,79590,85762,93126,100153,111612,121786,135589,147391,161710,177988,193811,218416,246587,283474,318862,345667,382885,424289,462778,492828,515725,554397,593621,629850,655933,699859,737570,781155,828771,863394,937699
"    62","        Housing","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    63","        Other real estate","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    64","      Rental and leasing services and lessors of intangible assets",1401,1525,1606,1773,1986,2161,2383,2576,2815,3081,3314,3535,3826,4118,4386,4772,5107,5515,5901,6401,6868,7456,8229,8839,9823,10846,12266,13366,14663,16515,18176,21173,24516,28583,31924,34076,37633,42568,46816,50016,52304,59910,64762,70451,68894,73072,78674,84738,89828,98859,106817
"    65","  Professional and business services",8185,9049,9318,10376,11965,12939,14046,14548,16120,17493,18985,19485,21749,22720,24233,26410,28145,30839,33791,37870,40759,44306,48803,52402,56775,63123,71816,79317,87207,98612,115299,133280,153960,175238,199630,215760,245515,284514,321167,356875,389386,430464,477803,524355,532462,576614,611067,649203,698481,768415,845502
"    66","    Professional, scientific, and technical services",3292,3637,3816,4217,4863,5368,5880,6287,6977,7754,8606,8991,10094,10600,11581,12635,13523,14947,16476,18717,20470,22142,24707,27135,29571,33054,38069,42070,46439,52091,61803,71438,83834,97168,110688,122010,139314,160693,182554,204203,224310,258429,289348,320458,326928,354195,372958,393617,420135,461953,503273
"    67","      Legal services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3963,4327,4726,5287,5614,5931,6506,7506,8410,9402,10669,11832,12912,14253,17398,19190,21785,23897,26347,30320,35286,41741,47096,54837,59821,70281,76335,83530,86045,93125,95291,96651,98316,104277,107127
"    68","      Computer systems design and related services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",946,1057,1182,1358,1511,1656,1903,2058,2194,2489,2917,3206,3525,4117,4992,6112,7479,8856,10326,11748,13978,16164,18461,20056,21689,24560,27857,31062,33327,37171,41332,46285,51815,61742,75259
"    69","      Miscellaneous professional, scientific, and technical services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",8614,9563,10567,12071,13345,14554,16298,17571,18968,21163,24483,27033,30002,33722,39413,46135,54570,64415,74015,79942,90050,102788,116997,129311,142799,163587,185157,205866,207555,223899,236335,250680,270004,295934,320886
