"Table 5.8.5B. Private Inventories and Domestic Final Sales by Industry"
"[Billions of dollars] Seasonally adjusted at annual rates" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1996","1997","1997","1997","1997","1998","1998","1998","1998","1999","1999","1999","1999","2000","2000","2000","2000","2001","2001","2001","2001","2002","2002","2002","2002","2003","2003","2003","2003","2004","2004","2004","2004","2005","2005","2005","2005","2006","2006","2006","2006","2007","2007","2007","2007","2008","2008","2008","2008","2009","2009","2009","2009","2010","2010","2010","2010","2011","2011","2011","2011","2012","2012","2012","2012","2013","2013","2013","2013","2014","2014","2014","2014","2015","2015","2015","2015","2016","2016","2016","2016","2017","2017","2017","2017","2018","2018","2018","2018"
"Line","","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4","Q1","Q2","Q3","Q4"
"9","    Nondurable goods industries",107.0,108.0,108.3,110.3,112.8,112.7,112.8,112.1,113.5,114.8,115.2,120.2,123.3,127.9,128.9,130.5,135.1,134.8,137.6,136.4,134.4,135.4,137.1,141.6,143.5,145.3,142.8,146.4,149.7,152.2,154.2,155.1,157.1,164.9,166.7,172.6,172.3,177.4,184.4,183.8,186.7,191.5,200.7,207.4,220.4,233.4,255.2,245.9,215.3,211.5,212.2,205.0,215.0,217.9,221.6,238.9,254.8,265.8,276.7,270.5,272.8,277.7,272.7,293.6,289.3,294.3,292.8,290.8,295.2,305.1,302.7,298.0,299.1,297.4,306.9,307.2,305.7,303.5,312.2,306.8,315.0,316.4,314.2,317.6,325.0,332.9,333.2,337.3,333.3
"10","Retail trade",328.7,329.3,332.5,335.0,336.5,343.0,343.5,344.9,349.9,358.2,363.2,367.7,378.6,381.8,391.4,396.4,401.6,396.1,396.9,398.5,386.7,391.3,397.0,402.2,410.7,423.2,422.4,425.6,429.2,439.3,449.1,455.6,463.7,470.2,467.6,470.1,474.4,478.9,483.7,487.7,489.4,490.7,495.7,502.7,510.2,506.2,506.6,503.9,484.7,466.9,455.4,441.3,443.7,451.6,457.9,466.3,470.8,481.1,484.8,489.5,491.8,503.4,513.7,521.5,525.4,534.0,539.9,548.7,563.9,570.0,575.8,580.3,581.1,584.1,594.1,603.8,606.1,616.4,625.8,630.8,635.0,648.0,653.9,652.2,659.6,669.3,675.1,680.9,691.3
"11","    Motor vehicle and parts dealers",101.9,101.6,102.4,103.0,104.2,106.7,105.4,104.6,106.8,112.1,112.8,114.3,119.9,120.3,126.7,130.6,133.2,126.6,128.2,130.1,122.3,126.4,130.6,131.1,137.3,144.9,146.5,146.1,147.2,151.2,155.2,157.4,158.6,159.3,155.1,154.2,155.0,155.9,156.2,155.6,154.1,151.0,152.4,157.7,158.2,155.6,152.9,149.0,144.9,132.6,124.3,114.6,114.9,118.9,124.6,129.9,128.6,130.8,133.0,134.5,135.5,144.9,153.5,158.2,159.2,163.0,165.9,169.3,179.0,179.4,183.3,185.0,185.7,187.7,191.1,196.6,197.3,205.3,210.2,214.1,215.1,224.6,228.2,225.8,226.5,233.8,238.3,244.7,250.6
"12","    Food and beverage stores",27.5,27.7,27.6,28.1,27.8,28.1,28.6,28.7,29.2,29.6,30.1,30.9,30.9,31.0,30.8,30.9,31.0,31.7,31.9,32.1,32.1,32.5,32.0,32.7,32.8,33.0,32.5,33.8,33.8,33.9,34.5,34.9,35.1,35.4,35.2,34.9,35.8,35.6,36.1,37.2,37.4,38.5,38.6,39.7,41.4,42.1,43.0,43.1,42.2,42.3,42.1,41.8,42.6,43.9,42.8,43.0,44.7,45.8,45.8,46.6,46.9,47.4,47.1,47.9,48.6,48.8,49.3,49.4,49.4,50.6,51.3,51.7,52.2,52.0,52.1,52.7,53.1,53.0,53.7,53.5,53.9,55.3,55.2,55.5,56.8,56.8,56.4,56.4,58.6
"13","    General merchandise stores",58.0,57.9,58.7,58.4,58.3,58.5,58.7,59.5,59.4,60.1,60.7,61.4,62.4,62.7,63.4,63.1,63.7,65.4,65.6,65.6,64.2,63.7,63.6,64.7,66.2,67.5,67.8,68.7,69.3,70.9,72.2,72.3,74.4,76.5,76.8,77.6,78.0,77.5,77.2,78.9,80.1,81.0,81.6,81.5,82.5,81.8,82.4,83.4,81.2,80.1,79.5,78.1,78.0,78.5,79.3,80.5,81.6,84.4,85.0,86.0,86.7,86.3,86.7,86.4,88.1,88.6,88.9,89.5,90.7,91.7,91.3,92.0,91.7,90.9,93.1,93.3,92.5,92.2,92.4,92.0,91.8,92.1,92.2,91.4,91.4,91.4,91.8,92.1,92.6
"14","    Other retail stores",141.4,142.1,143.8,145.5,146.2,149.7,150.9,152.1,154.5,156.4,159.5,161.1,165.3,167.8,170.5,171.8,173.7,172.4,171.2,170.7,168.1,168.6,170.8,173.7,174.4,177.8,175.5,177.0,178.9,183.3,187.3,191.0,195.5,199.0,200.4,203.5,205.6,210.0,214.2,216.0,217.7,220.1,223.1,223.9,228.1,226.7,228.3,228.4,216.4,212.0,209.5,206.9,208.2,210.3,211.3,212.8,215.9,220.1,221.1,222.4,222.8,224.9,226.4,229.1,229.5,233.6,235.8,240.6,244.8,248.3,250.0,251.6,251.6,253.5,257.8,261.2,263.3,266.0,269.5,271.3,274.2,276.1,278.3,279.4,284.9,287.2,288.7,287.8,289.5
"15","Other industries",82.1,83.8,84.7,85.6,87.1,87.5,88.5,89.8,91.4,92.8,95.4,97.9,100.2,104.0,107.8,112.9,115.3,116.1,116.0,115.0,113.6,112.4,112.7,112.5,112.9,113.6,114.1,114.3,114.6,116.2,118.6,120.8,123.4,125.3,127.0,128.6,130.0,130.5,134.2,136.5,137.0,138.6,140.7,141.1,143.5,146.5,150.2,153.3,149.2,143.4,141.6,141.3,142.0,143.0,143.2,143.6,145.7,150.5,153.5,154.1,155.6,153.9,157.8,159.2,160.2,161.6,163.5,166.3,166.4,170.3,172.4,174.1,175.2,178.9,180.6,183.1,185.2,182.9,185.5,184.1,184.6,187.8,189.9,190.4,194.9,202.4,209.1,211.9,215.0
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","    Private inventories",1284.7,1293.9,1305.1,1315.1,1327.9,1338.0,1336.7,1334.6,1342.3,1360.1,1374.0,1397.6,1433.4,1457.5,1480.6,1496.8,1524.8,1523.1,1509.9,1485.2,1447.7,1433.4,1446.6,1470.1,1495.8,1532.9,1524.3,1539.7,1560.3,1600.3,1643.3,1672.4,1700.0,1748.3,1756.0,1796.5,1836.9,1852.2,1900.0,1931.2,1942.3,1985.4,2023.4,2046.0,2102.8,2178.0,2284.2,2246.6,2044.1,1968.6,1930.9,1896.6,1919.7,1961.1,1969.9,2027.6,2104.8,2204.6,2253.0,2257.4,2274.6,2313.8,2307.7,2360.1,2370.2,2360.8,2367.4,2402.2,2451.1,2509.7,2525.6,2537.8,2524.5,2505.4,2528.7,2513.9,2507.1,2503.9,2528.8,2512.9,2564.8,2611.8,2608.1,2616.1,2678.3,2723.1,2737.2,2757.8,2782.6
"17","        Durable goods industries",603.4,607.7,615.0,617.8,625.1,635.8,637.2,639.7,643.2,653.4,657.0,666.4,684.8,692.7,705.9,714.5,720.5,708.2,698.4,686.8,664.9,656.5,664.2,669.7,679.8,693.0,691.6,688.0,698.3,718.0,739.1,761.3,774.3,796.0,797.8,808.7,827.9,846.4,870.9,886.8,890.2,899.2,906.7,908.1,919.1,939.3,959.4,958.8,907.0,859.5,825.3,804.1,801.5,819.0,832.6,850.2,867.5,898.9,921.3,931.0,936.1,960.8,976.2,993.3,1004.2,1006.1,1003.9,1024.2,1055.2,1065.5,1079.2,1098.1,1105.8,1105.7,1110.7,1112.4,1117.6,1115.1,1121.6,1126.0,1144.5,1161.0,1167.2,1186.9,1204.7,1227.2,1241.1,1260.4,1288.8
