"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    37","    Food and beverage stores",38527,35254,40734,40039,43498,42758,43905,50907,52664,59123,64103,66064,60112,66044,73747,75865,74800,80100,83706,86130,88115,90342
"    38","    General merchandise stores",36703,37311,42648,41640,39424,36898,47071,58190,59938,62592,73845,72326,74242,82897,78277,77370,81384,84727,87182,86292,89696,92093
"    39","    Other retail",145927,141777,156584,176102,155916,171158,185973,221370,232463,256248,273778,250110,223246,243569,261977,280927,310783,338380,367245,395109,421211,451894
"    40","  Transportation and warehousing",242107,247367,268546,292432,283920,289866,306747,340248,376790,410304,452130,479981,377351,423233,502736,530066,545745,583076,548351,526696,546797,582248
"    41","    Air transportation",59674,60459,63549,76485,69446,59609,67680,71850,80660,84626,88064,102823,75379,79648,110129,108076,107379,103372,84474,66634,64782,69554
"    42","    Rail transportation",18186,15937,16109,15966,16514,18765,18002,20438,23513,26000,28293,31159,21796,32724,39365,39543,41609,44915,38026,35309,38077,42583
"    43","    Water transportation",18193,18310,19253,19302,18753,18953,21917,26681,29131,29670,33317,36424,27959,30529,31221,33530,27508,32416,32380,33341,34300,36826
"    44","    Truck transportation",84873,88477,93416,100456,102103,106015,107483,121895,139036,147256,155376,163228,121839,138142,156659,169750,176556,192624,184499,180103,188885,200664
"    45","    Transit and ground passenger transportation",9152,10325,8672,7595,7831,7984,6660,10333,13520,16531,18688,16976,15514,13782,15145,14685,17710,21416,24229,26131,28933,27665
"    46","    Pipeline transportation",17298,14326,13697,13856,6628,12114,12034,12394,12965,13513,12730,14950,12667,10984,13463,11216,11850,11568,7366,5666,6297,7279
"    47","    Other transportation and support activities",29381,35676,47357,51616,52099,53286,56449,60567,62889,72013,87891,82753,68750,74089,84237,91506,97498,108290,110852,111178,115685,123980
"    48","    Warehousing and storage",5350,3857,6492,7155,10546,13140,16522,16089,15076,20697,27770,31669,33447,43336,52516,61761,65634,68475,66526,68334,69838,73697
"    49","  Information",336523,373753,428480,537438,536955,494738,484333,464279,489298,531893,513856,511953,497745,515635,565001,623591,608412,669423,655019,661257,687626,739820
"    50","    Publishing industries, except internet (includes software)",93597,105879,99626,143654,146005,127918,116341,119154,119272,142273,119402,123839,109877,102472,103602,94886,98497,105516,97461,87910,97846,114780
"    51","    Motion picture and sound recording industries",49211,47907,44412,61132,56675,50915,62052,54911,70369,68358,60591,51345,40822,38689,43517,49261,52402,52680,55084,55598,59053,63372
"    52","    Broadcasting and telecommunications",177803,205017,249895,286104,299785,295905,286508,274771,274939,294256,280552,281350,290035,312724,343471,362739,347546,398556,400112,427340,435429,450661
"    53","    Data processing, internet publishing, and other information services",15913,14949,34548,46548,34490,19998,19432,15442,24718,27006,53311,55418,57011,61751,74411,116705,109967,112670,102362,90410,95299,111006
"    54","  Finance, insurance, real estate, rental, and leasing",799498,900448,997582,1153266,1093473,1127326,1266579,1478592,1638321,1742293,1833854,1890571,1604994,1644548,1691051,1775814,1982481,2082575,2157059,2271092,2499137,2685717
"    55","    Finance and insurance",428715,475160,560551,650690,585836,589390,652726,740151,772693,843493,992517,1119494,903888,904616,942790,977746,1125687,1145421,1169748,1195005,1337429,1468340
"    56","      Federal Reserve banks, credit intermediation, and related activities",160669,162974,174617,206013,212358,200423,212487,256640,262377,277913,311189,291741,290094,266896,222348,237071,264225,246390,228317,257416,287025,309438
"    57","      Securities, commodity contracts, and investments",84684,122834,172386,224200,130181,123774,163906,189661,188246,225348,303333,365083,250333,257950,278543,245443,269176,319303,322512,281212,299173,362553
"    58","      Insurance carriers and related activities",134367,137086,155886,145804,177572,210797,226249,234221,257328,263500,286077,366749,279491,287324,341126,390889,466107,455794,473563,520221,600688,632676
"    59","      Funds, trusts, and other financial vehicles",48995,52267,57661,74674,65726,54396,50083,59629,64742,76732,91918,95921,83970,92445,100774,104344,126178,123934,145356,136156,150543,163673
"    60","    Real estate and rental and leasing",370783,425288,437030,502576,507637,537936,613853,738441,865628,898800,841337,771078,701106,739933,748261,798068,856794,937154,987311,1076087,1161708,1217377
"    61","      Real estate",326857,367894,375934,428320,446152,482463,537416,646266,758399,804307,735341,659955,613273,631316,626085,672145,721607,789075,865273,962495,1048209,1102116
"    62","        Housing",88036,99086,101383,106761,117901,121006,130224,134215,145567,153606,163578,144827,147433,154686,160192,177177,188144,191674,202707,218700,228282,229484
"    63","        Other real estate",238821,268808,274551,321559,328251,361457,407192,512051,612832,650702,571763,515127,465839,476630,465892,494969,533464,597401,662566,743795,819926,872632
