"Table 3.9.5. Government Consumption Expenditures and Gross Investment"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: February 28, 2019 - Next Release Date March 28, 2019"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"Line","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"30","            Intellectual property products",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.1,2.9,4.5,5.7,6.8,7.9,7.8,8.6,8.8,8.8,8.9,9.2,9.6,10.4,11.5,12.7,14.0,15.9,17.9,19.8,21.2,21.1,21.6,22.8,24.6,25.7,27.4,29.6,31.9,34.8,37.4,38.9,40.4,41.9,43.4,43.8,44.9,47.5,50.7,54.8,58.1,59.8,62.5,64.5,67.3,69.2,71.4,75.7,79.5,85.9,88.5,90.2,88.8,89.6,90.9,92.7,95.3,96.7
"31","                Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.4,0.5,0.6,0.8,1.0,1.0,1.1,1.3,1.6,2.1,2.5,2.8,3.3,3.7,4.1,4.3,4.8,5.2,5.8,6.2,6.6,6.7,6.8,6.8,7.0,7.3,7.7,9.2,10.4,11.6,12.3,11.1,10.9,11.5,12.6,13.4,14.6,16.1,16.2,17.6,19.2,20.3,20.6,21.3,21.3,22.5,24.1,25.6
"32","                Research and development",0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.1,0.2,0.2,0.3,0.5,0.5,0.5,0.4,0.4,0.4,0.6,0.9,1.1,1.1,1.7,2.0,2.9,4.4,5.6,6.7,7.8,7.7,8.4,8.6,8.4,8.4,8.7,9.0,9.6,10.5,11.7,12.9,14.6,16.3,17.7,18.6,18.3,18.3,19.2,20.5,21.4,22.7,24.3,26.1,28.6,30.9,32.2,33.5,35.1,36.3,36.5,37.1,38.3,40.3,43.2,45.8,48.8,51.5,53.0,54.7,55.8,56.8,59.6,63.3,68.3,69.3,69.9,68.1,68.3,69.7,70.2,71.3,71.2
"33","State and local",7.7,8.3,8.1,6.9,6.4,7.3,7.6,7.6,7.8,8.3,8.9,8.7,8.7,8.7,8.5,8.6,9.2,11.0,14.1,16.7,19.4,21.1,23.4,24.8,26.5,29.2,31.9,35.1,38.7,42.6,44.9,47.6,51.9,54.8,59.3,64.5,70.9,78.9,87.0,97.6,107.8,119.8,133.0,144.5,158.6,182.5,207.4,219.4,234.0,257.4,284.2,314.7,340.4,363.1,384.2,416.1,457.6,494.4,528.7,567.4,617.8,676.2,716.0,756.0,784.8,827.6,872.7,913.7,963.8,1026.1,1109.0,1193.1,1279.2,1345.7,1384.9,1447.1,1528.5,1623.5,1740.3,1831.4,1855.3,1856.7,1849.4,1850.5,1905.8,1952.9,2013.3,2058.8,2109.2,2202.6
"34","    Consumption expenditures",5.0,5.3,5.4,5.1,5.1,5.5,5.9,4.7,5.2,5.2,5.5,5.9,6.4,7.2,7.6,7.8,8.3,9.4,11.2,12.6,14.0,15.2,16.3,17.4,18.5,19.9,21.8,23.7,26.1,28.9,30.8,33.5,36.6,38.7,41.5,45.2,49.7,55.4,61.3,69.4,79.0,90.4,102.3,113.2,124.6,142.0,162.8,174.5,190.0,206.6,225.9,249.0,273.5,296.1,315.4,338.5,370.3,398.2,426.6,457.0,498.5,544.0,578.7,616.3,643.6,678.8,712.8,743.5,781.0,829.8,895.4,961.7,1031.2,1084.2,1115.9,1169.4,1237.3,1308.3,1398.3,1473.5,1495.0,1509.5,1508.5,1516.7,1575.1,1614.9,1656.9,1691.9,1744.5,1811.4
"35","    Gross investment",2.7,2.9,2.7,1.8,1.4,1.8,1.6,2.9,2.6,3.0,3.4,2.8,2.3,1.6,0.9,0.7,0.9,1.6,2.9,4.1,5.4,5.9,7.0,7.4,8.0,9.3,10.1,11.4,12.7,13.7,14.1,14.1,15.3,16.1,17.8,19.3,21.2,23.5,25.7,28.1,28.8,29.3,30.7,31.3,34.0,40.5,44.6,44.9,44.0,50.8,58.4,65.7,66.9,67.0,68.8,77.6,87.3,96.2,102.2,110.4,119.2,132.2,137.3,139.7,141.2,148.8,160.0,170.2,182.9,196.3,213.6,231.5,248.0,261.5,269.1,277.8,291.3,315.3,342.0,357.9,360.3,347.3,341.0,333.7,330.8,338.0,356.5,366.8,364.8,391.2
"36","        Structures",2.4,2.7,2.4,1.6,1.2,1.6,1.5,2.8,2.4,2.8,3.1,2.6,2.1,1.4,0.8,0.6,0.7,1.4,2.5,3.6,4.9,5.4,6.4,6.7,7.3,8.5,9.3,10.4,11.5,12.5,12.8,12.7,13.8,14.5,16.0,17.2,19.0,21.0,23.0,25.2,25.6,25.8,27.0,27.1,29.1,34.7,38.1,38.1,36.9,42.8,49.0,55.1,55.4,54.2,54.2,60.5,67.6,74.2,78.8,84.8,88.7,98.5,103.2,104.2,104.5,108.7,117.3,126.8,136.6,146.1,159.7,174.6,190.6,204.1,211.1,219.1,231.5,251.4,271.4,284.5,288.9,279.8,273.4,265.0,259.3,265.3,281.6,289.1,283.4,304.7
"37","        Equipment",0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,0.2,0.3,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.1,1.1,1.1,1.2,1.2,1.3,1.5,1.7,1.8,2.0,2.2,2.3,2.6,2.8,2.9,3.3,3.8,4.6,5.1,5.3,5.4,6.1,7.1,8.1,8.5,9.4,10.8,12.7,14.8,16.4,17.2,18.6,21.9,23.9,23.5,24.0,24.9,28.1,30.5,30.5,32.0,34.7,37.4,38.8,38.4,38.0,37.6,37.2,37.1,39.1,44.0,45.1,43.1,39.6,38.6,39.2,39.9,39.9,40.7,42.3,44.0,46.6
"38","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.6,0.7,0.8,0.8,0.9,1.0,1.2,1.3,1.5,1.6,1.9,2.2,2.6,3.0,3.4,3.8,4.4,5.0,5.6,6.2,7.0,8.6,9.7,10.6,11.4,11.9,12.0,12.3,12.8,14.3,15.5,16.5,18.1,19.1,19.4,20.4,21.5,22.7,24.7,26.6,28.3,28.3,27.9,29.0,29.6,31.5,32.8,34.2,35.5,37.3,39.9
"39","            Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.7,0.8,1.0,1.2,1.4,1.8,2.1,2.2,2.4,2.9,4.1,4.8,5.4,6.1,6.3,6.3,6.3,6.5,7.4,8.2,8.7,9.5,9.8,9.4,9.9,10.5,11.1,11.9,12.5,13.2,13.0,12.8,13.4,13.9,14.6,15.3,15.8,16.5,17.7,19.6
"40","            Research and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.3,1.5,1.7,2.0,2.2,2.4,2.6,3.0,3.4,3.7,4.1,4.5,4.9,5.2,5.4,5.5,5.8,6.0,6.4,6.9,7.3,7.9,8.6,9.3,10.0,10.5,10.9,11.6,12.8,14.1,15.1,15.3,15.1,15.6,15.7,16.9,17.6,18.4,19.0,19.6,20.3
"Legend / Footnotes:"
"1. Government consumption expenditures are services (such as education and national defense) produced by government that are valued at their cost of production. Excludes government sales to other sectors and government own-account investment (construction, software, and research and development)."
"2. Gross government investment consists of general government and government enterprise expenditures for fixed assets; inventory investment is included in government consumption expenditures."
