"Table 1.3. Current-Cost Depreciation of Fixed Assets and Consumer Durable Goods"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 20, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"10","      Nonresidential",0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2.1,3.6,6.5,9.3,10.6,11.4,11.3,10.5,9.6,9.0,10.0,11.0,12.2,12.9,13.7,15.2,16.5,17.4,18.5,19.5,20.7,22.1,23.7,24.9,26.2,27.9,30.0,32.5,35.2,38.3,41.0,43.1,46.2,53.2,59.2,63.2,68.0,74.2,82.2,92.4,104.2,115.4,123.1,133.8,142.4,152.1,162.6,174.8,186.8,198.2,208.9,215.3,222.9,230.7,239.1,243.6,248.6,254.7,263.8,276.3,284.8,292.7,303.5,320.4,343.9,367.4,394.5,422.2,438.1,452.5,472.3,488.7,499.5,510.9,516.6,521.2,535.6
"11","        Equipment",0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.7,1.8,4.2,6.8,7.9,8.3,7.7,6.4,5.5,4.8,4.9,5.6,6.4,7.1,7.5,8.0,8.4,8.4,8.8,9.2,9.5,10.1,10.7,10.9,11.1,11.5,12.1,12.9,13.4,13.9,14.1,14.2,14.3,15.8,17.5,19.4,21.3,23.7,25.9,28.3,31.5,35.5,38.7,43.9,46.4,49.3,52.3,56.0,60.6,64.9,69.3,71.9,74.6,78.0,79.5,80.0,79.3,80.2,81.6,84.3,85.5,86.6,88.7,92.2,95.9,99.9,105.0,112.0,118.4,123.2,128.0,131.0,131.5,131.7,131.2,130.8,131.9
"12","        Structures",0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.6,0.7,0.8,0.8,0.9,1.0,1.0,1.0,1.1,1.3,1.6,1.9,2.0,2.0,2.3,2.7,3.0,3.0,2.9,3.5,3.8,3.9,3.8,4.0,4.5,4.9,5.1,5.2,5.4,5.6,5.9,6.2,6.6,7.0,7.6,8.2,9.0,9.9,11.2,12.5,13.5,15.2,18.6,20.9,21.6,22.8,24.5,27.4,31.4,35.5,38.4,38.9,39.8,41.2,43.5,46.0,48.2,50.3,52.9,54.8,56.4,59.0,61.9,65.7,69.0,72.8,76.4,80.7,86.0,90.9,95.4,99.8,107.6,120.5,133.2,147.6,159.7,165.2,168.2,176.5,185.2,191.1,197.2,201.2,204.9,212.3
"13","        Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.3,0.5,0.7,0.8,1.0,1.1,1.2,1.3,1.5,1.7,1.8,2.0,2.3,2.7,3.3,3.9,4.4,5.0,5.5,6.1,6.7,7.5,8.1,8.8,9.6,10.7,11.8,13.1,14.4,15.4,16.8,18.9,20.8,22.2,23.9,26.0,28.9,32.8,37.2,41.6,45.5,50.2,54.8,59.4,64.3,70.6,75.9,80.4,84.8,87.0,89.3,90.8,94.0,94.7,96.5,98.2,101.5,106.0,108.4,110.8,114.9,120.6,127.4,134.2,141.9,150.5,154.5,161.1,167.8,172.5,176.9,181.9,184.2,185.4,191.3
"14","      Residential",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.7,0.7,0.9,1.0,1.1,1.2,1.3,1.4,1.4,1.4,1.6,1.7,1.9,2.0,2.0,2.1,2.2,2.4,2.5,2.6,2.7,2.8,3.0,3.2,3.4,3.5,3.8,4.1,4.5,4.8,4.9,4.8,4.7,4.7,4.8,4.8,5.1,5.4,5.5,5.7,6.0
"15","    Consumer durable goods",6.4,6.6,6.8,7.1,7.3,6.7,6.1,4.8,4.9,5.0,5.3,5.7,6.1,5.6,5.8,6.2,8.8,7.3,8.4,8.0,9.2,10.7,12.7,15.4,16.6,18.8,22.7,23.4,24.3,26.5,28.3,32.0,32.4,35.3,34.9,37.3,38.1,39.2,41.0,43.4,45.8,49.0,52.8,58.5,64.3,69.3,75.3,81.0,89.0,99.6,111.2,122.8,137.0,154.4,172.6,192.7,207.9,214.5,219.4,236.7,261.4,288.0,314.5,337.9,363.6,387.1,407.0,420.0,442.5,466.8,491.6,512.0,530.9,554.0,581.1,622.9,656.0,685.7,715.0,756.3,800.2,841.2,879.8,911.1,921.2,915.0,931.4,950.9,967.1,980.6,1004.3,1034.9,1067.3
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","  Private and government fixed assets",8.9,9.4,9.8,10.0,10.4,10.2,9.5,8.3,8.0,8.4,8.5,8.8,9.8,10.0,10.1,10.6,12.1,14.9,18.0,21.3,23.1,25.7,29.1,31.3,32.3,33.4,37.8,40.7,43.6,46.0,48.9,54.1,58.9,62.5,65.4,67.9,70.6,74.1,78.0,82.4,88.0,95.3,103.6,113.4,124.9,136.8,148.9,161.0,178.1,206.8,238.5,260.3,289.8,327.1,373.8,428.4,487.2,537.0,563.1,598.7,640.3,685.1,730.1,784.4,838.3,888.6,932.4,960.3,1003.3,1055.6,1122.4,1175.3,1239.1,1309.7,1399.0,1511.0,1599.9,1658.0,1719.2,1821.6,1970.9,2124.0,2252.0,2358.8,2371.5,2390.9,2474.4,2575.9,2681.2,2816.9,2917.4,2990.5,3116.2
"17","      Nonresidential",7.3,7.8,8.1,8.3,8.5,8.3,7.8,7.0,6.7,6.9,7.0,7.2,8.0,8.3,8.3,8.7,10.0,12.6,15.6,18.7,20.3,22.5,25.2,26.8,27.5,28.3,32.1,34.5,37.1,39.2,41.6,46.3,50.7,54.0,56.5,58.5,60.8,63.8,67.3,71.1,75.8,82.1,89.4,97.9,107.5,118.2,128.2,137.8,151.5,176.0,203.7,221.9,245.5,275.0,313.1,359.1,411.3,456.7,479.8,510.3,546.1,582.8,618.5,664.7,710.6,755.0,794.8,818.4,852.4,895.2,952.5,997.1,1051.6,1110.4,1184.6,1278.6,1348.0,1390.9,1428.5,1498.2,1608.2,1727.1,1841.8,1954.8,1985.5,2011.0,2096.7,2195.5,2278.3,2385.5,2470.1,2521.9,2619.5
"18","        Equipment",4.1,4.5,4.6,4.7,4.9,4.7,4.4,4.0,3.6,3.7,3.7,3.7,4.2,4.3,4.3,4.6,5.4,7.1,9.3,12.1,13.3,14.6,15.5,16.0,16.4,16.9,18.8,20.4,22.1,23.6,24.9,27.3,29.7,31.5,32.6,33.1,34.0,35.3,36.9,38.5,40.9,44.0,48.0,52.2,56.8,61.6,65.9,70.1,75.7,87.4,103.5,115.0,128.9,146.0,166.7,192.0,217.3,239.4,251.8,266.6,283.5,302.4,320.8,341.5,363.3,383.2,398.7,409.1,422.3,444.5,472.3,493.8,514.3,535.6,564.1,601.1,623.5,633.2,639.6,661.4,695.7,732.4,774.8,811.2,821.1,824.9,856.1,892.6,926.5,961.3,992.0,1015.4,1043.9
"19","        Structures",3.0,3.0,3.1,3.2,3.3,3.2,3.0,2.6,2.7,2.9,2.9,3.0,3.4,3.4,3.4,3.5,3.8,4.5,5.0,5.1,5.2,5.9,7.2,8.1,8.2,8.3,9.7,10.3,10.8,10.8,11.4,12.8,13.9,14.2,14.7,15.0,15.5,16.1,16.8,17.6,18.7,20.2,21.6,23.5,26.0,28.8,31.9,34.9,39.8,47.8,54.7,57.8,63.3,70.3,80.4,91.4,107.3,119.6,120.1,123.7,129.9,135.4,139.4,148.1,156.2,164.4,170.7,172.8,179.9,188.1,199.0,207.9,220.2,234.0,245.0,259.8,279.3,296.3,310.4,336.7,383.2,432.6,469.5,506.1,507.7,508.6,530.6,559.3,575.0,609.6,627.1,630.1,648.5
"20","        Intellectual property products",0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,0.5,0.5,0.6,0.6,0.7,0.8,1.0,1.2,1.6,1.8,2.1,2.4,2.7,2.9,3.1,3.5,3.8,4.3,4.7,5.3,6.2,7.2,8.3,9.3,10.3,11.4,12.4,13.6,15.0,16.3,17.9,19.8,22.1,24.8,27.8,30.4,32.8,36.0,40.9,45.5,49.1,53.4,58.7,66.1,75.7,86.7,97.7,107.9,119.9,132.7,145.0,158.4,175.1,191.0,207.4,225.3,236.5,250.2,262.5,281.2,295.5,317.1,340.8,375.5,417.7,445.2,461.4,478.5,500.1,529.3,562.1,597.4,637.5,656.6,677.5,710.0,743.5,776.8,814.6,851.0,876.4,927.2
"21","      Residential",1.5,1.6,1.7,1.8,1.9,1.9,1.7,1.4,1.3,1.5,1.5,1.6,1.7,1.8,1.8,1.9,2.1,2.3,2.5,2.7,2.8,3.2,4.0,4.5,4.8,5.1,5.8,6.2,6.5,6.8,7.3,7.8,8.2,8.5,8.9,9.4,9.8,10.3,10.7,11.3,12.2,13.2,14.1,15.5,17.3,18.7,20.7,23.2,26.7,30.8,34.8,38.4,44.2,52.0,60.7,69.2,75.8,80.4,83.4,88.5,94.2,102.4,111.6,119.8,127.7,133.5,137.6,141.9,150.9,160.4,169.9,178.2,187.5,199.3,214.5,232.4,251.9,267.1,290.6,323.4,362.8,396.9,410.2,404.0,386.0,379.9,377.7,380.5,402.9,431.4,447.3,468.6,496.6
"22","  Government fixed assets",0.9,0.9,0.9,1.0,1.0,1.0,1.0,0.9,1.0,1.1,1.2,1.3,1.4,1.5,1.5,1.6,2.1,3.7,6.5,9.3,10.6,11.4,11.4,10.5,9.7,9.1,10.1,11.1,12.3,13.0,13.9,15.3,16.7,17.5,18.6,19.7,20.8,22.3,23.9,25.1,26.4,28.1,30.2,32.7,35.4,38.6,41.3,43.5,46.7,53.7,59.7,63.8,68.7,75.0,83.1,93.4,105.3,116.6,124.4,135.2,143.9,153.6,164.1,176.5,188.7,200.2,211.0,217.4,225.1,233.1,241.6,246.2,251.3,257.6,266.8,279.5,288.2,296.2,307.2,324.5,348.3,372.2,399.5,427.0,442.8,457.2,477.1,493.6,504.6,516.2,522.1,527.0,541.5
"23","    Federal",0.3,0.3,0.3,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.9,2.2,5.0,7.8,9.2,9.9,9.5,8.4,7.5,6.9,7.5,8.4,9.4,10.1,10.7,11.7,12.7,13.4,14.3,15.2,16.0,17.2,18.4,19.2,20.0,21.1,22.5,24.2,25.8,27.6,29.1,30.2,31.8,35.4,38.8,41.7,45.2,49.5,54.5,60.4,67.5,75.5,81.7,90.9,97.1,103.4,110.1,118.9,126.9,133.5,140.1,143.3,146.9,150.3,153.5,153.7,154.1,155.4,158.3,162.9,164.9,167.1,172.4,180.4,190.5,201.2,212.0,225.9,233.7,243.7,254.9,261.6,265.8,269.9,270.8,270.6,276.0
"24","    State and local",0.6,0.6,0.7,0.7,0.8,0.8,0.7,0.7,0.7,0.9,0.8,0.9,1.0,1.0,1.1,1.1,1.2,1.4,1.5,1.5,1.4,1.6,1.9,2.1,2.2,2.2,2.6,2.8,2.9,3.0,3.2,3.6,3.9,4.1,4.3,4.5,4.8,5.1,5.5,5.9,6.4,7.1,7.8,8.6,9.6,10.9,12.2,13.3,14.8,18.3,21.0,22.0,23.4,25.4,28.6,33.0,37.7,41.2,42.7,44.3,46.8,50.1,54.0,57.7,61.8,66.6,70.8,74.1,78.3,82.8,88.1,92.5,97.3,102.2,108.6,116.5,123.2,129.1,134.9,144.1,157.8,170.9,187.5,201.1,209.1,213.4,222.2,231.9,238.8,246.3,251.3,256.3,265.5
