"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    12","  Manufacturing",3897971,3962464,4079847,4290462,4046832,3971611,4050673,4361729,4804582,5093517,5404030,5493739,4511065,5019104,5592871,5771296,5939329,6039580,5714658,5573012,5889467,6249363
"    13","    Durable goods",2189827,2278794,2356245,2435259,2240800,2165388,2175682,2314916,2496171,2639741,2770175,2687055,2152092,2382490,2599134,2699678,2789555,2905941,2900334,2836282,3004495,3164743
"    14","      Wood products",88806,91836,98086,95023,88021,90175,92673,106104,114836,114564,103304,89113,65913,71907,72990,80770,90577,97131,100287,104644,112189,114976
"    15","      Nonmetallic mineral products",85860,91637,95687,97716,94409,95254,96547,102391,113210,125808,128466,114428,89972,92358,94063,99639,106303,113627,119061,124606,129555,133960
"    16","      Primary metals",168286,166636,156590,155704,136919,139163,137676,181897,202467,233123,256349,280342,167124,235705,281499,269217,263236,265553,227095,205781,231031,265802
"    17","      Fabricated metal products",243943,254693,257304,269188,252564,246861,244280,260270,287911,316670,342762,357773,280213,295619,326784,343518,350551,360807,351962,337975,364638,393499
"    18","      Machinery",269765,278012,275890,294602,264922,246927,250330,265925,299080,323819,346934,354035,285310,318708,368713,404480,396801,409111,379338,351100,379940,401004
"    19","      Computer and electronic products",461129,464688,486427,548693,461252,390249,387949,398288,407803,426022,444431,423318,350227,358877,361447,354078,352489,347859,347963,340821,360977,384670
"    20","      Electrical equipment, appliances, and components",111103,114733,116926,125104,110553,100870,97960,102467,108761,117213,126292,126934,102696,108572,117792,122825,123528,126459,126010,124339,126671,132766
"    21","      Motor vehicles, bodies and trailers, and parts",430955,447725,503058,482401,458572,477236,488775,508118,523123,525701,513087,425155,342626,434724,498070,513233,565267,630072,677512,694827,736323,751954
"    22","      Other transportation equipment",155596,184008,180391,161904,181438,175910,172253,176988,206174,214127,263714,269359,248079,249037,258651,290545,306023,323407,330259,310031,316331,330944
"    23","      Furniture and related products",63576,68431,70829,75899,73101,75668,75350,78442,84321,86429,85666,76989,59538,57284,57185,65728,67269,68935,73712,74145,76084,78167
"    24","      Miscellaneous manufacturing",110808,116394,115058,129026,119048,127075,131890,134027,148485,156264,159170,169610,160394,159698,161939,155646,167511,162980,167134,168014,170757,177002
"    25","    Nondurable goods",1708144,1683670,1723602,1855203,1806033,1806223,1874991,2046813,2308410,2453776,2633855,2806685,2358972,2636614,2993737,3071618,3149773,3133639,2814324,2736730,2884972,3084620
"    26","      Food and beverage and tobacco products",531838,540244,538151,557108,576417,568698,599757,630003,661053,667596,720553,778633,772600,800318,855972,895924,920006,948824,946344,936784,971308,985259
"    27","      Textile mills and textile product mills",89136,87658,86559,85053,76629,75382,72324,73719,77042,71693,64403,56521,46292,49828,52869,51705,54014,55888,53559,52311,54146,56930
