"Table 4.7. Investment in Private Nonresidential Fixed Assets by Industry Group and Legal Form of Organization"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: October 11, 2018"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"9","  Manufacturing",0.4,0.5,0.5,0.4,0.5,0.6,0.6,0.5,0.6,0.6,0.6,0.8,0.8,0.6,0.7,1.0,1.3,1.5,1.7,2.1,1.5,1.4,1.9,1.4,1.7,1.7,1.7,1.9,2.3,1.7,1.1,0.7,0.9,1.1,1.3,1.6,2.2,1.6,1.8,2.3,3.2,2.7,2.1,2.8,3.7,5.8,7.3,7.1,5.6,6.1,8.7,9.5,10.0,10.0,10.5,14.3,15.2,12.6,12.7,14.9,14.8,16.0,17.2,19.9,24.2,29.3,29.8,31.4,34.5,35.4,35.1,39.1,44.2,55.0,57.4,61.8,70.3,82.1,93.1,106.2,121.3,116.2,111.8,132.9,146.1,140.4,142.6,150.2,172.0,182.5,186.8,192.2,193.1,214.4,249.0,276.9,290.9,304.7,306.8,327.8,325.8,291.0,280.2,291.2,323.2,346.3,397.5,418.1,357.8,365.0,405.5,435.3,458.3,465.8,476.1,477.7,491.0
"10","    Equipment",0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.3,0.3,0.4,0.4,0.4,0.5,0.4,0.4,0.7,1.0,1.1,1.1,1.0,0.8,0.8,1.2,0.8,1.1,0.9,0.9,1.0,1.2,1.0,0.7,0.5,0.6,0.8,0.9,1.2,1.5,1.1,1.3,1.6,1.9,1.8,1.6,2.2,2.7,3.5,4.8,4.9,3.9,4.1,5.5,5.7,5.9,5.9,6.1,7.8,8.6,6.7,6.7,7.6,7.4,8.2,8.7,10.5,13.0,15.7,15.5,16.2,17.4,17.6,17.2,19.9,22.3,28.8,30.5,33.4,39.4,45.5,51.2,57.7,66.2,58.9,54.0,66.2,72.2,67.3,67.8,70.9,84.1,89.6,91.0,92.5,94.2,106.4,121.9,130.2,131.0,139.3,133.2,137.1,128.1,118.7,113.1,114.3,127.7,135.6,154.0,163.8,124.3,131.3,157.5,168.5,172.9,170.5,174.6,166.6,179.1
"11","    Structures",0.1,0.2,0.2,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.2,0.2,0.2,0.3,0.3,0.5,1.1,0.5,0.5,0.6,0.5,0.4,0.6,0.6,0.8,0.9,0.5,0.2,0.1,0.2,0.2,0.1,0.2,0.4,0.2,0.2,0.4,0.8,0.3,0.1,0.2,0.6,1.6,1.6,1.3,0.9,1.0,2.0,2.1,2.0,1.8,2.0,3.1,3.2,2.1,1.8,2.6,2.5,2.6,2.8,3.1,4.3,5.7,5.6,5.6,6.3,6.5,6.2,6.4,7.5,9.7,9.2,9.0,9.6,12.9,14.6,16.4,18.1,17.0,13.8,15.7,17.3,15.3,14.5,15.6,18.7,19.0,17.7,18.2,17.5,19.7,25.2,29.7,28.6,25.4,25.9,28.8,30.6,20.4,15.0,16.7,19.9,20.5,32.6,29.4,25.0,21.5,23.9,34.1,37.1,37.6,37.0,32.2,28.3
"12","    Intellectual property products",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.5,0.6,0.4,0.4,0.4,0.7,0.9,1.0,0.9,1.1,1.2,1.7,2.2,2.3,2.4,3.3,3.5,3.8,4.1,4.6,4.9,5.3,5.7,6.2,6.9,7.9,8.7,9.7,10.8,11.4,11.7,12.8,14.4,16.5,17.7,19.4,21.2,23.7,27.3,32.0,37.0,40.2,44.0,51.1,56.7,57.8,60.3,63.6,69.3,74.0,78.1,81.4,81.4,88.2,101.9,117.0,131.3,139.9,147.7,162.0,167.1,151.8,152.1,160.2,175.6,190.2,210.9,224.8,208.5,212.2,224.1,232.7,248.3,257.7,264.6,278.8,283.6
"13","  Nonfarm nonmanufacturing",1.5,1.8,2.1,1.9,2.0,2.4,2.8,2.1,2.5,2.9,2.7,3.2,3.4,2.7,2.4,3.5,4.5,5.6,6.0,7.6,5.7,6.3,8.2,7.2,8.5,8.7,8.2,8.1,8.6,7.3,4.8,3.0,2.4,2.9,3.4,4.4,5.5,4.5,4.8,5.7,6.5,4.6,4.3,5.3,7.7,11.3,15.1,18.4,17.9,20.5,22.1,22.2,25.5,25.3,29.3,32.4,34.8,33.0,36.3,37.6,38.1,41.2,42.9,47.7,55.6,61.6,62.7,69.8,78.7,81.1,86.9,98.6,117.2,123.5,124.6,141.3,170.2,210.9,256.8,278.4,328.3,347.3,349.7,411.0,445.6,445.9,455.8,491.6,519.3,534.3,513.1,524.1,583.7,627.5,688.0,743.1,826.9,915.7,1024.7,1128.6,1087.8,1010.6,1041.4,1122.3,1243.5,1394.5,1494.6,1516.9,1269.8,1325.2,1452.1,1610.7,1671.4,1834.6,1887.0,1881.1,2004.2
"14","    Equipment",0.3,0.4,0.4,0.4,0.5,0.7,0.9,0.5,0.6,0.7,0.7,1.1,1.3,1.0,1.0,1.6,2.5,3.6,3.8,4.5,3.3,3.4,4.6,3.3,4.3,3.9,3.4,3.5,3.8,3.0,2.0,1.3,1.1,1.4,1.7,2.3,2.8,2.1,2.3,3.1,3.6,2.2,2.1,2.5,4.1,5.8,8.9,10.0,9.3,11.0,11.7,11.5,13.1,12.3,15.0,16.0,17.5,15.9,18.4,19.2,18.7,20.9,22.3,24.8,28.9,33.1,33.5,38.0,43.2,43.5,46.0,52.5,64.9,68.2,67.4,78.1,97.9,122.4,143.4,146.6,162.4,165.1,181.3,212.2,221.2,231.7,235.9,258.7,268.3,260.6,252.1,273.0,314.8,352.2,386.7,414.5,452.4,492.6,554.9,597.5,548.9,503.1,516.4,567.6,627.7,690.8,705.0,652.9,509.3,621.1,693.7,768.8,796.3,853.0,883.3,869.7,909.5
"15","    Structures",1.1,1.4,1.5,1.4,1.4,1.6,1.7,1.5,1.7,2.0,1.9,1.9,1.9,1.5,1.2,1.7,1.8,1.7,1.9,2.9,2.3,2.7,3.3,3.6,3.9,4.5,4.5,4.2,4.4,4.0,2.5,1.4,1.0,1.1,1.3,1.6,2.2,1.9,2.0,2.1,2.2,1.8,1.5,2.0,2.6,4.4,5.2,7.3,7.4,8.3,9.3,9.4,10.9,11.4,12.5,14.4,15.2,14.8,15.4,16.0,16.3,17.2,17.1,19.3,22.6,23.6,24.0,25.9,29.2,31.2,33.9,38.4,44.1,46.5,47.2,50.6,57.9,72.1,92.8,109.7,138.4,150.1,131.4,155.1,176.1,158.9,160.2,163.9,170.2,183.3,160.1,145.0,153.5,158.0,176.4,192.5,218.0,245.1,252.5,281.8,291.1,253.2,258.4,277.1,318.3,387.6,455.7,514.6,404.7,338.2,360.2,419.0,430.7,512.2,507.4,483.3,525.0
"16","    Intellectual property products",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.3,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.5,0.6,0.6,0.7,0.8,1.0,1.1,1.1,1.1,1.2,1.2,1.1,1.3,1.5,1.6,1.9,1.9,2.1,2.2,2.5,2.5,3.1,3.1,3.5,3.6,4.2,4.9,5.2,5.9,6.3,6.5,6.9,7.7,8.2,8.9,10.0,12.7,14.5,16.4,20.6,22.1,27.5,32.2,37.0,43.7,48.3,55.3,59.8,69.0,80.8,90.4,101.0,106.1,115.3,117.3,124.8,136.1,156.4,178.0,217.3,249.3,247.9,254.3,266.5,277.6,297.5,316.1,333.8,349.5,355.9,365.9,398.2,422.9,444.4,469.4,496.2,528.0,569.7
"","By legal form of organization:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"17","  Corporate",1.7,2.0,2.3,2.0,2.2,2.6,2.9,2.2,2.6,3.1,2.8,3.2,3.5,2.7,2.5,3.7,4.8,5.7,6.1,7.8,5.6,5.9,7.8,6.6,7.4,7.5,7.1,7.2,8.1,6.7,4.4,2.7,2.5,3.1,3.6,4.6,5.9,4.6,5.0,6.2,7.6,6.1,5.3,6.7,9.1,13.3,17.2,19.4,17.7,19.4,23.5,25.1,27.8,27.3,30.1,36.6,39.6,35.1,37.9,41.3,41.3,44.6,47.1,53.1,63.4,73.4,75.7,83.4,92.6,95.0,98.6,111.7,131.9,150.3,154.3,172.4,204.5,248.0,294.3,323.6,371.1,379.6,381.6,450.1,485.0,479.5,482.7,516.4,563.2,600.7,588.5,606.2,658.6,718.0,804.9,879.8,959.3,1036.4,1124.4,1225.9,1181.7,1064.0,1079.6,1156.2,1286.6,1423.8,1539.6,1568.5,1308.5,1382.4,1536.7,1700.6,1770.1,1923.6,1957.4,1933.6,2051.6
