"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    73","      Waste management and remediation services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2430,2700,2988,3127,3172,3563,3902,4364,4637,5178,5681,6067,6617,7690,8402,9369,10007,10761,11166,11783,12923,14682,17525,18599,20036,23506,25866,28387,28274,30876,33203,36092,38128,40194,41769
"    74","  Educational services, health care, and social assistance",7143,8072,8362,8909,9593,10611,11500,12606,13448,14912,16301,18064,20146,21688,23142,25452,28102,31929,34751,38474,42596,48260,54788,61558,68650,76038,84810,94772,109512,124819,140745,158872,179234,205547,239356,265574,299250,328586,360653,394925,439468,495870,545817,607408,659779,720783,762333,799451,847914,892984,932847
"    75","    Educational services",1430,1612,1674,1787,1929,2138,2322,2548,2727,3028,3317,3693,4170,4553,4933,5488,6128,6706,7569,8514,9389,10421,11475,12828,13882,14887,16373,17688,19506,21418,22954,25408,27903,31298,35041,38833,42427,45870,49450,53192,57152,63548,69543,75247,80028,85236,89855,94880,101196,108881,115475
"    76","    Health care and social assistance",5713,6460,6688,7122,7664,8473,9179,10058,10722,11884,12985,14370,15976,17135,18209,19964,21974,25223,27182,29960,33207,37839,43312,48730,54768,61151,68437,77084,90006,103401,117791,133464,151331,174249,204315,226742,256823,282717,311203,341733,382316,432322,476274,532161,579751,635546,672478,704571,746718,784102,817372
"    77","      Ambulatory health care services","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",11898,13952,14872,15803,16562,18090,20196,22518,24177,26348,29902,33124,38408,43211,49325,54407,61134,70129,83026,89861,103363,117079,132097,147424,170516,194994,213843,240141,262307,292221,308863,327182,350467,366548,389051
"    78","      Hospitals","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    79","      Nursing and residential care facilities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    80","      Social assistance","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1050,1153,1347,1627,1911,2144,2465,2757,3274,3970,4402,4834,5577,6582,7644,9031,10634,12399,13986,15146,16712,18648,21198,23626,26588,32095,34852,38579,39493,42098,45648,48811,52192,54884,62373
"    81","  Arts, entertainment, recreation, accommodation, and food services",17401,17392,17074,17313,19295,20494,21308,21864,22795,24015,24889,25033,26602,27867,28674,30488,32084,34466,37443,40730,43104,48037,52208,57902,60763,68413,76130,83206,93154,104357,114327,128887,146908,162158,180954,192765,209605,227769,244680,261302,287092,319459,340563,369814,379978,403453,429899,455638,481411,509992,548116
"    82","    Arts, entertainment, and recreation",3075,3045,3003,2942,2994,3104,3218,3384,3646,3909,3802,3846,4284,4771,5213,5719,6188,6634,6792,7369,7815,8476,9283,10123,10745,11562,13122,14909,16795,18787,21004,22930,25346,28612,32890,35030,38532,41063,44807,46738,49368,55789,61216,69636,72712,81466,89607,96954,108013,117543,126054
"    83","      Performing arts, spectator sports, museums, and related activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2985,3264,3410,3749,3998,4420,4893,5353,5723,6095,6787,7524,8272,9089,10011,11049,12320,13998,15897,16925,18528,19854,21229,21968,23100,25704,27039,32070,33837,36970,41727,45410,50020,55024,58994
"    84","      Amusements, gambling, and recreation industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3203,3370,3383,3621,3818,4055,4390,4770,5022,5466,6335,7385,8523,9698,10993,11880,13026,14613,16993,18104,20005,21209,23578,24770,26268,30084,34178,37565,38875,44496,47880,51544,57993,62518,67060
"    85","    Accommodation and food services",14326,14347,14071,14371,16301,17390,18089,18480,19150,20105,21087,21187,22318,23096,23461,24769,25896,27832,30651,33361,35288,39562,42925,47780,50018,56851,63007,68297,76359,85570,93323,105957,121562,133547,148064,157735,171073,186706,199873,214564,237724,263671,279346,300178,307266,321986,340292,358684,373399,392450,422063
"    86","      Accommodation",2521,2370,2303,2350,2554,2702,2860,2983,3113,3306,3570,3523,3671,3880,3991,4262,4586,5152,6045,6826,7982,8777,9466,10283,10135,12455,13579,14436,15818,18030,19539,22301,26195,28990,33572,35749,38929,45230,50556,53752,61183,67264,70836,74607,75973,82384,86391,92817,98864,106174,117943
"    87","      Food services and drinking places",11806,11976,11768,12021,13748,14688,15229,15496,16036,16799,17516,17664,18647,19216,19471,20507,21309,22680,24605,26535,27306,30785,33460,37497,39883,44396,49428,53861,60541,67540,73784,83656,95367,104556,114492,121987,132144,141476,149317,160813,176541,196406,208510,225571,231293,239602,253901,265868,274534,286276,304120
"    88","  Other services, except government",11178,11776,11877,12537,13520,14136,15012,15667,16928,18360,19661,20852,22509,23873,25246,26732,28159,30161,32402,34851,37821,39864,41711,43930,45917,47803,51412,55298,61399,68787,78112,85616,93586,99653,107738,112966,127350,143206,161621,173378,190450,211440,229634,243275,243002,266750,279832,301498,325840,345886,351304
"    89","Government",40120,41501,45151,46067,61581,74118,80045,77886,80852,83272,90712,96498,99229,102462,108504,118840,126789,134696,145093,163479,183158,204214,220913,237643,258136,280743,298752,331751,367793,393460,426282,467610,513460,575028,644957,705427,761923,814955,890231,954153,1004176,1066680,1150020,1237522,1316892,1383259,1431805,1491675,1547808,1598099,1665985
"    90","  Federal",25867,25474,27342,26722,40661,51648,56106,52075,52527,52573,57086,59254,58992,58388,60331,67133,70408,73156,77341,88277,100157,110372,115127,117563,123015,131307,133914,145756,156261,166220,178779,195067,212797,241960,277768,303803,328421,345984,376170,398698,413345,431837,455570,482074,509569,518066,516899,521234,523555,526802,537099
"    91","    General government",24096,23594,25314,24890,38892,48922,53102,48714,49051,49217,53283,55165,54401,53652,55518,62055,64567,66885,70593,81187,92496,101442,105578,107691,112397,119117,121587,130987,141348,147541,159239,172823,188381,215707,245642,270630,293701,309373,335418,356074,368691,383311,404014,427396,450765,457149,454804,456709,454883,456009,464259
"    92","      National defense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    93","      Nondefense","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    94","    Government enterprises",1771,1880,2028,1832,1769,2726,3004,3361,3476,3356,3803,4089,4591,4736,4813,5078,5841,6271,6748,7090,7661,8930,9549,9872,10618,12190,12327,14769,14913,18679,19540,22244,24416,26253,32126,33173,34720,36611,40752,42624,44654,48526,51556,54678,58804,60917,62095,64525,68672,70793,72840
"    95","  State and local",14253,16027,17810,19345,20921,22470,23939,25811,28326,30699,33627,37244,40237,44074,48172,51707,56381,61540,67752,75202,83001,93842,105786,120080,135121,149436,164837,185995,211533,227240,247504,272543,300663,333068,367189,401625,433502,468971,514062,555455,590832,634843,694451,755448,807323,865193,914906,970441,1024253,1071298,1128887
"    96","    General government",12675,14348,15967,17377,18694,19952,21221,22880,25069,27248,29983,33363,35772,38939,42574,45379,49128,53639,59190,66108,73312,83171,94167,107319,121362,134426,147907,167784,191249,205725,224363,245401,270316,298868,328968,356917,382949,411658,450504,486061,521262,560530,614592,670843,718347,771898,813785,861126,908555,948916,998740
"    97","    Government enterprises",1579,1679,1843,1968,2226,2518,2718,2931,3257,3452,3643,3881,4465,5135,5598,6328,7253,7901,8562,9094,9689,10671,11619,12761,13759,15010,16930,18211,20284,21515,23141,27142,30347,34200,38221,44707,50553,57313,63558,69394,69569,74313,79859,84605,88975,93295,101121,109314,115698,122382,130147
"    98","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    99","    Private goods-producing industries [1]",249236,264713,262532,307655,345974,349766,378903,373898,409146,425103,433282,440474,487749,493453,494612,529802,553707,587246,643718,698817,717981,776724,831896,832189,892243,1002571,1168706,1331948,1361899,1533083,1740169,1972703,2263192,2434953,2681454,2593164,2684037,2981958,3025894,2968541,3214869,3455700,3641194,3736599,3642651,3797571,3952979,4236564,4506801,4727907,4987571
"    100","    Private services-producing industries [2]",182535,196315,202694,224106,247127,262175,280400,288149,312633,333424,351636,360609,392052,410294,426836,457128,482859,521140,567633,617439,654415,709463,772873,834075,900041,991482,1089264,1214900,1326423,1508588,1706612,1925964,2149018,2452508,2706851,2873656,3183502,3513614,3861605,4111168,4491011,4912786,5276014,5648818,5844198,6206468,6618604,7068481,7561034,8103529,8701870
"    101","    Information-communications-technology-producing industries [3]","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"Legend / Footnotes:"
"1. Consists of agriculture, forestry, fishing, and hunting; mining; construction; and manufacturing."
"2. Consists of utilities; wholesale trade; retail trade; transportation and warehousing; information; finance, insurance, real estate, rental, and leasing; professional and business services; educational services, health care, and social assistance; arts, entertainment, recreation, accommodation, and food services; and other services, except government."
"3. Consists of computer and electronic product manufacturing (excluding navigational, measuring, electromedical, and control instruments manufacturing); software publishers; broadcasting and telecommunications; data processing, hosting and related services; internet publishing and broadcasting and web search portals; and computer systems design and related services."
