"Gross Output by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    18","      Machinery",10053,9930,9776,11024,14015,15335,15645,14465,16066,18263,18196,17950,20176,20757,21055,23292,25465,28819,32516,37876,39835,41349,45033,45552,46134,53883,63119,74241,77708,83609,95091,109268,125404,134382,147002,132899,121302,139507,145117,141487,150571,168406,183774,184382,178237,181324,196562,218469,241521,251340,268012
"    19","      Computer and electronic products",3801,3636,3456,4528,5231,6574,8078,7656,7837,9397,11971,13777,17340,17493,18889,21072,23682,24111,27734,33497,35436,37783,40201,39811,39066,43427,49641,55132,54355,62578,76073,88919,105382,124944,139855,155861,169302,202558,208503,207199,225051,246091,250452,259637,261637,278346,290982,326535,379299,406765,451047
"    20","      Electrical equipment, appliances, and components",5048,4793,4521,5460,6700,6926,7582,6866,7432,8584,8458,9143,10929,11388,11876,13165,14351,15412,17350,19680,20287,21527,23009,23057,23153,26021,29887,33624,31079,35498,41266,45953,51814,53851,56653,54147,57566,65501,66702,68046,72286,77860,82156,81098,77252,82954,89067,97090,102991,106607,110818
"    21","      Motor vehicles, bodies and trailers, and parts",14913,16955,21057,28173,24883,22321,29439,28204,36822,32127,34859,28490,36859,40312,34409,42667,46009,49797,59983,60378,53241,63623,66125,57542,74115,82021,93959,86994,86956,114197,137306,157771,160772,135174,152927,148027,185676,224115,231204,234903,245552,265106,276015,255644,246040,282907,318530,372227,387897,392765,428883
"    22","      Other transportation equipment",4293,4728,5134,5180,8000,11492,12276,14287,13634,15224,18015,18818,19331,18531,19698,20668,21462,21976,23725,28317,32986,35784,37086,35339,34211,34733,41098,46073,50581,52871,57086,64484,79721,91502,96337,94420,100572,105485,118517,129748,131545,138886,143705,156716,154549,154667,145517,133633,128342,136648,156066
"    23","      Furniture and related products",2553,2408,2366,3245,3502,3538,3903,3686,4251,4565,4551,5343,5817,5709,5573,6064,6050,6487,7051,7689,7856,8573,9326,9130,9815,11912,13377,13894,13046,15070,18471,21455,23001,24197,25774,25832,28716,32844,34179,36165,41479,42820,44628,44822,42323,46213,48975,52601,55142,57068,64166
"    24","      Miscellaneous manufacturing",5179,5788,5860,6787,7074,7288,7550,7358,7990,8550,8558,7126,8045,8427,8762,9103,9685,10195,11098,11892,12717,13728,14879,14876,15466,18195,19693,21676,22630,24942,28634,31457,35006,38347,42285,44391,44520,47776,48447,49782,58369,65029,68258,73626,76120,80818,86637,88985,94172,99365,99877
"    25","    Nondurable goods",104109,105048,104686,116130,130482,129360,138464,138295,145811,150718,153067,166184,180064,182818,185693,195102,198256,208157,220626,237303,248236,262769,278789,284646,298752,330330,379543,463280,490811,549330,615380,670057,769106,870009,950945,943537,971421,1030046,1029538,994544,1112941,1204983,1292231,1349889,1352026,1389623,1416199,1475430,1578612,1614228,1686049
"    26","      Food and beverage and tobacco products",45594,45082,44531,46134,50719,51388,56555,58287,57392,58227,58800,65976,69007,71328,73842,76558,76136,79173,81715,87267,91540,94665,100694,106024,110946,122584,142636,168492,178098,186064,196482,219802,239939,261661,279505,290009,298011,313500,317065,324088,348039,375162,404816,420206,431435,445132,452779,463079,482943,497744,519740
"    27","      Textile mills and textile product mills",13269,13219,13166,15778,16619,15030,15258,13698,14755,14218,13489,14277,16121,15784,15886,17207,17841,19193,20474,21915,22255,24272,25059,24467,26119,30252,34047,36243,34507,40850,46207,47357,49951,51291,54069,50416,56657,58995,56401,58533,67654,70760,73448,71688,71811,76762,80395,85185,86638,86485,89760
"    28","      Apparel and leather and allied products",14622,14314,14008,14563,15396,15378,16074,16179,17201,17910,17890,18732,20314,20313,20042,21080,21858,22864,24150,25407,26667,28521,30174,29499,30904,32253,34265,34947,35729,39125,43720,46468,47419,51294,55318,57737,59905,61044,59823,59675,66576,68843,67621,68523,69881,74647,76214,78050,77745,76837,81007
"    29","      Paper products",7102,6941,6778,8126,10401,9655,10820,11007,12473,13520,13094,12433,14818,14480,14503,15490,16445,17207,18618,20378,21183,22431,24679,25143,25618,28386,32578,40331,41483,47390,52095,57032,63926,70343,76778,78540,82822,91578,91393,95873,104092,117534,126136,126418,124346,126129,126100,135833,165930,152625,148968
"    30","      Printing and related support activities",2718,3275,3409,3582,3741,4083,4849,5223,5736,6184,6511,9588,9945,10186,10010,10221,7548,7932,8658,9433,10031,10812,11798,12254,12608,14276,15794,17582,18576,21034,24354,27475,30753,34069,37963,42556,45703,51541,54818,57839,66457,70864,74518,78509,76876,81469,83206,85451,92304,95430,98025
"    31","      Petroleum and coal products",8131,7864,8471,10538,12934,13534,13422,13872,15398,17220,18339,16910,17362,17644,17356,17446,18003,18465,19289,20635,22283,23072,23876,23952,25416,26545,32709,55688,66495,79907,95901,102293,145585,194417,219420,205114,187010,181959,170689,119474,129925,129847,144066,170412,157433,148193,143042,141711,149345,170821,175287
"    32","      Chemical products",9989,11798,11899,14175,16616,16437,17374,16302,18262,18904,19353,21354,24505,25178,26189,28534,31334,33648,36884,40277,41561,44650,46758,47527,49681,55200,63076,81635,87909,102120,116069,125345,143251,157835,173071,162576,179290,199719,205233,202400,241554,274268,297734,306254,312573,322610,331426,351247,378433,384895,414950
"    33","      Plastics and rubber products",2683,2555,2424,3234,4056,3854,4112,3726,4593,4537,5592,6914,7991,7905,7866,8567,9090,9675,10838,11991,12716,14346,15752,15781,17460,20834,24439,28362,28015,32840,40551,44286,48282,49099,54822,56589,62024,71710,74115,76662,88644,97704,103892,107879,107671,114681,123037,134872,145275,149391,158312
"    34","  Wholesale trade",19601,19223,20348,24753,27070,27234,27751,29855,33358,35895,36227,35946,40521,41159,42422,44954,47628,52428,60730,67326,69670,73693,78502,83723,90518,100260,110585,128685,136074,164270,189881,207385,236072,288219,308177,288014,288824,334215,363819,378853,412007,455019,479067,509427,515341,536841,579266,635456,692097,714922,748455
"    35","  Retail trade",37140,40922,41138,45390,48504,50491,52737,52909,57205,59251,62686,63022,68397,70358,70781,76830,81182,85326,91638,97037,99243,106042,112004,118276,126626,138176,148841,168207,166679,203631,228664,245665,261973,326101,340363,338408,361569,388816,439963,458117,514432,536296,566752,589293,596964,630167,677234,736632,779119,814565,852152
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",23708,25300,25527,28638,31997,33229,34814,30416,33365,35381,36161,34189,37556,38205,38738,41897,43591,46767,50500,54896,57875,62457,70180,74855,80370,87541,96666,109155,113750,126504,145830,169407,184052,208459,216375,218325,231569,255222,257947,265147,285730,315224,331776,353193,357856,376121,395708,422503,444430,468675,500634
"    41","    Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4204,4771,5595,6474,7830,8948,10177,10814,11782,13142,15025,17804,18149,20750,23633,26707,25268,37355,33230,40063,43897,50323,53776,58003,67434,75391,77768,80586,81169,82923,88694,92779,98887,103931,114308
"    42","    Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",11383,11787,12385,12974,12670,13142,13758,14303,15123,15945,17657,20150,19930,20865,23966,25752,29097,32826,36533,32914,31976,35231,33003,31229,31926,33685,34179,34767,34260,35130,35438,37351,38744,38916,38993
"    43","    Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2745,3009,3114,3687,3945,4490,4347,4700,4510,4922,5764,7199,7860,9761,11197,12398,14687,15902,17718,15608,15926,16342,16253,16263,15724,17362,17549,18494,19038,19096,19958,20400,22093,23854,24569
"    44","    Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",11610,12654,13778,14921,15592,16649,20235,21660,23568,25985,28064,30079,31558,34710,39673,46590,51016,51031,54133,52555,59212,66412,68640,71208,80450,90671,98529,108879,109202,118128,124823,138370,144519,153265,164239
"    45","    Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3752,3877,4018,4252,4562,4980,5496,6077,6665,7062,7232,7859,8437,9177,9862,10156,10911,11465,12257,12987,13463,14479,15211,15467,15534,16387,17264,18557,19389,19816,20263,20729,21859,22982,24181
"    46","    Pipeline transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1420,1562,1716,1884,2091,2261,2553,2875,3153,3518,3883,4352,5230,6101,8128,14156,16572,18079,18849,19992,20726,21497,20302,19821,18826,18975,19294,19338,19086,20178,21404,21985,21446,23557,24253
"    47","    Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",6722,7195,7801,8421,8823,9504,10806,11464,12394,13542,15243,17459,18169,20297,23713,27125,29146,33957,35027,35934,37292,40556,40154,41489,43713,49201,52813,57139,60047,63688,66616,70589,74415,78504,83755
"    48","    Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1755,1911,2094,2284,2362,2484,2808,2961,3176,3426,3798,4253,4417,4843,5657,6524,7356,7845,8628,8273,9077,10384,10607,11668,12123,13551,14379,15432,15665,17162,18510,20301,22467,23666,26337
"    49","  Information",11433,12535,13523,14532,15850,17306,18886,19545,21182,22544,24297,25730,27562,28920,30121,32240,34880,37082,40514,45179,48461,52736,58128,62363,66774,74397,83258,91497,102468,115314,127768,145145,162975,178044,204929,233481,260813,284612,305623,333070,350665,374875,397590,422640,440784,464712,501175,539555,591866,653602,727636
"    50","    Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",9921,10430,11162,13176,13577,14514,15932,17073,17509,18960,20943,22959,24859,27222,30355,35383,40647,44665,48800,53542,61049,67384,70100,78619,89003,97338,103706,109738,113829,118571,129221,138459,151425,168445,190896
"    51","    Motion picture and sound recording industries","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4303,4375,4956,5378,5800,6632,6987,7084,7676,8637,9255,10119,11282,13450,14971,16246,18471,18876,22557,25038,27673,30941,32988,36594,38361,41595,46613,49898,53656,55735,61836,67152,74408,82754,86253
