"Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: April 19, 2019"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018"
"    38","    General merchandise stores",79780,86159,89058,94647,99613,102584,110071,114527,121130,123903,124580,128326,133092,132157,134111,133371,135326,138636,142674,144113,146813,151906
"    39","    Other retail",290744,318824,328575,350808,368117,371839,394596,410984,439052,459661,457774,447875,438607,447027,458992,482270,506011,515701,539766,557925,580073,605596
"    40","  Transportation and warehousing",257255,279997,290034,307829,308058,305677,321444,352062,375824,410382,413904,426803,404626,433036,451444,471965,491099,521928,563375,577445,608735,648036
"    41","    Air transportation",54657,55170,57662,58103,49207,52049,54620,60834,61711,68041,73200,68704,71697,84177,84645,87826,94081,102908,116881,128711,135733,142381
"    42","    Rail transportation",19966,22202,22581,23294,23335,21723,23446,25241,28015,32115,32372,37234,32914,33708,36451,39593,40802,43721,43734,39568,40479,42521
"    43","    Water transportation",6564,6479,6626,8048,8256,7038,8225,8639,8831,12715,14218,16426,15621,14634,14067,13117,16421,16152,15639,13585,14026,14957
"    44","    Truck transportation",77138,85592,92336,98046,97233,97118,101405,109115,116907,125498,123651,120443,109518,113388,121708,128021,130828,140882,148594,146446,152754,163284
"    45","    Transit and ground passenger transportation",15123,16162,17676,18455,19039,19463,21413,23042,23561,25878,26272,28119,29419,31356,34094,36313,37887,40417,41544,41675,44345,46575
"    46","    Pipeline transportation",6953,9803,10438,9363,16074,10037,10330,10650,9864,10732,13012,16294,14638,20206,21525,25225,26918,30226,36315,38698,40717,43835
"    47","    Other transportation and support activities",55862,59813,58113,65856,69126,71695,73270,80941,88845,94605,89912,94356,85655,90433,93858,94741,96919,99875,107111,110537,117085,124451
"    48","    Warehousing and storage",20992,24776,24602,26664,25789,26553,28735,33599,38091,40798,41266,45229,45164,45133,45096,47129,47243,47748,53558,58224,63596,70031
"    49","  Information",394074,434630,485007,471299,502386,550582,564861,620363,642338,651995,706937,742961,721922,753280,759819,758952,828928,840642,915031,998051,1050767,1125876
"    50","    Publishing industries, except internet (includes software)",97171,108230,139070,115898,116132,136931,145596,160590,172650,162232,191673,189046,178456,186786,194582,201355,210190,215364,224545,246873,266860,287386
"    51","    Motion picture and sound recording industries",40289,48946,60291,54163,65307,71670,68541,74482,63072,67528,76466,79736,82290,91100,84814,82436,82793,82133,87459,91126,91408,96351
"    52","    Broadcasting and telecommunications",226340,241838,256212,276987,281430,280806,287605,311133,334669,340298,373634,391412,374834,374615,366183,370375,404766,394590,414729,427494,428939,440585
"    53","    Data processing, internet publishing, and other information services",30275,35617,29434,24251,39517,61176,63119,74158,71948,81937,65164,82767,86342,100779,114239,104786,131180,148555,188298,232558,263559,301553
"    54","  Finance, insurance, real estate, rental, and leasing",1612356,1710106,1837116,1974729,2128101,2216960,2295918,2389114,2606173,2743924,2848272,2762742,2867666,2942970,3045324,3260964,3322790,3552940,3754622,3929845,4057129,4239300
"    55","    Finance and insurance",577187,637935,675073,743055,803103,816432,846319,872387,973705,1034192,1030549,873248,966604,1003613,1026042,1162805,1144934,1281973,1362723,1432689,1465909,1514181
"    56","      Federal Reserve banks, credit intermediation, and related activities",233146,266961,303782,320329,343229,385582,401385,374341,408103,418895,404212,409436,398887,417829,454988,511382,498646,548095,574646,591452,617032,642508
"    57","      Securities, commodity contracts, and investments",121296,121113,120042,132965,182632,162625,144082,154873,193768,221577,198205,92231,185921,196443,173692,233027,249456,228088,228303,267692,291401,288822
