"Table 1.2. Chain-Type Quantity Indexes for Net Stock of Fixed Assets and Consumer Durable Goods"
"[Index numbers, 2012=100]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 20, 2018"
"Line","","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"10","      Nonresidential",5.728,5.952,6.221,6.511,6.792,7.173,7.571,7.890,8.112,8.378,8.676,9.160,9.556,10.017,10.536,11.008,12.480,16.521,21.046,24.804,26.237,24.224,22.499,21.289,20.911,20.605,21.434,22.600,23.861,24.963,25.908,26.877,27.918,29.058,30.352,31.598,33.051,34.567,36.113,37.690,39.249,41.010,42.836,44.497,45.909,47.035,47.871,48.687,49.504,50.330,51.132,51.963,52.712,53.596,54.584,55.593,56.507,57.334,58.260,59.408,60.856,62.461,64.129,65.589,66.991,68.509,69.878,71.148,72.195,73.095,74.096,75.273,76.331,77.532,78.888,80.305,81.849,83.681,85.575,87.447,89.033,90.828,92.635,94.420,96.148,97.745,99.052,100.000,100.753,101.412,102.170,102.971,103.701
"11","        Equipment",2.471,2.429,2.435,2.439,2.457,2.449,2.468,2.443,2.416,2.446,2.565,2.644,2.745,2.886,3.052,3.183,6.065,19.217,45.011,70.116,79.216,64.583,50.872,39.683,33.918,28.213,30.310,34.193,38.361,40.453,41.286,41.842,42.479,43.185,44.979,46.301,48.263,50.442,51.578,52.417,52.497,53.170,54.365,54.379,53.876,53.198,50.951,49.150,47.749,47.150,46.766,46.729,46.669,46.541,46.865,47.429,48.216,49.332,51.113,53.205,56.030,59.563,63.251,65.895,68.678,71.612,73.714,75.403,76.066,75.992,75.955,75.978,75.528,75.416,75.811,76.088,76.407,77.576,78.720,80.300,82.308,84.842,87.802,91.379,94.480,97.114,98.792,100.000,100.163,100.047,100.027,100.353,101.175
"12","        Structures",8.001,8.346,8.748,9.183,9.599,10.163,10.746,11.218,11.549,11.937,12.348,13.051,13.616,14.268,14.999,15.667,17.030,19.775,20.867,21.217,21.387,21.157,21.147,21.345,21.773,22.318,23.010,23.845,24.730,25.743,26.753,27.763,28.811,29.993,31.178,32.359,33.659,34.957,36.379,37.862,39.445,41.120,42.800,44.510,46.029,47.329,48.575,49.710,50.814,51.856,52.848,53.802,54.639,55.644,56.674,57.684,58.515,59.183,59.815,60.615,61.570,62.644,63.765,64.887,65.982,67.240,68.547,69.841,71.076,72.262,73.597,75.131,76.554,78.062,79.672,81.337,83.086,85.000,86.930,88.739,90.129,91.739,93.338,94.886,96.435,97.883,99.113,100.000,100.781,101.532,102.376,103.241,103.934
"13","        Intellectual property products",0.102,0.114,0.125,0.135,0.144,0.195,0.250,0.319,0.375,0.408,0.441,0.476,0.507,0.542,0.582,0.631,0.856,1.165,1.695,2.410,3.000,3.403,3.668,4.000,4.337,4.690,5.022,5.421,5.885,6.449,7.145,8.254,9.578,10.849,12.104,13.482,15.045,16.830,19.192,21.750,24.430,27.493,30.523,33.408,35.996,37.835,39.288,40.776,42.055,42.917,43.679,44.636,45.713,46.990,48.449,49.934,51.507,53.013,54.743,56.798,59.472,62.055,64.850,67.078,68.842,70.400,71.327,71.970,72.250,72.405,72.411,72.520,72.752,73.262,73.879,74.728,76.023,77.870,80.181,82.744,85.434,88.069,90.627,92.926,95.033,97.029,98.710,100.000,101.024,101.492,102.111,102.724,103.729
"14","      Residential",0.000,0.000,0.000,0.000,0.025,0.045,0.065,0.085,0.103,0.124,0.202,0.664,1.300,1.532,1.868,2.829,5.246,8.054,12.008,12.982,13.427,14.880,15.255,15.510,16.378,17.147,18.344,19.700,20.921,21.472,21.902,22.466,23.515,25.387,27.520,29.080,30.966,33.059,34.155,35.327,36.576,37.909,39.404,40.853,42.707,44.593,46.424,47.988,49.469,50.880,52.575,53.901,55.141,56.179,57.165,58.427,59.922,61.314,62.989,64.405,66.159,68.039,70.002,71.741,73.260,74.949,76.377,77.942,79.297,80.416,81.794,83.153,84.598,85.915,87.117,88.161,89.327,90.572,91.719,92.871,93.833,94.658,95.466,96.554,97.625,98.843,99.688,100.000,100.049,100.021,100.191,100.587,100.909
"15","    Consumer durable goods",2.447,2.570,2.674,2.771,2.916,2.956,2.914,2.811,2.675,2.608,2.595,2.663,2.743,2.759,2.848,2.995,3.070,3.072,2.985,2.943,2.902,3.177,3.562,3.924,4.326,4.881,5.199,5.458,5.838,6.102,6.572,6.838,7.139,7.197,7.484,7.702,7.828,8.119,8.505,8.994,9.662,10.414,11.076,11.912,12.670,13.212,13.946,14.900,16.050,16.769,17.406,18.365,19.502,20.679,21.645,22.054,22.465,22.845,23.907,25.528,27.392,29.529,31.467,33.424,35.205,36.619,37.321,38.311,39.594,41.190,42.793,44.669,46.862,49.785,53.576,58.016,62.239,66.715,71.335,76.317,81.303,86.107,90.824,93.372,94.105,95.436,97.325,100.000,103.144,107.083,111.720,116.608,122.129
"","Addenda:","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"16","  Private and government fixed assets",10.579,11.002,11.397,11.775,12.128,12.369,12.475,12.448,12.369,12.353,12.397,12.577,12.782,12.936,13.155,13.423,13.905,14.623,15.244,15.788,16.090,16.109,16.214,16.473,16.811,17.309,17.972,18.678,19.447,20.170,20.966,21.759,22.531,23.221,24.069,24.900,25.758,26.718,27.750,28.889,30.139,31.468,32.721,34.007,35.291,36.397,37.515,38.791,40.183,41.346,42.222,43.249,44.504,45.998,47.571,48.863,50.125,51.087,52.199,53.734,55.395,57.036,58.624,60.167,61.666,63.080,64.179,65.290,66.590,67.984,69.544,71.358,73.301,75.497,77.873,80.349,82.473,84.349,86.329,88.453,90.559,92.884,94.951,96.520,97.220,97.987,98.912,100.000,101.246,102.631,104.057,105.450,106.722
"17","      Nonresidential",8.687,8.987,9.269,9.560,9.889,10.157,10.266,10.221,10.134,10.127,10.192,10.407,10.651,10.811,11.019,11.275,11.924,13.263,14.735,16.005,16.614,16.274,16.120,16.134,16.305,16.554,17.165,17.856,18.634,19.310,20.015,20.779,21.551,22.196,22.943,23.728,24.558,25.484,26.453,27.544,28.833,30.320,31.726,33.096,34.449,35.593,36.566,37.630,38.887,40.054,40.922,41.854,42.926,44.295,45.857,47.289,48.768,49.970,51.073,52.659,54.430,56.015,57.517,58.995,60.502,62.002,63.168,64.256,65.475,66.765,68.332,70.166,72.182,74.460,76.941,79.598,81.734,83.371,84.990,86.687,88.421,90.539,92.825,94.899,95.927,97.081,98.456,100.000,101.556,103.293,104.941,106.430,107.925
"18","        Equipment",4.129,4.270,4.348,4.437,4.574,4.587,4.452,4.210,3.995,3.876,3.858,3.953,4.118,4.120,4.174,4.334,4.924,6.500,9.407,12.268,13.553,12.373,11.589,11.049,10.837,10.703,11.377,12.160,13.031,13.542,14.062,14.554,15.057,15.272,15.712,16.167,16.619,17.245,17.830,18.557,19.487,20.727,21.828,22.843,23.901,24.725,25.261,26.074,27.371,28.652,29.372,30.220,31.447,33.060,34.865,36.199,37.511,38.267,39.135,40.699,42.315,43.788,45.053,46.366,47.761,48.890,49.568,50.359,51.613,53.265,55.314,57.625,60.209,63.314,66.887,70.642,73.122,74.834,76.652,79.039,82.066,85.881,89.653,92.399,92.243,93.881,96.531,100.000,103.436,107.215,110.821,113.697,116.909
"19","        Structures",14.155,14.639,15.144,15.651,16.187,16.708,17.044,17.177,17.193,17.276,17.401,17.730,18.051,18.351,18.703,19.051,19.760,21.002,21.408,21.503,21.590,21.737,21.945,22.302,22.741,23.270,23.909,24.598,25.356,26.177,27.032,27.967,28.901,29.817,30.751,31.737,32.779,33.856,34.980,36.224,37.664,39.193,40.679,42.174,43.641,44.985,46.264,47.510,48.817,50.023,51.049,52.047,53.031,54.279,55.711,57.219,58.784,60.194,61.311,62.772,64.479,65.945,67.401,68.809,70.182,71.706,72.943,73.993,75.057,76.050,77.289,78.743,80.257,81.891,83.542,85.375,87.119,88.524,89.843,91.048,92.036,93.355,94.936,96.586,97.736,98.515,99.249,100.000,100.772,101.750,102.664,103.461,104.175
"20","        Intellectual property products",0.515,0.543,0.577,0.623,0.686,0.754,0.809,0.859,0.908,0.969,1.041,1.127,1.213,1.307,1.396,1.486,1.688,1.879,2.084,2.344,2.594,2.839,3.025,3.203,3.362,3.546,3.704,3.957,4.293,4.647,5.051,5.636,6.254,6.842,7.447,8.086,8.820,9.602,10.586,11.604,12.734,14.054,15.368,16.654,17.838,18.696,19.360,20.087,20.771,21.311,21.764,22.434,23.197,24.077,25.179,26.264,27.535,28.805,30.216,31.988,34.006,35.997,37.950,39.797,41.772,43.754,45.566,47.270,48.748,50.091,51.550,53.481,55.939,58.748,62.060,65.634,68.580,70.974,73.466,76.080,79.111,82.365,85.919,89.276,91.823,94.289,97.156,100.000,102.998,105.848,108.692,112.192,115.768
"21","      Residential",12.792,13.370,13.897,14.362,14.648,14.728,14.758,14.670,14.561,14.489,14.480,14.536,14.617,14.689,14.887,15.146,15.459,15.547,15.566,15.518,15.455,15.892,16.490,17.221,17.881,18.855,19.623,20.360,21.116,21.932,22.909,23.761,24.531,25.313,26.374,27.298,28.215,29.243,30.405,31.642,32.803,33.791,34.719,35.825,36.963,37.984,39.414,41.134,42.807,43.956,44.843,46.076,47.714,49.461,51.057,52.076,52.902,53.373,54.504,55.937,57.377,59.127,60.887,62.560,64.045,65.293,66.258,67.416,68.877,70.474,72.024,73.804,75.610,77.658,79.844,81.998,84.107,86.411,89.019,91.872,94.606,97.291,98.987,99.636,99.715,99.752,99.802,100.000,100.654,101.388,102.412,103.635,104.525
"22","  Government fixed assets",5.543,5.759,6.020,6.301,6.581,6.950,7.337,7.646,7.862,8.121,8.412,8.895,9.299,9.754,10.266,10.754,12.258,16.261,20.770,24.441,25.842,23.944,22.289,21.127,20.788,20.518,21.361,22.535,23.796,24.879,25.807,26.765,27.806,28.969,30.289,31.545,33.012,34.547,36.080,37.647,39.198,40.948,42.766,44.422,45.847,46.994,47.857,48.694,49.530,50.371,51.195,52.039,52.802,53.691,54.679,55.696,56.627,57.471,58.420,59.576,61.033,62.647,64.325,65.793,67.199,68.723,70.094,71.374,72.431,73.337,74.351,75.534,76.604,77.810,79.160,80.565,82.097,83.908,85.775,87.621,89.184,90.945,92.718,94.481,96.189,97.775,99.070,100.000,100.733,101.372,102.112,102.902,103.619
"23","    Federal",4.475,4.404,4.342,4.297,4.274,4.313,4.406,4.555,4.827,5.130,5.598,6.079,6.524,6.939,7.316,7.932,11.883,24.028,38.703,51.013,55.812,49.683,43.835,39.162,36.901,34.681,36.221,38.888,41.687,43.462,44.530,45.669,46.933,48.357,50.252,51.956,54.130,56.450,58.490,60.409,62.028,64.063,66.087,67.410,68.287,68.671,68.313,68.137,68.032,67.988,68.002,68.255,68.593,68.995,69.554,70.259,71.217,72.260,73.654,75.260,77.422,79.850,82.485,84.226,85.621,86.997,87.871,88.522,88.677,88.387,88.185,88.351,87.860,87.522,87.321,87.051,87.005,87.636,88.502,89.601,90.732,91.957,93.312,94.811,96.401,98.113,99.320,100.000,100.032,99.764,99.524,99.347,99.524
"24","    State and local",6.666,7.040,7.480,7.946,8.404,8.980,9.556,9.979,10.176,10.434,10.660,11.188,11.607,12.122,12.753,13.210,13.464,13.493,13.374,13.231,13.115,13.127,13.282,13.543,13.987,14.522,15.073,15.628,16.247,17.039,17.911,18.793,19.742,20.801,21.883,22.960,24.135,25.343,26.675,28.108,29.647,31.288,33.028,34.836,36.496,37.958,39.318,40.573,41.803,42.996,44.134,45.224,46.171,47.277,48.457,49.607,50.525,51.286,52.048,53.013,54.167,55.434,56.710,58.065,59.476,61.066,62.654,64.214,65.671,67.109,68.659,70.286,72.026,73.889,75.899,78.006,80.189,82.483,84.759,86.904,88.634,90.593,92.515,94.370,96.119,97.662,98.986,100.000,100.967,101.906,102.971,104.078,104.972
