"Intermediate Inputs by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: March 03, 2017"
"Line","","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997"
"    18","      Machinery",5005,4188,4433,4967,5567,6029,6115,5655,6875,7513,7210,8324,8806,9302,9532,10213,11881,13312,15151,17613,18788,19219,21162,20797,21988,26156,31470,39960,40314,41209,46026,53097,63071,67455,72470,65479,58625,70135,75427,76392,80894,87846,95639,95094,95018,96216,109760,127052,143883,151212,165460
"    19","      Computer and electronic products",1056,672,629,1056,867,1588,2602,2639,2498,3373,5236,7119,9434,9265,10334,11551,13818,13702,15782,19553,20587,21893,23063,22858,21603,24032,27575,32652,30611,35507,44449,52305,63427,74565,81768,94030,98147,117286,118670,118132,126382,138047,138445,144665,144656,156837,166994,188237,223921,241286,254727
"    20","      Electrical equipment, appliances, and components",3017,2628,2471,2859,3526,3361,3551,3165,3388,4014,3587,4457,5382,5617,6017,6729,7712,8461,9377,10455,10552,11230,12074,12428,12145,13837,16027,19709,16645,19076,22050,24456,28181,28839,29057,29082,29683,33781,33596,33941,36180,40051,40507,39138,36373,41131,45463,50300,56881,60007,63722
"    21","      Motor vehicles, bodies and trailers, and parts",10324,11691,14886,20081,16831,13740,19122,19051,24085,21670,23590,19813,25120,27746,22831,28124,29552,32607,39650,39959,34120,40201,42280,37965,48882,55436,64600,63068,61317,79351,94394,111214,115810,101180,109885,107247,133030,156638,160583,162273,174067,188602,200432,191250,181709,206283,228720,268037,283163,284453,316245
"    22","      Other transportation equipment",2577,2568,2933,2803,4113,5594,5133,7359,6760,7577,9153,10078,10557,10187,10762,10621,10564,10722,11806,13729,16979,18700,20642,20027,19772,19643,25041,28428,31843,33168,35505,40038,51247,60090,65227,49657,51882,49205,62323,67788,64137,72164,75982,86070,76921,87600,81231,80589,76688,76067,93364
"    23","      Furniture and related products",1354,985,975,1584,1651,1636,1979,1832,2107,2312,2297,3208,3389,3278,3168,3425,3271,3437,3608,3911,4050,4380,4729,4749,5162,6388,7408,7825,7151,8118,10603,12310,13635,13786,14729,14859,15921,17880,18342,19371,23624,24149,24968,25840,24045,26147,27230,30043,31840,31501,36142
"    24","      Miscellaneous manufacturing",3552,4015,4189,4843,4882,4994,5060,4922,5354,5768,5685,4254,4865,5210,5510,5530,6077,6353,6853,7154,7742,8223,8909,9055,9254,11211,12033,13746,13689,15092,17418,19077,21525,23944,24773,26283,25787,26607,25464,26487,33858,33431,35195,36542,37732,40089,45306,47238,51131,49901,47370
"    25","    Nondurable goods",73259,70851,71771,80275,89085,87284,94236,94748,97966,100617,102315,114688,124466,126267,127739,133726,134082,139854,146974,156543,165324,172310,184119,186413,194977,218680,260120,334997,349259,389820,438602,480018,552219,642922,698265,685491,687169,735112,720712,670253,765773,824172,883152,917147,905463,921850,934992,971052,1043523,1076934,1123302
"    26","      Food and beverage and tobacco products",34512,32994,32252,33440,37217,36586,41047,42833,40879,41556,41652,47877,49865,51757,53688,55645,54344,56299,58002,61773,65384,67224,72302,75351,78567,90278,110594,132997,133873,139990,147219,168417,185736,200411,212848,217657,218734,233582,233190,235756,256954,280145,303956,308496,312707,321329,329651,338905,345334,365810,383631
"    27","      Textile mills and textile product mills",8845,8239,9055,11316,11515,10427,10749,9736,10355,9763,9187,10099,11383,11011,11150,12090,12591,13398,13974,14802,15132,16364,16686,15880,17327,20521,23693,25470,24117,28836,32751,32910,34697,36136,37893,35011,38919,40650,38159,38612,46500,48696,50467,48217,47918,50039,53342,57929,60219,59620,62317
"    28","      Apparel and leather and allied products",10478,9733,9735,10186,10386,10332,10898,11239,11994,12442,12438,13362,14451,14337,14022,14548,15113,15758,16411,16858,17827,18875,20178,19387,20577,21020,22390,22902,23202,24782,27681,28894,28720,31855,34168,36866,37532,38843,37863,37025,43747,45114,42778,43322,43821,47021,48566,50004,50858,50814,55771
"    29","      Paper products",4512,4254,4246,4976,6416,5952,6861,6936,7905,8424,8132,7476,9276,8859,8637,9250,9991,10294,11231,12100,12768,13298,14754,15147,15367,16857,19482,25916,27106,30197,33483,36710,40952,46337,50542,50892,53611,58722,57235,59558,64716,71958,77870,78995,77475,78368,77275,83831,103468,94355,93377
"    30","      Printing and related support activities",1341,1763,1813,1907,1936,2165,2761,3069,3390,3709,3892,6936,7078,7177,6931,6931,4136,4197,4642,4996,5430,5823,6345,6674,6675,7870,8816,10337,10567,12171,13890,15606,16996,20125,22414,25652,26859,30251,31448,32842,40039,42288,44077,46736,45174,47572,49317,50123,56347,57669,60554
"    31","      Petroleum and coal products",6389,5720,6628,8473,10311,11018,10642,11097,12486,13902,15434,14016,15318,15429,15398,15606,15893,16233,16473,17403,18799,19419,20592,20217,21298,21533,26906,49736,60258,71709,86710,92445,124873,175000,198680,187078,167406,164890,150426,98721,108465,100149,112493,135235,123500,114806,104802,105713,116345,135798,127312
"    32","      Chemical products",6265,7348,7273,8662,9890,9689,10037,8683,9415,9664,9515,11478,13050,13747,14192,15768,17727,19180,21104,23089,24027,24833,26118,26222,26919,30371,35784,51382,54244,62940,72925,78765,91849,103672,109543,98616,108048,124953,128457,122675,149658,173079,186719,187093,188263,191592,196321,200714,217712,218992,240035
"    33","      Plastics and rubber products",917,801,769,1317,1414,1116,1240,1155,1543,1157,2065,3444,4045,3949,3722,3888,4286,4495,5136,5523,5957,6475,7143,7536,8248,10229,12456,16256,15891,19195,23943,26269,28396,29386,32176,33720,36061,43221,43934,45063,55695,62743,64793,69052,66606,71124,75719,83833,93240,93876,100304
"    34","  Wholesale trade",4009,2072,3684,6060,5745,5749,5676,7571,8259,8850,7693,6755,7097,6314,6554,6623,7739,9393,14234,16341,15731,14486,14606,15949,16965,18481,18651,24219,21835,41743,55165,54348,60719,100927,100996,80149,64955,82779,92364,98125,125448,139645,142229,161237,152474,156079,175600,190889,230225,221149,218292
"    35","  Retail trade",13949,16412,16218,19361,20059,20599,21923,21484,23790,24655,26137,25774,27782,28843,28173,31090,33503,32891,35469,36483,34332,34345,34285,35165,35660,39602,40264,54025,38630,58679,68985,67042,67650,126586,121104,110245,104748,100470,128651,125483,167902,168562,175055,188888,189334,203603,213324,233973,250954,256564,263776
"    36","    Motor vehicle and parts dealers","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    37","    Food and beverage stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    38","    General merchandise stores","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    39","    Other retail","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","..."
"    40","  Transportation and warehousing",9539,9754,10454,11879,12999,13469,14221,11219,12383,13376,13305,12430,14650,14974,15290,16920,17690,19310,20766,22498,24755,26591,32040,34615,36051,38710,42829,50038,53676,56970,68668,81664,86375,105638,105998,111852,113433,123776,120295,117621,132405,152124,162917,178026,173721,181163,186519,195294,209881,222829,244581
"    41","    Air transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2452,2766,3227,3700,4588,5387,6125,6416,6829,7550,8853,11057,11075,12343,14043,15907,13663,24416,19844,26562,27421,31469,34452,37064,43070,44782,46761,48615,48189,47051,48326,47859,51956,55892,61166
"    42","    Rail transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",3386,3568,3745,3806,4004,4258,4435,4664,4678,5226,5951,7290,7704,6352,8567,8776,10250,12504,14818,14610,12269,13898,11950,8809,11015,12564,15519,16185,14034,14998,15086,16009,17524,17929,18957
"    43","    Water transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1798,1996,2086,2497,2699,3105,3033,3310,3203,3522,4222,5383,5977,7541,8764,9636,11434,12399,13793,12152,12242,12405,12191,12177,11488,12803,12824,13340,13272,13288,13934,14013,15712,17155,17955
"    44","    Truck transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",5293,5887,6271,6749,7249,7308,10147,10991,11387,11975,12243,12932,14277,14937,17720,21414,23027,22520,24103,23077,26647,29695,29080,27795,35644,45218,49359,58145,56908,62128,64311,70541,74184,78453,86828
"    45","    Transit and ground passenger transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",1659,1695,1711,1792,1840,2083,2550,3006,3420,3641,3942,4372,4668,5091,5400,5444,5852,5622,6364,6988,7175,7446,7856,7736,8063,8402,8932,9559,9803,9876,9662,9501,9984,10100,9122
"    46","    Pipeline transportation","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",656,761,897,1028,1195,1294,1487,1673,1804,2021,2262,2688,3154,3691,5268,10445,11904,13004,12735,12885,13032,13928,13004,13786,12531,13256,13303,13316,13005,13760,14692,15143,14730,16414,17328
"    47","    Other transportation and support activities","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",2194,2337,2511,2588,2832,2910,3838,4037,4252,4342,4897,5623,6196,6515,8140,9285,9269,13696,12680,14313,13343,13423,10701,9083,9545,13469,14430,16616,16454,17755,17983,19361,22192,23087,27886
"    48","    Warehousing and storage","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",252,299,318,339,348,247,425,518,479,433,459,692,624,501,767,756,975,1479,1661,1265,1304,1513,1061,1170,1049,1631,1789,2251,2057,2307,2526,2868,3599,3800,5340
"    49","  Information",3711,4118,4436,4822,5325,5932,6345,6700,7177,7738,8395,9108,9280,9798,9567,10467,11443,11869,13051,14904,16094,17483,19717,21133,22165,24458,28744,32596,37080,40598,43711,48832,55342,59136,67575,83360,91007,104026,106404,121804,127425,141026,142869,152604,159010,164653,178126,196344,231353,261490,331919
"    50","    Publishing industries, except internet (includes software)","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...","...",4657,4647,4952,6284,6377,6735,7419,8305,8188,8905,9919,11409,12112,13078,13559,16303,18716,22021,23527,26081,29891,32894,31254,36673,43497,48979,50560,54852,56575,57428,64909,68684,80730,86683,93262
