"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    38","    Compensation of employees",42111,43093,47188,50214,53904,54652,52935,55635,56130,60885,63083,66284,66832,67652,71183,69760,72778,75185,77635,80829,81555
"    39","    Taxes on production and imports less subsidies",31759,32347,33560,35125,27891,36438,38752,41156,43929,48123,51593,53478,55139,56855,58041,58915,59323,60247,60662,62599,63827
"    40","    Gross operating surplus",97609,88245,99117,94784,99538,86528,92342,102425,98084,117840,117231,121924,136270,154330,158235,150976,154239,162722,160740,159287,162115
"    41","  Construction",339552,379790,417600,461341,486485,493560,525240,584643,651816,697083,715327,648879,565647,525126,524431,553419,587553,636442,694934,745508,781413
"    42","    Compensation of employees",228597,253007,278246,307654,325444,327111,335793,357958,387531,421295,439998,433948,368352,343763,347302,365908,387955,422412,458510,486881,517119
"    43","    Taxes on production and imports less subsidies",4243,4768,5222,5593,5656,6066,6308,7190,7986,8258,8290,7837,7347,7228,7236,7493,7954,8307,8836,9272,9681
"    44","    Gross operating surplus",106712,122015,134132,148094,155385,160383,183140,219494,256300,267529,267039,207095,189947,174134,169893,180018,191643,205723,227588,249355,254612
"    45","  Manufacturing",1382889,1430610,1488933,1550194,1473850,1468492,1524213,1608098,1693441,1793844,1844745,1800844,1702135,1797010,1867566,1927057,1991904,2047351,2123023,2085164,2179633
"    46","    Compensation of employees",788978,834443,870204,918024,881895,846529,846989,873695,895469,923978,943645,931891,835177,847169,882357,916946,931827,973108,1006531,1014006,1056161
"    47","    Taxes on production and imports less subsidies",41145,42426,43812,46926,49060,51617,53656,56264,59585,61598,64280,65445,75279,76203,78803,79137,84370,84513,85474,85011,87554
"    48","    Gross operating surplus",552767,553741,574917,585244,542895,570346,623568,678140,738387,808268,836820,803508,791679,873639,906405,930974,975707,989730,1031018,986148,1035919
"    49","    Durable goods",823793,850712,874870,924786,833390,832842,863191,905121,956799,1004410,1030624,999726,880961,964324,1015190,1061711,1101963,1130721,1182708,1182021,1226648
"    50","      Compensation of employees",514618,549536,576748,615870,582752,552593,549336,572876,590030,614812,627420,615471,539215,546219,578688,604380,611997,638622,662751,666742,696293
"    51","      Taxes on production and imports less subsidies",15375,16411,17368,18467,19399,20342,20895,21943,23034,23832,25217,25777,26067,25253,25309,25402,28784,28923,29359,28350,29741
"    52","      Gross operating surplus",293799,284764,280754,290449,231239,259906,292959,310303,343735,365766,377987,358477,315678,392851,411194,431929,461182,463176,490598,486929,500614
"    53","      Wood products",26791,27513,29367,28307,27235,27265,28722,32587,34725,31682,29079,25622,21216,23303,23640,25751,30475,30941,32327,34976,38124
"    54","        Compensation of employees",19184,20456,21716,22190,21569,21534,21750,23240,24823,24803,23603,21240,16311,15854,16258,16656,17711,19376,20450,21046,22255
"    55","        Taxes on production and imports less subsidies",551,578,601,622,539,562,576,630,690,724,735,722,713,693,673,667,693,719,762,805,838
"    56","        Gross operating surplus",7055,6479,7050,5495,5128,5170,6395,8717,9212,6155,4742,3660,4192,6756,6709,8428,12071,10847,11115,13125,15031
"    57","      Nonmetallic mineral products",39766,40841,43218,42620,41294,41807,42014,45281,48842,50504,50247,44745,38866,38355,38838,42571,47110,49359,54032,57491,59548
"    58","        Compensation of employees",22083,23369,24557,26049,26171,25882,25912,26696,28194,29254,29684,27778,22709,22323,22690,23380,24080,25639,27102,28027,29387
"    59","        Taxes on production and imports less subsidies",867,916,958,1006,938,992,1023,1091,1166,1237,1319,1339,1382,1340,1315,1302,1311,1340,1374,1424,1484
"    60","        Gross operating surplus",16815,16556,17704,15565,14185,14933,15079,17494,19482,20013,19244,15628,14776,14691,14834,17888,21719,22380,25556,28040,28677
"    61","      Primary metals",48074,48958,46177,47036,40272,41679,39271,54987,56260,62690,64535,68818,41141,50878,62455,65509,62310,63806,60319,56878,59835
"    62","        Compensation of employees",32433,33266,33679,34422,31665,29314,28570,30053,30701,31978,32497,33007,25597,26684,29684,31220,30869,31827,31645,30429,31665
"    63","        Taxes on production and imports less subsidies",2008,2055,2066,2107,1807,1869,1874,1955,2020,2066,2219,2325,2447,2411,2394,2376,2391,2350,2360,2403,2505
"    64","        Gross operating surplus",13633,13638,10432,10507,6800,10497,8827,22979,23539,28647,29818,33486,13097,21783,30377,31914,29050,29628,26313,24046,25665
"    65","      Fabricated metal products",110023,111691,116033,121304,110912,106091,108487,114688,122370,126792,134794,133116,117352,119889,127180,137623,141631,143539,146151,144603,151870
"    66","        Compensation of employees",70801,74259,76190,80195,77112,74071,73494,77179,81071,85389,88907,90495,77502,77964,83943,90276,91191,95338,97168,95841,99579
"    67","        Taxes on production and imports less subsidies",1859,1939,2057,2150,1953,2079,2160,2356,2382,2501,2629,2886,2638,2674,2969,2877,3539,3345,3273,3291,3570
"    68","        Gross operating surplus",37362,35493,37786,38958,31848,29942,32833,35154,38917,38902,43258,39735,37212,39251,40267,44470,46900,44857,45711,45471,48721
"    69","      Machinery",102233,113780,111054,113079,105362,98930,97396,104147,114408,121896,129534,131637,118603,127197,144476,152490,158168,160473,153989,143665,150424
"    70","        Compensation of employees",72354,74947,76056,80170,74926,69568,68687,71845,75459,79304,82800,84206,73943,75165,83233,88411,88681,92642,94656,90858,95362
"    71","        Taxes on production and imports less subsidies",1979,2169,2330,2511,2458,2524,2553,2681,2822,2937,3126,3177,3349,3342,3387,3402,3463,3484,3574,3704,3861
"    72","        Gross operating surplus",27900,36664,32668,30398,27978,26839,26157,29622,36126,39654,43607,44254,41312,48690,57856,60677,66025,64347,55760,49104,51201
"    73","      Computer and electronic products",195321,191746,186627,225380,173501,172901,193484,201504,211257,224098,228324,232093,223701,239821,237135,240441,244044,250387,267591,270726,281124
"    74","        Compensation of employees",109732,118402,128596,149631,136221,120047,115829,119634,123200,129631,131825,128167,118619,123467,128747,130662,128136,132275,137543,142904,151042
"    75","        Taxes on production and imports less subsidies",3494,3825,4099,4574,5440,5641,5711,5865,6175,6379,6907,7031,7315,7233,7196,7136,7718,7726,7828,7442,7754
"    76","        Gross operating surplus",82095,69519,53932,71175,31840,47213,71944,76006,81882,88088,89592,96894,97767,109121,101192,102643,108190,110387,122220,120380,122329
"    77","      Electrical equipment, appliances, and components",46856,40569,44566,45670,44279,43694,45550,42070,43230,51433,50275,55474,50673,50708,48194,51991,57968,54183,62926,57604,58527
"    78","        Compensation of employees",27006,28107,29501,31274,30045,28038,27703,28558,29092,30291,31037,30871,28567,29199,30644,31889,33017,33577,34676,35085,36691
"    79","        Taxes on production and imports less subsidies",750,772,799,860,1011,1056,1083,1048,1215,1120,1131,1008,834,203,-31,284,745,857,899,950,997
"    80","        Gross operating surplus",19100,11689,14266,13536,13223,14600,16764,12464,12922,20022,18106,23594,21271,21306,17581,19818,24206,19749,27351,21569,20839
"    81","      Motor vehicles, bodies and trailers, and parts",112015,123851,134713,137534,124964,135236,143151,139137,135999,134063,124937,90325,47801,88696,104195,115313,122762,132130,145599,153619,158888
"    82","        Compensation of employees",63330,71421,77205,80210,73360,73815,75610,76231,75371,75409,72483,63683,47971,48568,52541,56836,59315,64722,69871,72493,75837
"    83","        Taxes on production and imports less subsidies",1639,1768,1896,1975,2270,2417,2582,2756,2818,2916,2950,2995,2933,2956,2958,2973,3111,3181,3283,3432,3591
"    84","        Gross operating surplus",47046,50662,55612,55348,49334,59003,64960,60149,57810,55738,49504,23646,-3103,37172,48697,55504,60336,64227,72445,77695,79460
"    85","      Other transportation equipment",62539,66829,73806,71112,76873,72964,72566,75857,89746,96266,114200,114519,117439,120597,126822,126465,133082,138603,148649,145654,148065
