"Components of Value Added by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Release Date: November 01, 2018"
"Line","","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"    172","      Gross operating surplus",2804,2736,2610,4026,4262,3159,4123,4673,4011,7577,8256,9847,9458,8116,7171,6321,8849,8220,7447,5756,5882
"    173","    Truck transportation",77138,85592,92336,98046,97233,97118,101405,109115,116907,125498,123651,120443,109518,113388,121708,128021,130828,140882,148594,146446,152754
"    174","      Compensation of employees",49401,53236,58116,60383,61211,61183,62443,65814,70123,74019,76841,74995,67877,68905,74444,78692,82494,86806,92022,92136,96383
"    175","      Taxes on production and imports less subsidies",2087,2141,2203,2302,2223,2369,2439,2722,3204,3464,3502,3505,3626,3732,3867,4036,4112,4377,4647,4855,5019
"    176","      Gross operating surplus",25651,30215,32017,35361,33799,33566,36522,40579,43580,48014,43307,41942,38014,40751,43396,45292,44222,49699,51925,49455,51352
"    177","    Transit and ground passenger transportation",15123,16162,17676,18455,19039,19463,21413,23042,23561,25878,26272,28119,29419,31356,34094,36313,37887,40417,41544,41675,44345
"    178","      Compensation of employees",8521,9209,10235,10487,10755,11081,11456,12226,12719,13558,14289,14852,14972,15375,16356,17111,17691,18509,19486,20606,21808
"    179","      Taxes on production and imports less subsidies",739,793,863,917,894,898,910,921,967,988,1036,1034,1472,1636,1548,1621,1705,1708,1765,1814,1885
"    180","      Gross operating surplus",5863,6160,6577,7051,7390,7485,9047,9894,9875,11332,10948,12233,12974,14345,16190,17581,18491,20200,20292,19255,20653
"    181","    Pipeline transportation",6953,9803,10438,9363,16074,10037,10330,10650,9864,10732,13012,16294,14638,20206,21525,25225,26918,30226,36315,38698,40717
"    182","      Compensation of employees",3507,3562,3844,4915,4884,3783,3723,3720,3767,4233,4733,4776,4910,5301,5734,6754,6170,6575,7147,7217,7634
"    183","      Taxes on production and imports less subsidies",968,1009,1089,1167,1024,1095,1159,1397,1503,1576,1743,2042,2178,2323,2492,2561,2718,2957,3029,3235,3374
"    184","      Gross operating surplus",2477,5232,5505,3281,10166,5159,5449,5534,4594,4923,6535,9476,7550,12582,13299,15911,18030,20694,26139,28246,29708
"    185","    Other transportation and support activities",55862,59813,58113,65856,69126,71695,73270,80941,88845,94605,89912,94356,85655,90433,93858,94741,96919,99875,107111,110537,117085
"    186","      Compensation of employees",40025,43544,44857,48965,49179,49127,51138,55247,58042,59951,63845,64153,61006,61900,64052,67164,68990,72020,77816,80931,86256
"    187","      Taxes on production and imports less subsidies",1799,1875,1928,2015,1797,1849,1868,1952,2008,2089,2136,2108,2194,2170,2163,2169,2166,2223,2354,2472,2577
"    188","      Gross operating surplus",14037,14394,11329,14876,18150,20719,20264,23742,28795,32565,23931,28095,22455,26363,27643,25408,25763,25633,26941,27135,28252
"    189","    Warehousing and storage",20992,24776,24602,26664,25789,26553,28735,33599,38091,40798,41266,45229,45164,45133,45096,47129,47243,47748,53558,58224,63596
"    190","      Compensation of employees",17318,18363,17382,19984,20180,20592,21854,25451,27863,28588,31263,31993,32367,32704,33157,35598,36449,38039,43115,48403,53320
"    191","      Taxes on production and imports less subsidies",346,367,385,409,360,392,411,464,498,544,590,628,666,668,659,664,692,742,779,827,864
"    192","      Gross operating surplus",3328,6046,6835,6271,5249,5569,6470,7684,9730,11666,9413,12608,12131,11761,11280,10867,10102,8967,9665,8994,9412
"    193","  Information",394074,434630,485007,471299,502386,550582,564861,620363,642338,651995,706937,742961,721922,753280,759819,758952,828928,840642,915031,998051,1050767
"    194","    Compensation of employees",168967,189517,219619,245984,247209,228423,230521,238019,241486,248791,260486,257826,251503,248568,260148,271577,286473,304409,318905,328674,348765
"    195","    Taxes on production and imports less subsidies",31040,32968,36147,38886,43311,44140,44842,46543,48478,48628,48085,44696,44005,44435,45141,45353,47416,48737,49131,50687,52157
"    196","    Gross operating surplus",194067,212146,229242,186429,211867,278018,289498,335801,352374,354576,398366,440439,426414,460278,454530,442022,495038,487496,546994,618691,649844
"    197","    Publishing industries, except internet (includes software)",97171,108230,139070,115898,116132,136931,145596,160590,172650,162232,191673,189046,178456,186786,194582,201355,210190,215364,224545,246873,266860
"    198","      Compensation of employees",52079,61169,70609,76136,76057,69595,71592,72179,74274,78129,86025,86154,82567,81723,87272,92210,99472,106903,117592,121618,133179
"    199","      Taxes on production and imports less subsidies",1507,1613,1760,1889,2616,2748,2906,3061,3187,3324,3500,3566,3747,3759,3778,3716,3756,3906,4001,4133,4306
"    200","      Gross operating surplus",43585,45449,66701,37873,37459,64588,71097,85349,95189,80779,102148,99325,92142,101304,103532,105429,106961,104555,102952,121122,129376
"    201","    Motion picture and sound recording industries",40289,48946,60291,54163,65307,71670,68541,74482,63072,67528,76466,79736,82290,91100,84814,82436,82793,82133,87459,91126,91408
"    202","      Compensation of employees",18777,19215,19439,20406,22415,21721,22265,24158,24447,24983,26358,27194,26824,27944,29081,30338,29729,32334,34264,35546,35725
"    203","      Taxes on production and imports less subsidies",1668,1932,2189,2257,4249,4529,4813,5109,5485,5844,6292,5981,6268,6371,6356,6532,6702,6816,7066,7356,7623
"    204","      Gross operating surplus",19844,27798,38663,31500,38643,45420,41463,45215,33140,36700,43817,46561,49198,56785,49377,45566,46362,42983,46129,48224,48060
"    205","    Broadcasting and telecommunications",226340,241838,256212,276987,281430,280806,287605,311133,334669,340298,373634,391412,374834,374615,366183,370375,404766,394590,414729,427494,428939
"    206","      Compensation of employees",77724,85379,98764,108584,108257,103632,103328,106254,106112,106896,117101,113957,112123,107820,109659,111401,112087,115327,110405,110393,109902
"    207","      Taxes on production and imports less subsidies",27195,28668,31228,33558,34975,35387,35542,36708,38028,37533,36220,33231,31981,32097,32526,32514,33964,34565,34079,34772,35618
"    208","      Gross operating surplus",121420,127791,126219,134846,138198,141786,148735,168172,190529,195869,220313,244224,230730,234697,223997,226460,258715,244697,270245,282330,283419
"    209","    Data processing, internet publishing, and other information services",30275,35617,29434,24251,39517,61176,63119,74158,71948,81937,65164,82767,86342,100779,114239,104786,131180,148555,188298,232558,263559
"    210","      Compensation of employees",20386,23753,30806,40859,40479,33475,33335,35428,36653,38783,31003,30521,29989,31081,34136,37628,45186,49845,56643,61117,69959
"    211","      Taxes on production and imports less subsidies",671,755,970,1183,1471,1476,1581,1665,1778,1927,2073,1918,2009,2207,2481,2590,2994,3449,3986,4427,4611
"    212","      Gross operating surplus",9218,11109,-2342,-17790,-2433,26224,28203,37065,33517,41227,32088,50328,54344,67491,77623,64567,83000,95261,127669,167014,188990
"    213","  Finance, insurance, real estate, rental, and leasing",1612356,1710106,1837116,1974729,2128101,2216960,2295918,2389114,2606173,2743924,2848272,2762742,2867666,2942970,3045324,3260964,3322790,3552940,3754622,3929845,4057129
"    214","    Compensation of employees",376301,418055,448632,490883,526588,529429,547310,592807,636152,687230,729612,722472,651634,677121,712897,744340,760239,807462,856187,878992,940089
"    215","    Taxes on production and imports less subsidies",144523,147879,154386,161272,168452,182099,191972,205255,217703,235467,247526,257432,267744,268510,272371,275435,283902,305125,318205,330997,335723
"    216","    Gross operating surplus",1091532,1144172,1234098,1322574,1433060,1505432,1556636,1591052,1752318,1821227,1871134,1782839,1948288,1997339,2060056,2241189,2278649,2440353,2580230,2719856,2781317
"    217","    Finance and insurance",577187,637935,675073,743055,803103,816432,846319,872387,973705,1034192,1030549,873248,966604,1003613,1026042,1162805,1144934,1281973,1362723,1432689,1465909
"    218","      Compensation of employees",314877,350353,375539,411893,445266,443298,459762,497689,534590,579181,617429,612139,547984,573340,606487,630089,641323,681082,715744,734481,788255
"    219","      Taxes on production and imports less subsidies",27011,27846,29289,30160,28489,30656,32659,36193,38668,40183,42345,43666,43763,44048,45151,45326,47131,57086,62711,65462,57055
"    220","      Gross operating surplus",235299,259736,270245,301003,329348,342478,353898,338504,400447,414827,370775,217443,374857,386226,374404,487391,456480,543805,584269,632745,620599
"    221","      Federal Reserve banks, credit intermediation, and related activities",233146,266961,303782,320329,343229,385582,401385,374341,408103,418895,404212,409436,398887,417829,454988,511382,498646,548095,574646,591452,617032
"    222","        Compensation of employees",109842,123372,130432,134484,150907,161163,176125,183960,196571,207683,210036,199951,184990,187677,198705,211118,218966,222576,240911,252983,267589
"    223","        Taxes on production and imports less subsidies",7915,8656,9316,9888,9544,10363,10991,12234,13219,13997,14865,15160,15813,15558,15708,15764,16410,16730,17734,18524,19342
"    224","        Gross operating surplus",115389,134933,164034,175957,182778,214056,214268,178147,198312,197215,179311,194325,198084,214594,240575,284500,263270,308789,316001,319945,330101
"    225","      Securities, commodity contracts, and investments",121296,121113,120042,132965,182632,162625,144082,154873,193768,221577,198205,92231,185921,196443,173692,233027,249456,228088,228303,267692,291401
"    226","        Compensation of employees",91674,104139,116718,142837,150368,134107,128092,148020,163514,186629,216525,216948,174601,191914,202559,203328,202593,223629,227126,228416,251147
"    227","        Taxes on production and imports less subsidies",3325,3781,4066,4368,3992,4012,3911,4115,4620,4519,5100,5478,5051,5286,5134,4853,4924,5013,5125,5379,5619
"    228","        Gross operating surplus",26297,13193,-742,-14240,28271,24506,12079,2739,25634,30429,-23420,-130195,6269,-758,-34001,24846,41939,-554,-3949,33897,34635
"    229","      Insurance carriers and related activities",215595,236737,234308,274517,262034,251216,280678,322198,348404,372532,405712,349156,365878,372810,384316,405457,384274,485245,542201,557548,540782
"    230","        Compensation of employees",112514,121899,127383,133478,142816,146841,154262,164176,172819,183069,190201,194576,187760,193192,204608,215125,219180,234014,246587,251485,267467
"    231","        Taxes on production and imports less subsidies",14227,13702,14074,13936,14118,15413,17049,19256,20154,20894,21462,22115,21999,22355,23490,23892,25002,34566,39071,40764,31271
"    232","        Gross operating surplus",88854,101136,92852,127103,105101,88962,109366,138767,155431,168568,194048,132465,156118,157263,156218,166440,140091,216665,256542,265298,242044
"    233","      Funds, trusts, and other financial vehicles",7150,13125,16941,15244,15207,17009,20175,20974,23432,21189,22420,22425,15917,16531,13047,12938,12559,20544,17575,15996,16694
"    234","        Compensation of employees",846,943,1006,1093,1174,1187,1283,1534,1687,1801,667,664,632,557,615,518,585,864,1120,1596,2052
"    235","        Taxes on production and imports less subsidies",1545,1707,1834,1968,835,869,708,589,675,773,918,912,899,848,819,816,795,776,781,795,823
"    236","        Gross operating surplus",4760,10474,14101,12183,13197,14953,18184,18852,21070,18615,20835,20849,14386,15126,11613,11604,11179,18904,15674,13605,13819
"    237","    Real estate and rental and leasing",1035169,1072172,1162043,1231673,1324998,1400528,1449599,1516727,1632468,1709732,1817723,1889494,1901062,1939357,2019282,2098159,2177856,2270967,2391898,2497156,2591221
"    238","      Compensation of employees",61424,67702,73093,78990,81322,86131,87548,95118,101562,108049,112182,110333,103651,103781,106410,114251,118916,126380,140443,144511,151834
"    239","      Taxes on production and imports less subsidies",117513,120033,125097,131111,139963,151443,159312,169062,179035,195284,205181,213766,223981,224463,227220,230110,236771,248039,255494,265534,278668
"    240","      Gross operating surplus",856232,884437,963853,1021571,1103713,1162954,1202739,1252547,1351871,1406399,1500360,1565395,1573431,1611113,1685652,1753798,1822168,1896548,1995961,2087111,2160719
"    241","      Real estate",929207,959173,1034894,1095795,1176613,1254091,1307102,1377949,1489154,1541722,1653624,1711085,1737983,1779449,1856734,1925431,1995476,2081180,2181569,2277657,2367513
"    242","        Compensation of employees",42277,46816,50650,54648,56691,61064,62705,68750,74076,79081,81668,80182,75772,76334,77931,83720,87912,93283,101424,105172,110674
"    243","        Taxes on production and imports less subsidies",110188,111940,115903,120854,129834,141213,148590,157809,166647,181530,190529,199111,210072,210145,212009,213612,219491,229920,236629,245883,258245
"    244","        Gross operating surplus",776743,800417,868341,920293,990089,1051814,1095807,1151391,1248431,1281112,1381427,1431793,1452138,1492970,1566793,1628099,1688074,1757977,1843516,1926602,1998594
"    245","        Housing",769833,812266,866585,921763,985823,1031892,1066655,1133002,1212898,1292199,1340936,1411674,1447060,1452168,1498502,1531081,1564944,1646221,1746138,1829077,1906837
"    246","          Compensation of employees",8820,9389,9886,10785,11127,11929,11869,12408,12784,13217,13985,14291,14181,14086,14811,15469,15639,16457,17435,17908,18729
"    247","          Taxes on production and imports less subsidies",100700,102923,107521,112279,118620,127134,134077,141703,150653,163002,170154,178661,188731,189217,190952,192566,197923,206812,212464,220430,231491
"    248","          Gross operating surplus",660313,699954,749179,798699,856076,892829,920709,978891,1049462,1115980,1156797,1218721,1244148,1248866,1292739,1323046,1351383,1422952,1516238,1590738,1656617
"    249","        Other real estate",159374,146907,168309,174032,190790,222199,240447,244947,276256,249523,312688,299412,290923,327281,358232,394350,430531,434959,435431,448580,460676
"    250","          Compensation of employees",33457,37427,40764,43863,45563,49135,50836,56342,61292,65864,67683,65891,61592,62248,63121,68251,72273,76826,83989,87263,91945
"    251","          Taxes on production and imports less subsidies",9488,9018,8383,8575,11214,14079,14513,16105,15994,18528,20375,20449,21341,20929,21057,21046,21568,23108,24165,25453,26753
"    252","          Gross operating surplus",116430,100462,119162,121595,134013,158985,175098,172500,198970,165132,224630,213072,207990,244104,274054,305053,336691,335025,327278,335863,341977
"    253","      Rental and leasing services and lessors of intangible assets",105961,112998,127149,135878,148385,146436,142496,138779,143314,168010,164099,178409,163079,159908,162548,172728,182380,189787,210329,219499,223707
"    254","        Compensation of employees",19147,20885,22444,24343,24632,25067,24843,26368,27486,28968,30515,30151,27878,27447,28479,30531,31004,33097,39020,39339,41160
"    255","        Taxes on production and imports less subsidies",7325,8093,9193,10258,10129,10229,10723,11253,12388,13754,14652,14655,13909,14317,15210,16498,17281,18119,18865,19651,20423
"    256","        Gross operating surplus",79489,84020,95513,101278,113624,111140,106931,101157,103440,125288,118932,133602,121292,118144,118858,125699,134095,138571,152445,160509,162125
"    257","  Professional and business services",840553,913999,997160,1105069,1155475,1189856,1247434,1341035,1446406,1546640,1666712,1777104,1688720,1766836,1856659,1964658,2017289,2117940,2233263,2298999,2426347
"    258","    Compensation of employees",591808,663392,722668,828976,851571,847385,873282,935407,1013725,1100579,1185039,1228706,1166552,1216398,1286906,1377347,1430159,1513231,1606434,1647936,1744867
"    259","    Taxes on production and imports less subsidies",20874,23638,25958,27061,27319,30178,37011,44024,52802,52864,52119,48891,40294,41879,43838,46598,50761,53312,56233,59696,63107
"    260","    Gross operating surplus",227872,226970,248534,249033,276586,312292,337141,361603,379879,393197,429555,499506,481875,508559,525916,540712,536369,551397,570596,591368,618374
"    261","    Professional, scientific, and technical services",499682,543091,595948,651844,686776,714721,741331,792390,852401,917072,984929,1082135,1031282,1063884,1124558,1188532,1208524,1266967,1342381,1381062,1449993
"    262","      Compensation of employees",326887,367110,404222,462628,477262,469179,478029,506659,553603,607406,655006,693503,669449,682715,727062,776655,801492,849000,908839,936437,984769
"    263","      Taxes on production and imports less subsidies",10270,12219,13604,14483,15613,17925,24387,29924,37688,36841,35080,30186,22605,23716,25201,27297,30837,32604,34742,37444,39958
"    264","      Gross operating surplus",162525,163762,178121,174733,193900,227617,238916,255807,261110,272825,294844,358446,339228,357453,372296,384580,376195,385363,398800,407181,425266
"    265","      Legal services",103987,113731,120709,129160,140667,149234,165258,180814,195176,204564,217435,240611,212157,204423,215462,216697,218864,225873,232744,246046,257791
"    266","        Compensation of employees",60468,65575,68814,75132,81044,85176,89874,93974,98602,103978,110025,113302,109776,108576,112361,115473,117227,118968,120299,123212,128104
"    267","        Taxes on production and imports less subsidies",3577,4678,5065,5102,5723,8009,14284,18977,25876,24301,21361,15893,8171,8588,9500,10852,13331,14270,15560,17522,19204
"    268","        Gross operating surplus",39942,43477,46830,48927,53900,56049,61100,67863,70698,76285,86049,111416,94210,87259,93600,90372,88307,92635,96885,105312,110483
"    269","      Computer systems design and related services",75488,88994,102978,114077,118177,110197,115755,122926,134929,148966,167080,181338,188915,202793,224501,252274,254897,265474,283156,301557,323080
"    270","        Compensation of employees",64145,78353,93498,114027,112046,99185,97637,104300,114528,127443,140560,149610,147439,156457,172212,192560,197383,213694,233478,245051,262931
"    271","        Taxes on production and imports less subsidies",1810,2189,2662,3153,2995,2707,2616,2765,2927,3179,3547,3739,3663,3984,4347,4706,5080,5388,5734,5893,6135
"    272","        Gross operating surplus",9533,8452,6818,-3103,3135,8305,15502,15862,17474,18345,22973,27989,37813,42352,47942,55008,52434,46391,43945,50614,54013
"    273","      Miscellaneous professional, scientific, and technical services",320207,340367,372261,408606,427932,455290,460319,488650,522296,563542,600414,660186,630210,656668,684596,719561,734763,775621,826480,833459,869123
"    274","        Compensation of employees",202274,223182,241911,273469,284172,284818,290518,308386,340473,375985,404421,430590,412233,417682,442488,468622,486882,516338,555063,568174,593734
"    275","        Taxes on production and imports less subsidies",4883,5352,5877,6228,6895,7209,7487,8182,8885,9361,10172,10554,10771,11144,11354,11739,12427,12946,13447,14029,14620
"    276","        Gross operating surplus",113050,111833,124473,128909,136865,163263,162314,172082,172938,178196,185821,219042,207206,227842,230754,239200,235454,246337,257970,251256,260770
"    277","    Management of companies and enterprises",125467,139111,148498,171128,173620,174967,185600,203128,214112,230477,251157,256416,245031,265388,277963,302195,319700,333198,345580,348387,369380
"    278","      Compensation of employees",105913,118526,126275,147585,150292,150454,159726,175600,185332,200745,219915,221119,207948,227175,237912,259415,274980,287350,299340,301643,321285
"    279","      Taxes on production and imports less subsidies",5012,5386,5806,5902,5210,5526,5715,6460,6915,7319,7727,9213,8337,8298,8235,8425,8472,8732,8908,9188,9548
"    280","      Gross operating surplus",14541,15199,16417,17641,18117,18988,20159,21068,21865,22414,23515,26084,28746,29915,31816,34355,36249,37117,37332,37555,38546
"    281","    Administrative and waste management services",215405,231797,252715,282098,295080,300167,320502,345516,379892,399090,430627,438553,412407,437563,454138,473931,489064,517774,545303,569551,606974
"    282","      Compensation of employees",159007,177756,192171,218763,224016,227752,235527,253148,274790,292429,310119,314085,289154,306508,321932,341277,353687,376881,398255,409856,438812
"    283","      Taxes on production and imports less subsidies",5592,6032,6548,6676,6495,6728,6909,7640,8199,8704,9312,9492,9352,9865,10402,10876,11453,11977,12583,13063,13600
"    284","      Gross operating surplus",50805,48009,53996,56659,64569,65687,78066,84728,96904,97957,111196,114976,113900,121190,121804,121778,123925,128917,134464,146632,154562
"    285","      Administrative and support services",193546,209089,227709,255954,266609,269809,288256,313574,346260,367413,395158,401644,373967,389804,411693,431230,445865,471510,493948,513398,546226
"    286","        Compensation of employees",146489,164514,178211,204234,208693,211854,218866,235542,255885,272458,289490,292366,267837,278729,298528,317140,329190,350846,371563,382729,409161
"    287","        Taxes on production and imports less subsidies",3957,4354,4781,4840,4797,4921,5011,5529,5967,6295,6708,6802,6605,6973,7376,7719,8187,8610,9106,9476,9874
"    288","        Gross operating surplus",43099,40221,44717,46881,53119,53034,64379,72503,84409,88660,98960,102475,99525,104102,105789,106371,108488,112054,113279,121194,127191
"    289","      Waste management and remediation services",21859,22708,25006,26144,28472,30358,32246,31942,33632,31677,35469,36909,38440,47759,42445,42701,43199,46265,51355,56153,60748
"    290","        Compensation of employees",12518,13242,13960,14529,15323,15899,16661,17606,18905,19971,20628,21719,21318,27779,23404,24137,24497,26035,26692,27127,29652
"    291","        Taxes on production and imports less subsidies",1635,1678,1767,1836,1698,1807,1898,2111,2232,2409,2604,2690,2747,2892,3026,3157,3266,3367,3477,3587,3726
"    292","        Gross operating surplus",7706,7788,9279,9778,11450,12652,13687,12225,12495,9297,12236,12500,14375,17088,16015,15407,15437,16863,21186,25438,27371
"    293","  Educational services, health care, and social assistance",590585,615762,653949,695441,749895,807030,862800,927339,970491,1035450,1087932,1184815,1267493,1310657,1354713,1407364,1447192,1492552,1563494,1639365,1700275
"    294","    Compensation of employees",474538,500569,530279,563266,604502,654771,700948,752293,793419,846296,895942,953960,1002307,1034036,1074750,1124982,1162478,1203190,1266801,1325089,1374835
"    295","    Taxes on production and imports less subsidies",13243,14307,15228,16213,17902,19500,20696,22858,25531,27186,29308,30417,32200,32623,28808,31870,32673,33939,36767,39182,41593
"    296","    Gross operating surplus",102805,100886,108442,115962,127491,132759,141156,152187,151541,161968,162682,200437,232985,243999,251155,250512,252041,255422,259926,275094,283847
"    297","    Educational services",77078,79943,87669,95235,101705,106491,116775,129073,133228,142923,151528,167783,188331,198871,206048,213883,217462,226190,234453,244056,245556
"    298","      Compensation of employees",59220,64357,69479,74443,79624,88687,94309,101863,105884,113118,120870,129386,139900,145542,152774,161398,165202,174806,182305,190108,190268
"    299","      Taxes on production and imports less subsidies",3274,3614,3910,4255,3921,4317,4585,5051,5438,5899,6375,6920,7648,7802,7936,8015,8281,8479,8868,9306,9705
"    300","      Gross operating surplus",14583,11973,14279,16537,18160,13487,17882,22159,21906,23906,24283,31477,40783,45527,45338,44469,43979,42905,43280,44642,45583
"    301","    Health care and social assistance",513507,535819,566280,600206,648190,700539,746025,798266,837263,892527,936403,1017031,1079162,1111786,1148665,1193481,1229730,1266361,1329041,1395309,1454718
"    302","      Compensation of employees",415317,436212,460800,488823,524878,566084,606639,650430,687535,733178,775072,824574,862407,888494,921976,963584,997276,1028384,1084497,1134981,1184567
"    303","      Taxes on production and imports less subsidies",9969,10693,11317,11958,13981,15183,16111,17807,20093,21287,22933,23497,24552,24821,20872,23855,24392,25460,27899,29876,31888
"    304","      Gross operating surplus",88221,88914,94163,99425,109330,119272,123274,130028,129634,138062,138399,168960,192202,198472,205817,206043,208062,212517,216646,230453,238264
"    305","      Ambulatory health care services",250899,258580,271198,288376,310977,334115,350508,375151,396997,423147,442347,480890,507366,531630,554864,573535,593523,611255,641510,679310,708287
"    306","        Compensation of employees",189531,197234,206125,218869,234869,251753,267448,288706,306027,327481,346413,366906,381524,398978,416262,435739,453291,469297,494703,519246,543449
"    307","        Taxes on production and imports less subsidies",4556,4847,5100,5430,4779,5135,5263,5996,6595,6788,7136,7308,7656,7815,7846,7900,8137,8413,8715,9075,9441
"    308","        Gross operating surplus",56812,56499,59972,64078,71329,77227,77797,80450,84375,88877,88798,106675,118186,124837,130755,129896,132095,133545,138092,150989,155397
"    309","      Hospitals",165219,173125,182264,190093,206874,225911,244874,265194,274989,294768,310765,339925,367574,369827,382028,398067,405705,416610,438807,454485,473442
"    310","        Compensation of employees",140606,148214,156041,163451,177124,191861,208421,223822,236682,253468,267770,286333,302491,303903,318014,329833,338011,345438,366228,379814,394936
"    311","        Taxes on production and imports less subsidies",3330,3582,3809,4015,6054,6622,7149,7831,8846,9500,10313,10530,11094,10798,6724,9149,9045,9597,11381,12701,14006
"    312","        Gross operating surplus",21283,21330,22414,22627,23696,27428,29305,33541,29461,31800,32682,43062,53989,55125,57290,59085,58650,61574,61198,61969,64500
"    313","      Nursing and residential care facilities",57907,61095,64937,69126,74506,80809,85565,90177,92833,97714,102481,110551,116458,120664,123176,125928,129068,132519,136857,142240,146281
"    314","        Compensation of employees",53258,56163,59818,64107,68743,74368,78728,82855,85377,90138,94810,100994,104993,109232,111190,113073,115991,119012,123345,128536,132055
"    315","        Taxes on production and imports less subsidies",1396,1509,1592,1642,2237,2443,2677,2845,3435,3710,4071,4211,4287,4627,4720,5181,5459,5591,5846,6046,6298
"    316","        Gross operating surplus",3252,3424,3526,3377,3526,3998,4160,4477,4021,3866,3601,5346,7178,6804,7267,7674,7617,7916,7666,7657,7928
"    317","      Social assistance",39483,43018,47882,52610,55832,59704,65077,67743,72444,76899,80810,85665,87764,89666,88597,95951,101434,105978,111867,119275,126709
"    318","        Compensation of employees",31922,34602,38816,42397,44142,48102,52043,55048,59450,62091,66079,70341,73400,76381,76510,84939,89983,94638,100221,107384,114127
"    319","        Taxes on production and imports less subsidies",686,756,815,871,911,983,1022,1135,1217,1289,1413,1448,1515,1580,1582,1625,1751,1858,1957,2054,2142
"    320","        Gross operating surplus",6875,7661,8250,9342,10779,10619,12012,11560,11777,13519,13318,13876,12849,11706,10505,9387,9700,9482,9690,9837,10440
"    321","  Arts, entertainment, recreation, accommodation, and food services",301782,322093,354054,386540,390728,413527,432128,461170,481238,511537,533504,542721,533281,555795,580917,621361,651327,690051,737340,770803,804737
"    322","    Compensation of employees",177236,195646,213993,230384,241080,249308,262090,279304,290415,306413,324814,333131,321342,327723,343907,368634,385460,411260,436868,462980,486461
"    323","    Taxes on production and imports less subsidies",38222,40922,44060,47095,48393,49660,52804,56842,61805,66852,71862,74285,72759,76606,75588,80013,84804,89438,93416,96482,100139
"    324","    Gross operating surplus",86323,85525,96002,109061,101255,114559,117234,125024,129018,138272,136828,135305,139180,151466,161421,172714,181064,189353,207057,211341,218137
"    325","    Arts, entertainment, and recreation",80141,82845,90393,98994,96728,103788,111038,117867,122217,130479,137411,143183,144637,152247,158312,171233,177399,188767,192761,203649,214148
"    326","      Compensation of employees",41718,45832,49773,55253,57957,61333,64009,67016,68387,73082,77010,80634,78584,79393,81512,86098,89695,96556,100590,107736,113020
"    327","      Taxes on production and imports less subsidies",6951,7648,8468,9080,9412,9918,10547,11667,12452,13438,15069,15447,15203,15591,16028,17483,18044,18627,19459,20014,20686
"    328","      Gross operating surplus",31471,29365,32152,34661,29359,32537,36482,39185,41378,43959,45332,47101,50851,57263,60772,67653,69660,73584,72713,75899,80441
"    329","      Performing arts, spectator sports, museums, and related activities",37156,40614,44490,49308,51823,56941,61964,65084,67097,73500,75572,81450,84867,87731,92714,101345,104262,112255,112588,118650,125669
"    330","        Compensation of employees",20011,21548,23739,26438,27845,29615,31165,32588,33064,36597,38824,40769,40216,40548,41802,44167,46181,49721,52218,56234,59480
"    331","        Taxes on production and imports less subsidies",2699,3163,3602,3753,4305,4556,4883,5421,5756,6144,6801,6973,6958,7026,7146,7372,7565,7815,8088,8345,8596
"    332","        Gross operating surplus",14446,15903,17149,19116,19673,22770,25917,27075,28277,30759,29947,33708,37693,40157,43766,49806,50516,54719,52282,54071,57593
"    333","      Amusements, gambling, and recreation industries",42984,42231,45903,49687,44905,46847,49074,52783,55120,56979,61839,61733,59770,64516,65598,69889,73137,76512,80173,84999,88479
"    334","        Compensation of employees",21707,24284,26034,28815,30112,31718,32845,34428,35322,36485,38186,39865,38368,38845,39710,41931,43514,46835,48371,51502,53540
"    335","        Taxes on production and imports less subsidies",4252,4484,4866,5327,5107,5362,5664,6246,6696,7294,8268,8474,8245,8565,8882,10111,10479,10812,11371,11669,12090
"    336","        Gross operating surplus",17026,13462,15003,15545,9686,9767,10565,12109,13101,13200,15385,13394,13157,17106,17006,17847,19144,18864,20431,21828,22849
"    337","    Accommodation and food services",221642,239248,263661,287546,293999,309738,321090,343303,359020,381058,396093,399538,388644,403549,422605,450127,473928,501285,544579,567153,590589
"    338","      Compensation of employees",135518,149813,164220,175131,183123,187975,198081,212288,222028,233330,247803,252497,242758,248330,262395,282536,295765,314704,336279,355244,373441
"    339","      Taxes on production and imports less subsidies",31271,33274,35592,38015,38980,39742,42257,45175,49353,53414,56793,58838,57556,61015,59561,62530,66760,70811,73957,76467,79453
"    340","      Gross operating surplus",54852,56160,63849,74400,71896,82022,80752,85840,87639,94313,91497,88204,88330,94204,100650,105061,111404,115770,134343,135442,137695
"    341","      Accommodation",70738,75678,84153,93339,90080,92676,94153,102386,108938,115982,124473,123450,107432,112076,121826,128605,136678,142949,156072,158137,163175
"    342","        Compensation of employees",37591,41837,46379,49949,50641,49799,50947,54875,57112,59310,63212,65487,59793,60832,64298,67344,69641,73803,77397,79270,82574
"    343","        Taxes on production and imports less subsidies",10898,11660,12554,13424,12913,13054,13962,14715,16474,17914,19558,20100,19374,20493,21435,22750,24182,25377,26359,27477,28559
"    344","        Gross operating surplus",22249,22181,25220,29965,26526,29824,29244,32795,35352,38758,41703,37863,28264,30750,36093,38511,42856,43769,52316,51390,52041
