"Table 6.2A. Compensation of Employees by Industry"
"[Millions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948"
"49","            Electric, gas, and sanitary services",783,803,742,628,570,616,662,725,812,816,826,875,928,937,931,978,1061,1307,1575,1821
"50","                Utilities: electric and gas",751,771,712,602,547,591,636,697,785,790,798,845,897,904,898,942,1021,1261,1523,"---"
"51","                Local utilities and public services, n.e.c.",32,32,30,26,23,25,26,28,27,26,28,30,31,33,33,36,40,46,52,"---"
"52","        Wholesale trade",3396,3219,2756,2151,1894,2191,2381,2596,2983,2999,3140,3357,3934,4181,4365,4754,5306,6905,8238,9144
"53","        Retail trade and automobile services",5977,5546,4877,3804,3436,3967,4301,4744,5458,5340,5588,6016,6838,7166,7922,8670,9858,13315,15402,16905
"54","        Finance, insurance, and real estate",2983,2802,2522,2141,1935,2027,2106,2307,2517,2453,2515,2592,2744,2855,3001,3149,3416,4294,4701,5258
"55","            Banking",782,737,668,581,498,515,522,540,572,584,598,620,651,707,761,823,896,1078,1215,1331
"56","            Security and commodity brokers, and services",407,320,267,235,245,234,206,251,259,196,179,169,157,130,153,165,226,284,235,243
"57","            Credit agencies (other than banks) and holding and other investment companies",256,246,222,198,178,184,200,232,255,233,231,244,270,269,250,241,245,311,358,416
"58","            Insurance carriers",821,828,777,647,578,603,645,689,757,768,796,819,870,909,940,967,1031,1295,1476,1668
"59","            Insurance agents, brokers, and service",239,231,209,186,165,179,189,205,223,227,231,230,244,265,282,296,321,427,463,528
"60","            Real estate",478,440,379,294,271,312,344,390,451,445,480,510,552,575,615,657,697,899,954,1073
"61","        Services",5538,5277,4609,3758,3368,3688,3904,4310,4786,4646,4840,5149,5587,6392,7197,8116,8931,10500,11815,12678
"62","            Hotels and other lodging places",427,409,343,258,219,272,289,318,363,368,376,402,430,459,541,631,695,835,905,948
"63","            Personal services",755,730,646,526,459,500,529,584,652,634,638,712,799,925,1078,1182,1311,1634,1753,1821
"64","            Commercial and trade schools and employment agencies4",34,33,27,19,16,18,22,26,31,29,28,28,46,91,133,102,59,69,92,"---"
"65","            Business services",359,371,311,262,243,294,326,392,414,412,433,443,491,507,554,652,752,962,1105,1270
"66","            Miscellaneous repair services",108,106,98,83,73,76,81,84,91,95,97,94,125,148,214,243,245,310,361,369
"67","            Motion pictures",310,313,307,241,227,253,282,317,360,346,353,353,386,425,477,531,573,703,719,683
"68","            Amusement and recreation services",323,299,256,191,161,176,180,205,239,216,230,246,270,281,291,337,384,524,566,611
"69","            Health services",398,406,386,346,317,324,349,388,433,468,478,513,558,641,743,844,931,1135,1412,1532
"70","            Legal services",124,131,132,126,118,116,121,126,135,138,142,144,151,150,149,159,169,184,209,228
"71","            Educational services, n.e.c.",296,307,311,303,281,279,284,295,312,330,337,348,362,389,433,465,494,579,728,896
"72","            Membership organizations",605,612,589,531,487,492,489,507,509,519,521,565,606,682,785,883,952,1166,1280,1464
"73","            Miscellaneous professional services",81,75,55,36,34,37,40,51,57,65,75,80,123,214,199,197,221,275,334,495
"74","            Private households",1718,1485,1148,836,733,851,912,1017,1190,1026,1132,1221,1240,1480,1600,1890,2145,2124,2351,2364
"75","    Government",5411,5646,5753,5431,5572,6528,7053,8491,8157,8949,8977,9394,11914,19121,30207,36849,39999,27152,21904,22698
"76","        Federal",1696,1742,1743,1641,1861,2466,2654,4528,3968,4481,4441,4710,7084,14187,25029,31367,34028,20251,13677,13085
"77","            General government",1053,1096,1101,1042,1316,1853,1956,3779,3201,3694,3628,3858,6154,13130,23739,30040,32635,18593,12060,11240
"78","            Government enterprises",643,646,642,599,545,613,698,749,766,787,813,853,931,1057,1289,1327,1393,1658,1617,1845
"79","        State and local",3715,3904,4010,3790,3711,4062,4399,3962,4189,4468,4536,4684,4829,4934,5178,5482,5971,6900,8226,9613
"80","            General government",3531,3711,3818,3624,3561,3905,4230,3775,3985,4257,4320,4432,4535,4620,4819,5118,5585,6464,7688,8922
"81","            Government enterprises",184,193,192,166,150,157,169,187,204,211,216,252,294,314,358,364,386,436,539,691
"82","Rest of the world",1,1,1,1,1,1,1,1,1,1,2,3,6,10,-16,-51,-64,-40,69,86
"","Addenda:","","","","","","","","","","","","","","","","","","","",""
"83","    Households and institutions",2863,2652,2278,1871,1677,1802,1882,2044,2272,2152,2276,2435,2533,2918,3240,3719,4117,4492,5140,5604
"84","    Nonfarm business",42656,38526,31955,24128,22612,26310,28820,32819,37859,34325,37335,40988,51706,65724,78885,83287,81725,90433,104611,115462
"Legend / Footnotes:"
"1. For 1948, included in anthracite mining (line 9)."
"2. For 1948, included in lumber and basic timber products (line 16)."
"3. For 1948, included with iron and steel and their products, including ordnance (line 19)."
"4. For 1948, included with educational services, n.e.c. (line 71)."
"Note. Estimates in this table are based on the 1942 Standard Industrial Classification (SIC)."
"n.e.c. Not elsewhere classified"
