"Table 7.5. Investment in Government Fixed Assets"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: November 20, 2018"
"Line","","1901","1902","1903","1904","1905","1906","1907","1908","1909","1910","1911","1912","1913","1914","1915","1916","1917","1918","1919","1920","1921","1922","1923","1924","1925","1926","1927","1928","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"10","            Public safety",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.5,0.5,0.6,0.8,0.7,0.9,1.2,1.3,1.5,1.8,2.0,2.4,2.5,2.6,2.6,3.3,3.1,4.0,4.5,4.2,4.9,5.8,5.9,5.7,5.7,5.8,5.9,5.7,6.1,6.4,6.6,6.2,5.9,5.7,4.9,4.6,4.4,4.9,5.9,6.1,5.9,5.5,5.8,5.3,4.5,4.5,4.6,4.9,5.3
"11","            Amusement and recreation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.5,0.5,0.5,0.6,0.7,0.6,0.7,1.0,1.3,1.3,1.3,1.4,1.6,1.7,1.7,1.7,1.7,1.7,2.0,2.1,2.4,2.7,2.9,3.4,3.5,3.3,3.3,3.3,3.9,4.8,5.2,5.4,5.8,6.8,7.4,7.2,6.8,6.6,7.1,7.6,8.6,9.0,8.9,8.3,7.5,6.7,6.3,6.4,7.2,7.9,8.2
"12","            Transportation",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.4,0.5,0.6,0.5,0.6,0.6,0.7,0.9,1.1,1.3,1.4,1.4,1.2,1.4,1.6,2.0,2.1,2.3,2.3,2.5,3.0,3.8,4.0,4.2,4.3,4.3,4.5,4.9,5.4,6.2,6.9,7.9,8.6,9.1,10.0,10.1,10.1,10.8,10.9,11.0,12.4,15.6,17.2,18.5,20.1,19.6,18.5,19.1,20.7,22.6,24.8,24.7,23.9,24.1,25.4,27.4,29.8,30.2,30.1
"13","            Power",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.0,0.0,0.0,0.1,0.1,0.2,0.2,0.2,0.2,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.5,0.5,0.7,0.5,0.6,0.8,0.9,0.7,0.9,0.9,0.9,1.0,1.0,1.1,1.2,1.6,1.4,2.0,2.5,3.7,4.0,4.2,5.3,5.0,4.7,4.2,5.6,5.3,4.2,4.0,3.2,3.3,3.3,3.2,3.4,3.0,3.1,2.7,3.3,3.3,3.5,4.2,5.3,5.9,7.1,6.9,6.9,7.9,8.4,10.6,11.6,11.1,10.7,10.3,10.3,10.2,10.5,9.2,6.7
"14","            Highways and streets",0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.4,0.7,0.9,0.9,0.8,1.0,1.1,1.1,1.2,1.3,1.4,1.6,1.4,1.0,0.9,1.0,0.9,1.4,1.3,1.5,1.5,1.4,1.1,0.8,0.5,0.4,0.4,0.8,1.4,1.7,2.1,2.2,2.5,2.8,3.1,3.8,4.0,4.6,5.1,5.8,6.1,5.7,6.1,6.7,7.4,7.5,8.0,8.9,9.1,9.8,9.7,10.4,11.1,10.8,10.8,12.4,13.4,12.6,12.6,14.3,17.2,18.3,18.2,17.4,18.2,21.8,24.2,25.9,27.8,29.9,29.8,33.3,33.7,33.8,35.5,38.5,38.8,40.6,43.0,46.1,50.1,54.1,58.6,60.3,59.4,62.4,68.1,74.2,78.4,79.9,82.3,82.4,82.7,83.1,81.4,83.4,87.9,89.2,84.5
"15","            Military facilities 3",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,1.5,1.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.1,0.0,0.1,0.1,0.1,0.2,0.5,2.1,6.5,3.3,1.1,0.9,0.1,0.1,0.2,0.2,0.2,1.0,1.6,1.5,1.2,1.4,1.6,1.6,1.7,1.7,1.6,1.6,1.5,1.3,1.0,0.9,1.0,1.0,1.0,1.1,1.0,1.3,1.2,1.4,1.4,1.7,1.6,1.7,1.8,1.8,2.1,2.0,2.3,2.8,3.0,3.6,4.3,5.0,4.9,4.0,3.5,2.4,3.2,3.4,3.7,4.6,4.3,4.2,4.3,4.0,4.0,3.7,4.3,5.1,5.2,5.2,6.0,8.0,11.3,15.1,14.4,11.2,6.5,5.2,4.2,3.4,2.7,2.9
"16","            Conservation and development",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.4,0.6,0.5,0.5,0.5,0.5,0.4,0.3,0.2,0.2,0.2,0.2,0.2,0.3,0.4,0.4,0.4,0.5,0.5,0.4,0.5,0.7,0.7,0.7,0.7,0.8,0.8,0.9,1.0,1.2,1.3,1.5,1.6,1.6,1.4,1.3,1.3,1.2,1.4,1.6,1.8,1.8,1.7,1.7,1.8,2.0,2.3,3.5,3.6,3.2,3.0,3.1,2.9,3.1,3.1,3.7,3.5,3.7,3.2,3.2,4.1,6.4,11.3,3.7,3.7,4.1,4.7,4.7,4.4,4.2,4.6,4.5,5.6,8.8,6.7,7.2,8.6,8.5,7.5,5.7,6.0,7.2,9.2,13.2
"17","            Other structures 4",0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.3,0.2,0.1,0.2,0.2,0.4,0.3,0.4,0.4,0.4,0.3,0.2,0.1,0.1,0.1,0.2,0.4,0.6,0.7,0.7,0.8,0.8,1.0,1.0,1.2,1.4,1.4,1.5,1.6,1.6,1.7,2.0,2.0,2.5,2.7,2.6,2.5,3.3,2.9,2.9,3.1,3.3,3.8,5.1,5.9,6.4,6.0,7.7,8.5,10.4,9.5,9.3,8.3,9.8,10.6,12.0,14.0,14.6,14.7,16.0,16.6,16.3,15.3,14.6,14.7,16.9,17.9,18.2,19.0,19.0,20.4,23.2,25.5,26.4,28.0,31.3,34.5,35.0,36.3,37.2,36.9,34.6,33.9,34.5,36.3,35.6,33.2
"18","          Intellectual property products","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.3,0.5,0.9,1.6,1.5,1.4,1.4,1.6,1.7,1.9,2.1,2.4,2.7,3.0,3.6,4.8,5.9,6.4,7.0,7.8,8.8,9.9,11.7,12.9,13.8,15.4,16.2,17.0,17.7,17.6,18.1,19.3,20.3,21.5,23.3,25.5,27.9,31.0,35.0,39.6,45.0,49.7,55.2,62.2,71.0,75.2,81.7,85.1,87.8,91.1,91.4,91.6,91.4,92.0,94.0,95.5,98.3,102.3,106.5,113.1,119.7,127.1,135.7,144.0,152.4,159.1,166.7,173.4,175.5,181.6,185.5,186.2,187.9,187.1,190.9,192.2,202.6
"19","            Software","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.1,0.1,0.1,0.1,0.2,0.3,0.3,0.4,0.5,0.8,0.8,0.9,1.2,1.5,1.8,2.0,2.1,2.5,3.2,3.9,4.8,5.4,6.4,7.7,8.9,9.8,10.8,12.4,14.7,16.2,17.4,18.4,18.6,18.4,18.6,19.2,20.7,23.2,25.0,27.1,27.8,26.1,26.4,27.6,29.4,31.1,33.2,35.3,34.9,36.1,38.0,39.1,44.4,45.9,46.5,49.0,52.6
