"Table 5.6.5. Private Fixed Investment in Intellectual Property Products by Type"
"[Billions of dollars]" 
"Bureau of Economic Analysis" 
"Last Revised on: July 31, 2018"
"Line","","1929","1930","1931","1932","1933","1934","1935","1936","1937","1938","1939","1940","1941","1942","1943","1944","1945","1946","1947","1948","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017"
"10","            Chemical manufacturing, excluding pharmaceutical and medicine","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.7,0.7,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.3,1.3,1.4,1.4,1.5,1.7,1.9,2.0,2.2,2.3,2.5,2.8,3.2,3.6,3.8,4.1,4.4,4.6,4.6,4.7,5.2,5.5,6.2,6.5,6.4,6.6,6.2,6.3,7.0,6.5,8.0,8.1,8.3,8.1,6.8,7.5,7.6,8.1,8.4,9.1,11.3,9.9,10.4,10.7,10.1,10.5,11.4,11.6,10.4,8.8
"11","            Semiconductor and other electronic component manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.0,0.0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.8,1.2,1.3,1.4,1.9,2.5,3.0,3.5,4.5,4.7,4.7,4.9,5.1,5.5,5.5,6.2,7.4,8.9,10.9,11.9,12.7,14.2,16.5,14.9,15.5,17.6,18.8,18.8,19.1,22.7,21.4,23.4,26.2,29.6,33.1,34.4,33.2,34.4,36.7
"12","            Other computer and electronic product manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.6,0.7,0.8,0.9,1.0,1.1,1.2,1.4,1.5,1.7,2.0,2.2,2.4,2.5,2.9,3.2,3.3,3.6,3.9,4.3,4.9,5.6,6.2,6.8,7.3,8.1,8.6,8.7,8.9,9.2,9.3,9.7,9.9,10.6,10.7,12.0,14.1,17.0,20.7,22.7,23.2,30.4,35.1,25.0,23.0,23.2,24.2,29.7,31.4,34.4,31.4,31.8,33.7,33.1,32.6,37.9,38.8,43.2,44.7
"13","            Motor vehicles, bodies and trailers, and parts manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.7,0.7,0.8,0.8,0.9,0.9,1.0,1.1,1.1,1.2,1.4,1.4,1.6,1.9,2.3,2.4,2.3,2.7,3.2,3.8,4.2,4.7,4.7,4.8,5.3,5.9,6.7,7.8,7.8,8.4,9.3,9.1,9.6,9.9,11.3,12.6,14.3,15.5,15.0,14.9,16.4,16.4,15.7,15.6,16.3,16.6,17.0,17.4,16.9,13.8,12.1,12.0,13.9,16.4,17.6,19.2,19.7,22.7,23.1
"14","            Aerospace products and parts manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.4,0.4,0.4,0.5,0.5,0.5,0.7,0.8,1.2,1.3,1.4,1.3,1.1,1.0,1.2,1.3,1.4,1.6,1.8,2.1,2.6,3.2,3.8,4.4,5.1,6.0,6.9,7.4,7.6,7.5,7.2,6.9,6.8,7.4,6.9,6.5,6.5,7.0,7.2,7.2,7.5,7.1,7.5,8.4,8.4,10.1,11.8,12.6,14.1,13.9,14.6,11.0,9.3,8.8,12.0,12.1,13.3,15.9,14.3
"15","            Other manufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",1.6,1.8,1.8,1.9,2.0,2.2,2.3,2.6,2.8,3.1,3.4,3.6,3.7,4.0,4.4,5.1,5.6,6.0,6.5,7.1,8.2,9.4,11.7,13.5,14.3,16.0,17.3,16.7,15.9,16.8,18.9,20.1,21.1,20.9,17.2,18.6,21.9,24.3,26.3,26.1,27.0,27.8,25.5,26.1,28.2,28.3,31.6,33.8,35.8,33.9,38.3,38.3,44.2,46.2,49.3,49.1,50.3,51.9,51.6
"16","        Nonmanufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.5,0.8,1.1,1.5,2.1,2.8,3.7,4.7,5.7,7.2,8.7,9.9,10.2,13.3,16.6,21.1,26.6,27.9,30.1,28.0,29.0,30.6,34.7,38.7,48.7,56.7,54.6,56.2,57.1,55.0,60.8,67.1,72.5,80.6,77.0,79.5,91.9,91.3,99.9,107.4,117.9,125.2,141.7
"17","            Scientific research and development services","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.5,0.5,0.8,1.4,2.1,2.3,2.2,2.4,2.6,3.4,4.2,5.2,6.1,7.7,8.4,4.9,4.5,5.5,6.0,6.4,7.5,9.6,9.6,8.4,9.2,9.1,7.5,7.1,9.1,8.1,8.6
"18","            All other nonmanufacturing","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",9.7,12.8,15.8,19.7,24.5,25.7,27.8,25.6,26.4,27.2,30.5,33.5,42.6,49.0,46.2,51.3,52.6,49.5,54.8,60.7,65.0,71.0,67.4,71.1,82.8,82.2,92.4,100.4,108.8,117.1,133.1
"19","    Nonprofit institutions serving households","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---","---",0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.9,1.1,1.2,1.4,1.7,2.0,2.2,2.5,2.8,2.9,3.1,3.4,4.0,4.5,5.3,5.6,5.8,6.3,6.6,6.8,6.9,7.2,7.8,8.2,9.1,9.5,9.8,10.0,10.7,11.7,12.0,12.4,12.9,13.5,15.6,17.3,18.8,19.8,21.6,22.7,22.5,23.6,24.1,24.2
